"astro-ph/0301058","Yun Wang","Pia Mukherjee, and Yun Wang","Wavelet Band Powers of the Primordial Power Spectrum from CMB Data","revised version accepted by ApJ","Astrophys.J. 593 (2003) 38","10.1086/376500",,"astro-ph hep-ph",,"  Measuring the primordial matter power spectrum is our primary means of
probing unknown physics in the very early universe. We allow the primordial
power spectrum to be an arbitrary function, and parametrize it in terms of
wavelet band powers. Current cosmological data correspond to 11 such wavelet
bands. We derive constraints on these band powers as well as $H_0$, $\Omega_b
h^2$ and $\Omega_m h^2$ from current Cosmic Microwave Background Anisotropy
(CMB) data using the Markov Chain Monte Carlo (MCMC) technique. Our results
indicate a feature in the primordial power spectrum at $ 0.008 \la k/(h
{Mpc}^{-1}) \la 0.1$. MAP and Planck data should allow us to put tighter
constraints on the primordial power spectrum.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 19:09:12 GMT""},{""version"":""v2"",""created"":""Wed, 23 Apr 2003 17:34:10 GMT""}]","2009-11-07"
"astro-ph/0301103","Dr. Thomas Rauch","T. Rauch (Dr.-Remeis-Sternwarte, Bamberg, Germany; Institut fuer
  Astronomie und Astrophysik, Abteilung Astronomie, Tuebingen, Germany), K.
  Werner (Institut fuer Astronomie und Astrophysik, Abteilung Astronomie,
  Tuebingen, Germany)","The rotational velocity of the sdOB primary of the eclipsing binary
  system LB 3459 (AA Dor)","7 pages, 11 Postscript figures, to appear in A&A","Astron.Astrophys. 400 (2003) 271-278","10.1051/0004-6361:20021883",,"astro-ph",,"  We present an analysis of the rotational velocity of the primary of LB 3459
based on 107 new high-resolution and high-S/N ESO VLT UVES spectra. 105 of them
cover a complete orbital period (0.26 d) of this binary system. We have
determined an orbital period of P = 22600.702 +/- 0.005 sec, a radial velocity
amplitude of A_1 = 39.19 +/- 0.05 km/sec, and T_0 = 2451917.152690 +/-
0.000005. From simulations of the He II 4686A line profile (based on NLTE model
atmosphere calculations), we derive v_rot = 47 +/- 5 km/sec.
  We present an animation which shows the orbital movement of the binary
system, its synthetic lightcurve, and compares the phase-dependent variation of
the predicted with the observed He II 4686A line profile.
  The radius of the cool component is almost the same size like Jupiter but its
mass is about 70 times higher than Jupiter's mass. Thus, from its present mass
(M_2 = 0.066 M_sun), the secondary of LB 3459 lies formally within the
brown-dwarf mass range (0.013 - 0.08 M_sun). It might be a former planet which
has survived the previous common-envelope phase and even has gained mass.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 09:52:13 GMT""}]","2009-11-07"
"astro-ph/0301104","Frank C. van den Bosch","Frank C. van den Bosch (MPA), H.J. Mo (MPA), and Xiaohu Yang (USTC)","Towards Cosmological Concordance on Galactic Scales","Due to a normalization error in the luminosity function provided to
  us, and used to constrain the models, the normalization of our models was
  wrong by about 15 percent. In this new version of the paper we use the
  properly normalized data, which results in small changes to most figures and
  to the actual constraints on the cosmological parameters. This version
  supersedes the version published in MNRAS","Mon.Not.Roy.Astron.Soc. 345 (2003) 923","10.1046/j.1365-8711.2003.07012.x",,"astro-ph",,"  We use the observed abundance and clustering of galaxies from the 2dFGRS to
determine the matter density Omega_m and the linear amplitude of mass
fluctuations sigma_8. We use a method based on the conditional luminosity
function, which allows straightforward computation of the luminosity dependent
bias of galaxies. In addition, it allows the inclusion of constraints on the
redshift space distortion parameter beta=Omega_m^{0.6}/b, and yields average
mass-to-light ratios as function of halo mass. Using only the luminosity
function and the correlation lengths as function of luminosity we obtain
constraints on Omega_m and sigma_8 that are in good agreement with COBE. Using
additional constraints on the mass-to-light ratios of clusters and on the value
of beta as determined from the 2dFGRS yields Omega_m = (0.27 +/- 0.06) and
sigma_8 = (0.77 +/- 0.06). Adding further constraints from current CMB data, we
obtain Omega_m = (0.25 +/- 0.04) and sigma_8 = (0.78 +/- 0.06). Thus, we find
strong indications that both Omega_m and sigma_8 are significantly lower than
their ``standard'' concordance values of 0.3 and 0.9, respectively. Finally, we
show that the cosmologies favored here predict dark matter haloes that are
significantly less centrally concentrated than for the standard LCDM
concordance model. This may solve both the problem with the rotation curves of
dwarf and LSB galaxies, as well as the problem of simultaneously matching the
galaxy luminosity function and the Tully-Fisher zero-point. (Abridged)
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 13:28:24 GMT""},{""version"":""v2"",""created"":""Wed, 30 Jul 2003 11:46:40 GMT""},{""version"":""v3"",""created"":""Tue, 9 Dec 2003 10:38:34 GMT""}]","2009-11-07"
"astro-ph/0301105","Sonia Giovanna Temporin","S. Temporin (1), R. Weinberger (1), G. Galaz (2), and F. Kerber (3)
  ((1) Institute of Astrophysics, University of Innsbruck; (2) Departamento de
  Astronomia y Astrofisica, Pontificia Universidad Catolica de Chile; (3)
  STECF, ESO)","Candidate Tidal Dwarf Galaxies in the Compact Group CG J1720-67.8","Accepted for publication in the Astrophysical Journal","Astrophys.J. 587 (2003) 660-671","10.1086/368340",,"astro-ph",,"  This is the second part of a detailed study of the ultracompact group CG
J1720-67.8: in the first part we have focused the attention on the three main
galaxies of the group and we have identified a number of candidate tidal dwarf
galaxies (TDGs). Here we concentrate on these candidate TDGs. Absolute
photometry of these objects in BVRJHKs bands confirms their relatively blue
colors, as we already expected from the inspection of optical and near-infrared
color maps and from the presence of emission-lines in the optical spectra. The
physical conditions in such candidate TDGs are investigated through the
application of photoionization models, while the optical colors are compared
with grids of spectrophotometric evolutionary synthesis models from the
literature. Although from our data self-gravitation cannot be proved for these
objects, their general properties are consistent with those of other TDG
candidates. Additionally we present the photometry of a few ``knots'' detected
in the immediate surroundings of CG J1720-67.8 and consider the possibility
that these objects might belong to a dwarf population associated with the
compact group.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 10:25:41 GMT""}]","2009-11-07"
"astro-ph/0301106","C. Motch","C. Motch, O. Herent and P. Guillout (the XMM-Newton Survey Science
  Center)","The source content of low galactic latitude XMM-Newton surveys","Proceedings of the ""X-ray surveys, in the light of the new
  observatories"" workshop, Astronomische Nachrichten, in the press (4 pages, 3
  figures, uses an.cls)",,"10.1002/asna.200310016",,"astro-ph",,"  We present results from a project conducted by the Survey Science Center of
the XMM-Newton satellite and aiming at the identification and characterisation
of serendipitous EPIC sources at low galactic latitudes. Deep multi-colour
optical imaging and spectroscopic observations have been obtained in the
framework of several observing campaigns carried out at ING, CFHT and ESO.
These observations have lead to a number of optical identifications, mostly
with active stars. We describe the identified source content at low galactic
latitudes and compare stellar populations properties at low and high galactic
latitudes with those expected from stellar X-ray count models.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 10:54:18 GMT""}]","2015-06-24"
"astro-ph/0301107","Massimo Turatto","Massimo Turatto","Classification of Supernovae","16 Pages, 4 figures, to be published in ""Supernovae and Gamma-Ray
  Bursters,"" ed. Kurt W. Weiler",,"10.1007/3-540-45863-8_3",,"astro-ph",,"  The current classification scheme for supernovae is presented. The main
observational features of the supernova types are described and the physical
implications briefly addressed. Differences between the homogeneous
thermonuclear type Ia and similarities among the heterogeneous core collapse
type Ib, Ic and II are highlighted. Transforming type IIb, narrow line type
IIn, supernovae associated with GRBs and few peculiar objects are also
discussed.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 10:43:26 GMT""}]","2016-04-13"
"astro-ph/0301108","Sonia Giovanna Temporin","Sonia Temporin (1) and Lister Staveley-Smith (2) ((1) Institute of
  Astrophysics, University of Innsbruck; (2) ATNF, CSIRO)","CG J1720-67.8: Radio and Integral Field Optical Observations","Figure 1a is available also in jpeg format with higher resolution. To
  be published in the proceedings of the workshop ""Galaxy Evolution in Groups
  and Clusters"", Eds. C. Lobo, M. Serote Roos, A. Biviano; Kluwer, 2003",,,,"astro-ph",,"  Our previous studies of the ultracompact galaxy group CG J1720-67.8 have
revealed properties, which suggest that the group is in a very advanced
evolutionary state. We present here new observations in the radio and optical
regimes, which have been obtained in order to further investigate the dynamical
and evolutionary state of the group. Velocity fields reconstructed from
integral field spectra of two regions of the group, obtained with SPIRAL at the
Anglo-Australian Telescope (AAT), show some degree of distortion and a
considerable velocity gradient across one of the TDG candidates. Estimates of
the HI content and of the overall star formation rate of the group are obtained
from radio observations with the Australia Telescope Compact Array (ATCA) in
the 21 cm line and in the 20 cm continuum.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 10:52:47 GMT""}]","2007-05-23"
"astro-ph/0301109","Elena Jimenez-Bailon","E. Jimenez-Bailon, M. Santos-Lleo, M. Dahlem, M. Ehle, M. Guainazzi
  and J. M. Mas Hess","The starburst-AGN of NGC1808 observed with XMM-Newton","4 pages, 6 figures, proceedings of the MSSL conference High
  Resolution X-ray Spectroscopy with XMM-Newton and Chandra",,,,"astro-ph",,"  NGC1808 is a nearby spiral galaxy that harbours an active central region with
an extent of 20 arcsec (i.e. 1 kpc). Previous X-ray and optical/NIR
observations have provided convincing evidence for the existence of a starburst
and an AGN. We present here preliminary results of the analysis of XMM-Newton
data. We show a weak high-resolution soft X-ray spectrum with only emission
lines typical of a starburst. Our analysis of the EPIC-pn spectrum shows two
thermal components, but there is an additional, hard X-ray power law tail that
is most likely due to an obscured active nucleus. Thus, our data show for the
first time the presence of emission from both components, AGN and starburst, in
one observation.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 11:21:00 GMT""}]","2007-05-23"
"astro-ph/0301110","Stefano Ciroi","S. Ciroi, M. Contini, P. Rafanelli, G. M. Richter","2-D spectroscopy and modeling of the biconical ionized gas in NGC 4388","Accepted for publication in Astronomy & Astrophysics","Astron.Astrophys. 400 (2003) 859-870","10.1051/0004-6361:20030008",,"astro-ph",,"  We present recent results from spectroscopic data and modeling of the
biconical ionized gas in the Seyfert-2 galaxy NGC 4388. A field of ~2.6 x 2.4
kpc centered on the nucleus has been observed by means of the modern technique
of integral field spectroscopy. The analysis of more than two hundred spectra
allowed to study the physical characteristics of the gas in the surroundings of
the active nucleus. The South-West ionization cone, revealed by the [O
III]5007/H-beta excitation map, shows high emission line ratios not completely
supported by simple photoionization. Composite models which account for the
combined effects of photoionization and shock show that such high [O
III]/H-beta line ratios are emitted by low density (n_0=30 cm^-3) gas inside
large (D > 1 pc) shocked clouds (V_s=100 km/s) reached by a relatively low flux
from the active nucleus. The data of the VEELR in the North-East cone by
Yoshida et al. (2002) have been modeled. The results confirm that
photoionization is the prevailing mechanism, but nontheless weak shocks are
under way between colliding clouds with small (< 1 pc) sizes and low densities
n_0 <= 100 cm^-3, moving outward at relatively low velocities (V_s=100 km/s).
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 11:59:56 GMT""}]","2009-11-07"
"astro-ph/0301111","Bo Feng","Bo Feng, Xiaobo Gong and Xiulian Wang","Assessing the Effects of the Uncertainty in Reheating Energy Scale on
  Primordial Spectrum and CMB","8 pages, 6 figures","Mod.Phys.Lett. A19 (2004) 2377","10.1142/S0217732304014896",,"astro-ph",,"  The details of reheating energy scale $\rho_{reh}$ is largely uncertain
today, independent of inflation models. This would induce uncertainty in
predicting primordial spectrum. Such uncertainty could be very large,
especially for spectra with large running $n_S$. We find that for some
inflation models with a large $d\ln n_S(k)/d\ln k$, $\rho_{reh}$ could be
highly restricted by current CMB observations.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 14:03:56 GMT""}]","2009-11-07"
"astro-ph/0301112","P. B. Jones","P. B. Jones","Damping of Neutron Star Shear Modes by Superfluid Friction","7 LaTeX pages, 4 eps figures; accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc. 340 (2003) 247","10.1046/j.1365-8711.2003.06288.x",,"astro-ph",,"  The forced motion of superfluid vortices in shear oscillations of rotating
solid neutron star matter produces damping of the mode. A simple model of the
unpinning and repinning processes is described, with numerical calculations of
the consequent energy decay times. These are of the order of 1 s or more for
typical anomalous X-ray pulsars but become very short for the general
population of radio pulsars. The superfluid friction processes considered here
may also be significant for the damping of r-modes in rapidly rotating neutron
stars.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 12:27:33 GMT""}]","2009-11-07"
"astro-ph/0301113","Jose Gracia","J. Gracia, J. Peitz, Ch. Keller and M. Camenzind","Evolution of bimodal accretion flows","6 pages, 3 figures. Revised version, added system of equations.
  Accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc. 344 (2003) 468","10.1046/j.1365-8711.2003.06832.x",,"astro-ph",,"  We consider time-dependent models for rotating accretion flows onto black
holes, where a transition takes place from an outer cooling-dominated disc to a
radiatively inefficient flow in the inner region. In order to allow for a
transition of this type we solve the energy equation, both, for the gas and for
the radiation field, including a radiative cooling flux and a turbulent
convective heat flux directed along the negative entropy gradient. The
transition region is found to be highly variable, and a corresponding variation
expected for the associated total luminosity. In particular, rapid oscillations
of the transition radius are present on a timescale comparable with the local
Keplerian rotation time. These oscillations are accompanied by a quasi-periodic
modulation of the mass flux at the outer edge of the advection-dominated
accretion flow (ADAF). We speculate about the relevance for the high-frequency
QPO phenomenon.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 13:03:07 GMT""},{""version"":""v2"",""created"":""Mon, 26 May 2003 08:23:57 GMT""}]","2009-11-07"
"astro-ph/0301114","Roberto Mignani","Roberto P. Mignani (ESO) and Werner Becker (MPE)","VLT observations of the solitary millisecond pulsar PSR J2124-3358","5 pages, 4 ps figures, submitted to ASpR",,"10.1016/j.asr.2003.08.027",,"astro-ph",,"  About 100 millisecond (ms) pulsars have been identified in the Galaxy, and
only ~10% of them are solitary, i.e. without a binary companion. Nothing is
known on the optical emission properties of millisecond pulsars. Observations
of solitary millisecond pulsars are the only way to detect their faint optical
radiation, otherwise buried by the brighter white dwarf companion. As in the
case of solitary, non millisecond pulsars, an X-ray detection represents the
first step for a follow-up identification campaign in the optical. Among the
X-ray detected millisecond pulsars, PSR J2124-3358 stands out as an ideal case
because it is very close (<270 pc) and little absorbed. Here, we report on
recent VLT observations of the PSR J2124-3358 aimed at the identification of
its optical counterpart. No optical emission from the pulsar has been detected
down to a limiting flux of V ~ 27.8.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 13:09:25 GMT""},{""version"":""v2"",""created"":""Wed, 8 Jan 2003 12:52:05 GMT""}]","2009-11-07"
"astro-ph/0301115","Ferdinando Patat","Ferdinando Patat (ESO)","UBVRI Night sky brightness during sunspot maximum at ESO-Paranal","Accepted for publication in A&A; 22 pages, 22 figures. Paper with
  full resolution figures available at
  http://www.eso.org/~fpatat/science/skybright/paperII.ps.gz","Astron.Astrophys.400:1183-1198,2003","10.1051/0004-6361:20030030",,"astro-ph",,"  In this paper we present and discuss for the first time a large data set of
UBVRI night sky brightness measurements collected at ESO-Paranal from April
2000 to September 2001. A total of about 3900 images obtained on 174 different
nights with FORS1 were analysed using an automatic algorithm specifically
designed for this purpose. This led to the construction of an unprecedented
database that allowed us to study in detail a number of effects such as
differential zodiacal light contamination, airmass dependency, daily solar
activity and moonlight contribution. Particular care was devoted to the
investigation of short time scale variations and micro-auroral events. The
typical dark time night sky brightness values found for Paranal are similar to
those reported for other astronomical dark sites at a similar solar cycle
phase. The zenith-corrected values averaged over the whole period are 22.3,
22.6, 21.6 20.9 and 19.7 mag arcsec-2 in U, B, V, R and I respectively. In
particular, there is no evidence of light pollution either in the broadband
photometry or in the high-airmass spectra we have analysed. Finally, possible
applications for the exposure time calculators are discussed.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 14:06:26 GMT""}]","2011-05-23"
"cond-mat/0301040","A. K. Aringazin","A.K. Aringazin and M.I. Mazhitov","Gaussian factor in the distribution arising from the nonextensive
  statistics approach to fully developed turbulence","RevTeX4, 12 pages, 2 figure (3 eps files)",,,,"cond-mat.stat-mech",,"  We propose a simple modification, the Gaussian truncation, of the probability
density function which was obtained by Beck (2001) to fit the experimental
distribution of fluid particle acceleration component from fully developed
fluid turbulence inspired by the framework of nonextensive statistical
mechanics with the underlying gamma distribution of the model parameter. The
modified distribution is given a phenomenological treatment and provides a good
fit to new experimental results on the acceleration of fluid particle reported
by Crawford, Mordant, and Bodenschatz. We compare the results with the new fit
which was recently obtained by Beck (2002) with the use of the underlying
log-normal distribution of the model parameter.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 20:22:55 GMT""},{""version"":""v2"",""created"":""Tue, 7 Jan 2003 16:32:30 GMT""},{""version"":""v3"",""created"":""Wed, 19 Nov 2003 22:35:05 GMT""}]","2007-05-23"
"cond-mat/0301051","Manuel Angst","J. Karpinski, S. M. Kazakov, J. Jun, M. Angst, R. Puzniak, A.
  Wisniewski and P. Bordet","Single crystal growth of MgB2 and thermodynamics of Mg-B-N system at
  high pressure","PDF only, 12 pages, 4 figures. Physica C (special MgB2 issue) in
  print (proof available online with ScienceDirect)","Physica C 385, 42 (2003)","10.1016/S0921-4534(02)02308-0",,"cond-mat.supr-con",,"  Single crystals of MgB2 have been grown at high pressure via the peritectic
decomposition of MgNB9. The crystals are of a size up to 1.5x0.9x0.2 mm3 with a
weight up to 0.23 mg, and typically have transition temperatures between 37 and
39 with a width of 0.3-0.5 K. Investigations of the P-T phase diagram prove
that the MgB2 phase is stable at least up to 2190 C at high hydrostatic
pressure in the presence of Mg vapor under high pressure. Small variations of
Tc are caused by doping with metal elements from the precursor or annealing of
defects during the crystal growth process.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 16:19:20 GMT""}]","2009-11-10"
"cond-mat/0301052","Supriyo Bandyopadhyay","M. Cahay and S. Bandyopadhyay","The Effect of Ramsauer Type Transmission Resonances on the Conductance
  Modulation of Spin Interferometers","3 figures",,"10.1103/PhysRevB.68.115316",,"cond-mat.mes-hall",,"  We use a mean field approach to study the conductance modulation of gate
controlled semiconductor spin interferometers based on the Rashba spin-orbit
coupling effect. The conductance modulation is found to be mostly due to
Ramsauer type transmission resonances rather than the Rashba effect in typical
structures. This is because of significant reflections at the interferometer's
contacts due to large potential barriers and effective mass mismatch between
the contact material and the semiconductor. Thus, unless particular care is
taken to eliminate these reflections, any observed conductance modulation of
spin interferometers may have its origin in the Ramsauer resonances (which is
unrelated to spin) rather than the Rashba effect.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 18:46:48 GMT""}]","2013-05-29"
"cond-mat/0301053","Gregory Schehr","Gregory Schehr, Thierry Giamarchi and Pierre Le Doussal","Specific heat of classical disordered elastic systems","4 pages, RevTex","Phys. Rev. Lett. 91, 117002 (2003)","10.1103/PhysRevLett.91.117002",,"cond-mat",,"  We study the thermodynamics of disordered elastic systems, applied to vortex
lattices in the Bragg glass phase. Using the replica variational method we
compute the specific heat of pinned vortons in the classical limit. We find
that the contribution of disorder is positive, linear at low temperature, and
exhibits a maximum. It is found to be important compared to other
contributions, e.g. core electrons, mean field and non linear elasticity that
we evaluate. The contribution of droplets is subdominant at weak disorder in
$d=3$.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 16:48:01 GMT""},{""version"":""v2"",""created"":""Mon, 31 Mar 2003 12:14:56 GMT""},{""version"":""v3"",""created"":""Fri, 20 Jun 2003 14:25:55 GMT""}]","2009-11-10"
"cond-mat/0301054","Ronald Dickman","Ronald Dickman and J. M. M. Campelo","Avalanche exponents and corrections to scaling for a stochastic sandpile","8 pages, 4 figures",,"10.1103/PhysRevE.67.066111",,"cond-mat.stat-mech cond-mat.soft",,"  We study distributions of dissipative and nondissipative avalanches in
Manna's stochastic sandpile, in one and two dimensions. Our results lead to the
following conclusions: (1) avalanche distributions, in general, do not follow
simple power laws, but rather have the form $P(s) \sim s^{-\tau_s} (\ln
s)^{\gamma} f(s/s_c)$, with $f$ a cutoff function; (2) the exponents for sizes
of dissipative avalanches in two dimensions differ markedly from the
corresponding values for the Bak-Tang-Wiesenfeld (BTW) model, implying that the
BTW and Manna models belong to distinct universality classes; (3) dissipative
avalanche distributions obey finite size scaling, unlike in the BTW model.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 17:04:39 GMT""}]","2009-11-10"
"cond-mat/0301055","Yuriy Pershin","Yuriy V. Pershin and Vladimir Privman","Spin Relaxation of Conduction Electrons in Semiconductors Due to
  Interaction with Nuclear Spins","submitted to Nano Letters","Nano Letters 3, 695-700 (2003)","10.1021/nl034009l",,"cond-mat.mes-hall cond-mat.mtrl-sci quant-ph",,"  Relaxation of conduction electron spins in a semiconductor owing to the
hyperfine interaction with spin-1/2 nuclei, in zero applied magnetic field, is
investigated. We calculate the electron spin relaxation time scales, in order
to evaluate the importance of this relaxation mechanism. Master equations for
the electron spin density matrix are derived and solved. Polarized nuclear
spins can be used to polarize the electrons in spintronic devices.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 21:12:30 GMT""}]","2010-10-12"
"cond-mat/0301056","Francesco d'Ovidio","Silvia De Monte, Francesco d'Ovidio, and Erik Mosekilde","Noise-induced macroscopic bifurcations in populations of globally
  coupled maps","5 pages, 4 figures",,,,"cond-mat.stat-mech",,"  Populations of globally coupled identical maps subject to additive,
independent noise are studied in the regimes of strong coupling. Contrary to
each noisy population element, the mean field dynamics undergoes qualitative
changes when the noise strength is varied. In the limit of infinite population
size, these macroscopic bifurcations can be accounted for by a deterministic
system, where the mean-field, having the same dynamics of each uncoupled
element, is coupled with other order parameters. Different approximation
schemes are proposed for polynomial and exponential functions and their
validity discussed for logistic and excitable maps.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 00:12:58 GMT""}]","2007-05-23"
"cond-mat/0301057","Changyoung Kim","C. Kim, A. Mehta, D.L. Feng, K.M. Shen, N.P. Armitage, K. Char, S.H.
  Moon, Y.Y. Xie, J. Wu","X-ray diffraction measurements of the c-axis Debye-Waller factors of
  YBa2Cu3O7 and HgBa2CaCu2O6","4 pages, 2 figures. To be published in Physical Review B (Brief
  Report)",,"10.1103/PhysRevB.67.092508",,"cond-mat.supr-con",,"  We report the first application of x-rays to the measurement of the
temperature dependent Bragg peak intensities to obtain Debye-Waller factors on
high-temperature superconductors. Intensities of (0,0,l) peaks of YBa2Cu3O7 and
HgBa2CaCu2O6 thin films are measured to obtain the c-axis Debye-Waller factors.
While lattice constant and some Debye-Waller factor measurements on high Tc
superconductors show anomalies at the transition temperature, our measurements
by x-ray diffraction show a smooth transition of the c-axis Debye-Waller
factors through T$_c$. This suggests that the dynamic displacements of the
heavy elements along the c-axis direction in these compounds do not have
anomalies at Tc. This method in combination with measurements by other
techniques will give more details concerning dynamics of the lattice.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 05:26:18 GMT""}]","2009-11-10"
"cond-mat/0301058","Carmine Antonio Perroni","C.A. Perroni, V. Cataudella, G. De Filippis, G. Iadonisi, V.
  Marigliano Ramaglia, and F. Ventriglia","Infrared absorption of the charge-ordering phase: Lattice effects","8 figures. to appear on PRB","Phys. Rev. B 67, 94302 (2003)","10.1103/PhysRevB.67.094302",,"cond-mat.str-el",,"  The phase diagram of the half-filled spinless Holstein model for electrons
interacting with quantum phonons is derived in three dimensions extending at
finite temperature $T$ a variational approach introduced for the
one-dimensional T=0 case. Employing the variational scheme, the spectral and
optical properties of the system are evaluated in the different regimes that
characterize the normal and ordered state. The effects of the charge-ordering
($CO$) induce a transfer of spectral weight from low to high energies in the
conductivity spectra, as the temperature decreases or the strength of the
electron-phonon ($el-ph$) interaction increases. The inclusion of effects of
lattice fluctuations is able to smooth the inverse square-root singularity
expected for the case of the mean-field approach and determines a subgap tail
absorption. Moreover, in the weak to intermediate coupling regime, a
two-component structure is obtained within the $CO$ phase at low frequency: the
remnant Drude-like term and the incipient absorption band centered around the
gap energy.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 07:56:58 GMT""}]","2009-11-10"
"cond-mat/0301059","Miguel A. Munoz","Miguel A. Munoz and Romualdo Pastor-Satorras","Stochastic theory of synchronization transitions in extended systems","To appear in Phys. Rev. Lett",,"10.1103/PhysRevLett.90.204101",,"cond-mat.stat-mech",,"  We propose a general Langevin equation describing the universal properties of
synchronization transitions in extended systems. By means of theoretical
arguments and numerical simulations we show that the proposed equation
exhibits, depending on parameter values, either: i) a continuous transition in
the bounded Kardar-Parisi-Zhang universality class, with a zero largest
Lyapunov exponent at the critical point; ii) a continuous transition in the
directed percolation class, with a negative Lyapunov exponent, or iii) a
discontinuous transition (that is argued to be possibly just a transient
effect). Cases ii) and iii) exhibit coexistence of synchronized and
unsynchronized phases in a broad (fuzzy) region. This phenomenology reproduces
almost all the reported features of synchronization transitions of coupled map
lattices and other models, providing a unified theoretical framework for the
analysis of synchronization transitions in extended systems.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 09:06:23 GMT""},{""version"":""v2"",""created"":""Mon, 21 Apr 2003 10:35:13 GMT""}]","2009-11-10"
"cond-mat/0301060","Yueh-Nan Chen","Yueh-Nan Chen, Der-San Chuu, and Yuh-Kae Lin","Effect of electron-phonon interaction on the impurity binding energy in
  a quantum wire","6 pages, 4 figures","Physica B 291, 228 (2000)","10.1016/S0921-4526(00)00451-8",,"cond-mat.mes-hall",,"  The effect of electron-optical phonon interaction on the hydrogenic impurity
binding energy in a cylindrical quantum wire is studied. By using Landau and
Pekar variational method, the hamiltonian is separated into two parts which
contain phonon variable and electron variable respectively. A
perturbative-variational technique is then employed to construct the trial
wavefunction for the electron part. The effect of confined electron-optical
phonon interaction on the binding energies of the ground state and an excited
state are calculated as a function of wire radius. Both the electron-bulk
optical phonon and electron-surface optical phonon coupling are considered. It
is found that the energy corrections of the polaron effects on the impurity
binding energies increase rapidliy as the wire radius is shrunk, and the bulk
type optical phonon plays the dominant role for the polaron effects.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 09:56:36 GMT""}]","2007-05-23"
"cond-mat/0301061","Emmanuel Trizac","M. Aubouy, E. Trizac and L. Bocquet","Effective charge versus bare charge for colloids in the infinite
  dilution limit","Proceedings of the International Conference on Strongly Coupled
  Coulomb Systems, Santa Fe (2002)","J. Phys. A: Math. Gen. 36 5835 (2003).","10.1088/0305-4470/36/22/302",,"cond-mat.soft",,"  We propose an analytical approximation for the dependence of the effective
charge on the bare charge for spherical and cylindrical macro-ions as a
function of the size of the colloid and salt content, for the situation of a
unique colloid immersed in a sea of electrolyte (where the definition of an
effective charge is non ambiguous).
  Our approach is based on the Poisson-Boltzmann (PB) mean-field theory.
Mathematically speaking, our estimate is asymptotically exact in the limit
$\kappa a\gg 1$, where $a$ is the radius of the colloid and $\kappa$ the
inverse screening length. In practice, a careful comparison with effective
charges parameters obtained by numerically solving the full non-linear PB
theory proves that it is good down to $\kappa a\sim 1$. This is precisely the
limit appropriate to treat colloidal suspensions. A particular emphasis is put
on the range of parameters suitable to describe both single and double strand
DNA molecules under physiological conditions.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 10:16:26 GMT""}]","2016-08-31"
"cond-mat/0301062","Henri Saarikoski","H. Saarikoski, E. R\""as\""anen, S. Siljam\""aki, A. Harju, M. J. Puska,
  and R. M. Nieminen","Testing of two-dimensional local approximations in the current-spin and
  spin-density-functional theories","18 pages, 3 figures, 5 eps-figure files","Phys. Rev. B 67, 205327 (2003)","10.1103/PhysRevB.67.205327",,"cond-mat.mes-hall",,"  We study a model quantum dot system in an external magnetic field by using
both the spin-density-functional theory and the current-spin-density-functional
theory. The theories are used with local approximations for the spin-density
and the vorticity. The reliabilities of different parametrizations for the
exchange-correlation functionals are tested by comparing the ensuing energetics
with quantum Monte Carlo results. The limit where the vorticity dependence
should be used in the exchange-correlation functionals is discussed.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 10:44:18 GMT""}]","2007-05-23"
