"astro-ph/0312567","Timur Rashba","V. B. Semikoz and D. D. Sokoloff","Large-scale magnetic field generation by alpha-effect driven by
  collective neutrino-plasma interaction","11 pages, no figure, extended version accepted in Phys. Rev. Lett","Phys.Rev.Lett. 92 (2004) 131301","10.1103/PhysRevLett.92.131301",,"astro-ph hep-ph",,"  We suggest a new mechanism for generation of large-scale magnetic field in
the hot plasma of early universe which is based on the parity violation in weak
interactions and depends neither on helicity of matter turbulence resulting in
the standard alpha-effect nor on general rotation. The mechanism can result in
a self-excitation of an (almost) uniform cosmological magnetic field.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 17:15:33 GMT""},{""version"":""v2"",""created"":""Sun, 29 Feb 2004 15:09:49 GMT""}]","2009-11-10"
"cond-mat/0312569","Sotaro Sasaki","Sotaro Sasaki, Hiroaki Ikeda and Kosaku Yamada","Perturbation Theory for a Repulsive Hubbard Model in
  Quasi-One-Dimensional Superconductors","4 pages, 7 figures",,"10.1143/JPSJ.73.815",,"cond-mat.supr-con",,"  We investigate pairing symmetry and a transition temperature in a
quasi-one-dimensional repulsive Hubbard model. We solve the Eliashberg equation
using the third-order perturbation expansion with respect to the on-site
repulsion $U$. We find that when the electron number density is shifted from
the half-filled, a transition into unconventional superconductivity is
expected. When one dimensionality is weak, a spin-singlet state is favorable.
By contrast, when one dimensionality is strong and electron number density is
far from the half-filled, a spin-triplet state is stabilized. Finally, we
discuss the possibility of unconventional superconductivity caused by the
on-site Coulomb repulsion in $\beta$-Na$_{0.33}$V$_2$O$_5$.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 07:34:44 GMT""},{""version"":""v2"",""created"":""Tue, 13 Jan 2004 02:22:03 GMT""},{""version"":""v3"",""created"":""Wed, 25 Feb 2004 02:40:13 GMT""},{""version"":""v4"",""created"":""Thu, 26 Feb 2004 04:24:23 GMT""}]","2009-11-10"
"cond-mat/0312570","Hiroshi Eisaki","H.Eisaki, N. Kaneko, D.L. Feng, A. Damascelli, P.K. Mang, K.M. Shen,
  Z.-X. Shen, M. Greven","Effect of chemical inhomogeneity in the bismuth-based copper oxide
  superconductors","9 pages, 3 figures, to appear in Phys. Rev. B","Phys. Rev. B 69, 064512 (2004)","10.1103/PhysRevB.69.064512",,"cond-mat.supr-con cond-mat.str-el",,"  We examine the effect on the superconducting transition temperature (Tc) of
chemical inhomogeneities in Bi2201 and Bi2212 single crystals. Cation disorder
at the Sr crystallographic site is inherent in these materials and strongly
affects the value of Tc. Partial substitution of Sr by Ln (Ln = La, Pr, Nd, Sm,
Eu, Gd, and Bi) in Bi_{2}Sr_{1.6}Ln_{0.4}CuO_{6} results in a monotonic
decrease of Tc with increasing ionic radius mismatch. By minimizing Sr site
disorder at the expense of Ca site disorder, we demonstrate that the Tc of
Bi2212 can be increased to 96 K. Based on these results we discuss the effects
of chemical inhomogeneity in other bulk high-temperature superconductors.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 07:53:41 GMT""}]","2009-11-10"
"cond-mat/0312571","Charles M. Marcus","A. C. Johnson, C. M. Marcus, M. P. Hanson, A. C. Gossard","Coulomb-Modified Fano Resonance in a One-Lead Quantum Dot","related papers available at http://marcuslab.harvard.edu","Phys. Rev. Lett. 93, 106803 (2004).","10.1103/PhysRevLett.93.106803",,"cond-mat.mes-hall",,"  We investigate a tunable Fano interferometer consisting of a quantum dot
coupled via tunneling to a one-dimensional channel. In addition to Fano
resonance, the channel shows strong Coulomb response to the dot, with a single
electron modulating channel conductance by factors of up to 100. Where these
effects coexist, lineshapes with up to four extrema are found. A model of
Coulomb-modified Fano resonance is developed and gives excellent agreement with
experiment.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 09:29:52 GMT""},{""version"":""v2"",""created"":""Sat, 7 Feb 2004 15:07:00 GMT""}]","2009-11-10"
"cond-mat/0312572","Laflorencie","Nicolas laflorencie, Heiko Rieger, Anders W. Sandvik, Patrik Henelius","Crossover effects in the random exchange spin-1/2 antiferromagnetic
  chain","13 pages, 15 figures, submitted to Phys. Rev. B","Phys. Rev. B 70, 054430 (2004)","10.1103/PhysRevB.70.054430",,"cond-mat.str-el cond-mat.dis-nn",,"  The random antiferromagnetic spin-1/2 XX and XXZ chain is studied numerically
for varying strength of the disorder, using exact diagonalization and
stochastic series expansion methods. The spin-spin correlation function as well
as the stiffness display a clear crossover from the pure behavior (no disorder)
to the infinite randomness fixed point or random singlet behavior predicted by
the the real space renormalization group. The crossover length scale is shown
to diverge as $\xi\sim{\mathcal D}^{-\gamma}$, where ${\mathcal D}$ is the
variance of the random bonds. Our estimates for the exponent $\gamma$ agrees
well within the error bars with the one for the localization length exponent
emerging within an analytical bosonization calculation. Exact diagonalization
and stochastic series expansion results for the string correlation function are
also presented.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 09:41:45 GMT""}]","2009-11-10"
"cond-mat/0312573","David Santiago","Bogdan A. Bernevig, George Chapline, Robert B. Laughlin, Zaira Nazario
  and David I. Santiago","Nearly Insulating Strongly Correlated Systems: Gossamer Superconductors
  and Metals",,,,,"cond-mat.str-el cond-mat.supr-con",,"  Recently a new phenomenological Hamiltonian was proposed to describe the
superconducting cuprates in which correlations and on-site Coulomb repulsion
are introduced by partial Gutzwiller projection. This Gossamer Hamiltonian has
an exact ground state and differs from the t-J and Hubbard Hamiltonians in
possessing a powerful attractive interaction among electrons responsible for
Cooper pairing in the d-wave channel. It is a faithful description for a
superconductor with strong on-site electronic repulsion. The superconducting
tunneling gap remains intact and despite on-site repulsion. Near half-filling
the Gossamer superconductor with strong repulsion has suppressed photoemission
intensities and superfluid density, is unstable toward an antiferromagnetic
insulator and possesses an incipient Mott-Hubbard gap. The Gossamer technique
can be applied to metallic ground states thus possibly serving as an apt
description of strongly correlated metals. Such a Gossamer metallic phase, just
as the Gossamer superconducting one, becomes arbitrarily hard to differentiate
from an insulator as one turns the Coulomb correlations up near half-filling.
Both the metallic and superconducting states undergo a quantum phase transition
to an antiferromagnetic insulator as one increases the on-site Coulomb
repulsion. In the Gossamer model we reach the critical point at half-filling by
fully projecting out the double occupancy. Such a critical point might be the
Anderson Resonating Valence bond state.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 10:02:29 GMT""},{""version"":""v2"",""created"":""Mon, 22 Dec 2003 23:16:15 GMT""}]","2007-05-23"
"cond-mat/0312574","Hickel","T. Hickel, W. Nolting","Proper weak-coupling approach to the periodic s-d(f) exchange model","11 pages, 6 figures; accepted by Phys. Rev. B",,"10.1103/PhysRevB.69.085110",,"cond-mat.str-el",,"  The periodic s-d(f) exchange model is characterized by a wide variety of
interesting applications, a simple mathematical structure and a limited number
of reliable approximations which take care of the quantum nature of the
participating spins. We suggest the use of a projection-operator method for
getting information perturbationally, which are not accessible via diagrammatic
approaches. In this paper we present in particular results beyond perturbation
theory, which are obtained such that almost all exactly known limiting cases
are incorporated correctly. We discuss a variety of possible methods and
evaluate their consequences for one-particle properties. These considerations
serve as a guideline for a more effective approach to the model.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 10:54:14 GMT""}]","2009-11-10"
"cond-mat/0312575","Kiyohisa Tanaka","K. Tanaka, T. Yoshida, A. Fujimori, D.H. Lu, Z.-X. Shen, X.-J. Zhou,
  H. Eisaki, Z. Hussain, S. Uchida, Y. Aiura, K. Ono, T. Sugaya, T. Mizuno, and
  I. Terasaki","Effects of next-nearest-neighbor hopping $t^{\prime}$ on the electronic
  structure of cuprates","5 pages,4 figures, 1 table","Physical Review B 70, 092503 (2004), Virtual Journal of
  Applications of Superconductivity, October 1, 2004","10.1103/PhysRevB.70.092503",,"cond-mat.supr-con cond-mat.str-el",,"  Photoemission spectra of underdoped and lightly-doped
Bi$_{2-z}$Pb$_z$Sr$_2$Ca$_{1-x}${\it R}$_{x}$Cu$_2$O$_{8+y}$ ($R=$ Pr, Er)
(BSCCO) have been measured and compared with those of La$_{2-x}$Sr$_x$CuO$_4$
(LSCO). The lower-Hubbard band of the insulating BSCCO, like
Ca$_2$CuO$_2$Cl$_2$, shows a stronger dispersion than La$_2$CuO$_4$ from ${\bf
k}\sim$($\pi/2,\pi/2$) to $\sim$($\pi,0$). The flat band at ${\bf
k}\sim$($\pi,0$) is found generally deeper in BSCCO. These observations
together with the Fermi-surface shapes and the chemical potential shifts
indicate that the next-nearest-neighbor hopping $|t^{\prime}|$ of the
single-band model is larger in BSCCO than in LSCO and that $|t^{\prime}|$
rather than the super-exchange $J$ influences the pseudogap energy scale.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 10:54:53 GMT""}]","2009-11-10"
"cond-mat/0312576","Limbach","H. J. Limbach, M. Sayar, and C. Holm","Polyelectrolyte Bundles","10 pages, 8 figures",,"10.1088/0953-8984/16/22/012",,"cond-mat.soft",,"  Using extensive Molecular Dynamics simulations we study the behavior of
polyelectrolytes with hydrophobic side chains, which are known to form
cylindrical micelles in aqueous solution. We investigate the stability of such
bundles with respect to hydrophobicity, the strength of the electrostatic
interaction, and the bundle size. We show that for the parameter range relevant
for sulfonated poly-para-phenylenes (PPP) one finds a stable finite bundle
size. In a more generic model we also show the influence of the length of the
precursor oligomer on the stability of the bundles. We also point out that our
model has close similarities to DNA solutions with added condensing agents,
hinting to the possibility that the size of DNA aggregates is under certain
circumstances thermodynamically limited.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 12:25:00 GMT""}]","2015-06-24"
"cond-mat/0312577","Thomas Ludwig","T. Ludwig, A. D. Mirlin","Mesoscopic Aharonov-Bohm oscillations in metallic rings","16 pages, 4 figures, to appear in proceedings of NATO/Euresco
  Conference ""Fundamental Problems of Mesoscopic Physics: Interactions and
  Decoherence"", Granada (Spain), September 2003",,"10.1007/1-4020-2193-3_7",,"cond-mat.mes-hall",,"  We study the amplitude of mesoscopic Aharonov-Bohm oscillations in
quasi-one-dimensional (Q1D) diffusive rings. We consider first the
low-temperature limit of a fully coherent sample. The variance of oscillation
harmonics is calculated as a function of the length of the leads attaching the
ring to reservoirs. We further analyze the regime of relatively high
temperatures, when the dephasing due to electron-electron interaction
suppresses substantially the oscillations. We show that the dephasing length
L_phi^AB governing the damping factor exp(-2pi R /L_phi^AB) of the oscillations
is parametrically different from the common dephasing length for the Q1D
geometry. This is due to the fact that the dephasing is governed by energy
transfers determined by the ring circumference 2pi R, making L_phi^AB
R-dependent.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 12:46:47 GMT""}]","2015-06-24"
"cond-mat/0312578","Adolfo Avella","Adolfo Avella and Ferdinando Mancini","The charge and spin sectors of the t-t' Hubbard model","3 pages","Physica C 408, 284 (2004)","10.1016/j.physc.2004.02.147",,"cond-mat.str-el",,"  The charge and spin sectors, which are intimately coupled to the fermionic
one, of the t-t' Hubbard model have been computed self-consistently within the
two-pole approximation. The relevant unknown correlators appearing in the
causal bosonic propagators have been computed by enforcing the constraints
dictated by the hydrodynamics and the algebra of the composite operators coming
into play. The proposed scheme of approximation extends previous calculations
made for the fermionic sector of the t-t' Hubbard model and the bosonic sector
of the Hubbard model, which showed to be very effective to describe the
overdoped region of cuprates (the former) and the magnetic response of their
parent compounds (the latter).
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 13:23:41 GMT""}]","2007-05-23"
"cond-mat/0312579","Gilberto Curatola","G. Curatola, G. Iannaccone","NANOTCAD2D: Two-dimensional code for the simulation of nanoelectronic
  devices and structures","23 pages, 11 figures","Computational Material Science, 28 (2003) pp. 342-352",,,"cond-mat.mes-hall",,"  In this paper we present NANOTCAD2D, a code for the simulation of the
electrical properties of semiconductor-based nanoelectronic devices and
structures in two-dimensional domains. Such code is based on the solution of
the Poisson/Schr\""odinger equation with density functional theory and of the
continuity equation of the ballistic current. NANOTCAD2D can be applied to
structures fabricated on III-IV, strained-silicon and silicon-germanium
heterostructures, CMOS structures, and can easily be extended to new materials.
In particular, in the case of SiGe heterostructures, it computes the effects of
strain on the energy band profiles. The effects of interface states at the
air/semiconductor interfaces, particularly significant in the case of devices
obtained by selective etching, are also properly taken into account.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 13:40:30 GMT""}]","2007-05-23"
"cond-mat/0312580","Alberto Petri","M. J. de Oliveira, A. Petri and T. Tome","Glassy states in lattice models with many coexisting crystalline phases","12 pages, 4 figures","Europhys. Lett. 65 No. 1 (January 2004), p. 20","10.1209/epl/i2003-10060-0",,"cond-mat.stat-mech",,"  We study the emergence of glassy states after a sudden cooling in lattice
models with short range interactions and without any a priori quenched
disorder. The glassy state emerges whenever the equilibrium model possesses a
sufficient number of coexisting crystalline phases at low temperatures,
provided the thermodynamic limit be taken before the infinite time limit. This
result is obtained through simulations of the time relaxation of the standard
Potts model and some exclusion models equipped with a local stochastic dynamics
on a square lattice.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 14:39:48 GMT""}]","2009-11-10"
"cond-mat/0312581","Hans de Raedt","H.De Raedt, S.Miyashita, K.Michielsen, and M.Machida","Microscopic origin of the adiabatic change of magnetization in molecular
  magnets",,,,,"cond-mat.mtrl-sci",,"  A microscopic model of the molecular magnet V15 is used to study mechanisms
for the adiabatic change of the magnetization in time-dependent magnetic
fields. Effects of the Dzyaloshinskii-Moriya interaction, the most plausible
source for the energy-level repulsions that lead to adiabatic changes of the
magnetization, are studied in detail. We find that the energy-level repulsions
that result from this interaction exhibit a strong dependence on the direction
of the applied field. We also discuss the role of magnetic anisotropy in the
molecule Mn12 -acetate.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 14:34:35 GMT""}]","2007-05-23"
"cond-mat/0312582","Zhen Ye","Hung-Ta Chien, Hui-Ting Tang, Chao-Hsien Kuo, Chii-Chang Chen, and
  Zhen Ye","Directed diffraction without negative refraction","3 pages, 4 figures","Phys. Rev. Rev. B 70, 113101 (2004)","10.1103/PhysRevB.70.113101",,"cond-mat.mtrl-sci",,"  Using the FDTD method, we investigate the electromagnetic propagation in
two-dimensional photonic crystals, formed by parallel air cylinders in a
dielectric medium. The corresponding frequency band structure is computed using
the standard plane-wave expansion method. It is shown that within partial
bandgaps, waves tend to bend away from the forbidden directions. This
phenomenon perhaps need not be explained in terms of negative refraction or
`superlensing' behavior, contrast to what has been conjectured.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 15:29:03 GMT""}]","2009-11-10"
"cond-mat/0312583","Michel Pleimling","Michel Pleimling and Ferenc Igloi","Out-of-equilibrium critical dynamics at surfaces: Cluster dissolution
  and non-algebraic correlations","4 pages, 4 figures","Phys. Rev. Lett. 92, 145701 (2004)","10.1103/PhysRevLett.92.145701",,"cond-mat.stat-mech",,"  We study nonequilibrium dynamical properties at a free surface after the
system is quenched from the high-temperature phase into the critical point. We
show that if the spatial surface correlations decay sufficiently rapidly the
surface magnetization and/or the surface manifold autocorrelations has a
qualitatively different universal short time behavior than the same quantities
in the bulk. At a free surface cluster dissolution may take place instead of
domain growth yielding stationary dynamical correlations that decay in a
stretched exponential form. This phenomenon takes place in the
three-dimensional Ising model and should be observable in real ferromagnets.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 15:48:50 GMT""}]","2009-11-10"
"cond-mat/0312584","Stephane Raymond","S. Raymond and A. Huxley","Spin dynamics of the ferromagnetic superconductor UGe$_{2}$","European Conference on Neutron Scattering, Montpellier 2003 (to
  appear in Physica B)",,"10.1016/j.physb.2004.04.052",,"cond-mat.str-el cond-mat.supr-con",,"  Inelastic neutron scattering was used to study the low energy magnetic
excitations of the ferromagnetic superconductor UGe$_{2}$. The ferromagnetic
fluctuations are of Ising nature with a non-conserved magnetization and have an
intermediate behavior between localized and itinerant magnetism.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 15:51:05 GMT""}]","2009-11-10"
"gr-qc/0312093","Ricardo Antonio Mosna","Ricardo A. Mosna and J. G. Pereira","Some Remarks on the Coupling Prescription of Teleparallel Gravity","LaTeX, 14 pages, minor changes, references updated. To appear in Gen.
  Relat. Grav","Gen.Rel.Grav. 36 (2004) 2525-2538","10.1023/B:GERG.0000046851.31889.7d",,"gr-qc",,"  By using a nonholonomic moving frame version of the general covariance
principle, an active version of the equivalence principle, an analysis of the
gravitational coupling prescription of teleparallel gravity is made. It is
shown that the coupling prescription determined by this principle is always
equivalent with the corresponding prescription of general relativity, even in
the presence of fermions. An application to the case of a Dirac spinor is made.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 16:41:49 GMT""},{""version"":""v2"",""created"":""Mon, 18 Oct 2004 06:13:47 GMT""}]","2009-11-10"
"gr-qc/0312097","Joshua Faber","Joshua A. Faber, Philippe Grandcl\'ement, Frederic A. Rasio","Mergers of Irrotational Neutron Star Binaries in Conformally Flat
  Gravity","44 pages, 21 figures, 2 tables, RevTeX, submitted to PRD; revised and
  updated","Phys.Rev. D69 (2004) 124036","10.1103/PhysRevD.69.124036",,"gr-qc astro-ph",,"  We present the first results from our new general relativistic, Lagrangian
hydrodynamics code, which treats gravity in the conformally flat (CF) limit.
The evolution of fluid configurations is described using smoothed particle
hydrodynamics (SPH), and the elliptic field equations of the CF formalism are
solved using spectral methodsin spherical coordinates. The code was tested on
models for which the CF limit is exact, finding good agreement with the
classical Oppenheimer-Volkov solution for a relativistic static spherical star
as well as the exact semi-analytic solution for a collapsing spherical dust
cloud. By computing the evolution of quasi-equilibrium neutron star binary
configurations in the absence of gravitational radiation backreaction, we have
confirmed that these configurations can remain dynamically stable all the way
to the development of a cusp. With an approximate treatment of radiation
reaction, we have calculated the complete merger of an irrotational binary
configuration from the innermost point on an equilibrium sequence through
merger and remnant formation and ringdown, finding good agreement withprevious
relativistic calculations. In particular, we find that mass loss is highly
suppressed by relativistic effects, but that, for a reasonably stiff neutron
star equation of state, the remnant is initially stable against gravitational
collapse because of its strong differential rotation. The gravity wave signal
derived from our numerical calculation has an energy spectrum which matches
extremely well with estimates based solely on quasi-equilibrium results,
deviating from the Newtonian power-law form at frequencies below 1 kHz, i.e.,
within the reach of advanced interferometric detectors.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 01:39:15 GMT""},{""version"":""v2"",""created"":""Fri, 2 Apr 2004 21:58:51 GMT""}]","2009-11-10"
"gr-qc/0312098","Sugumi Kanno","Sugumi Kanno, Jiro Soda","Effective Teukolsky Equation on the Brane","2 pages, contribution to the Proceedings of the 6th RESCEU
  International Symposium, Tokyo",,,,"gr-qc",,"  To estimate Kaluza-Klein (KK) corrections on gravitational waves emitted by
perturbed rotating black strings, we give the effective Teukolsky equation on
the brane which is separable equation and hence numerically manageable.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 06:48:59 GMT""}]","2007-05-23"
"gr-qc/0312099","Jian Qi Shen","Jian Qi Shen","Dual curvature tensors and dynamics of gravitomagnetic matter","20 pages, Latex (There are some minor revisions made to the published
  paper)","Annalen Phys. 13 (2004) 532-553","10.1002/andp.200410093",,"gr-qc",,"  Gravitomagnetic charge that can also be referred to as the {\it dual mass} or
{\it magnetic mass} is the topological charge in gravity theory. A
gravitomagnetic monopole at rest can produce a stationary gravitomagnetic
field. Due to the topological nature of gravitomagnetic charge, the metric of
spacetime where the gravitomagnetic matter is present will be nonanalytic. In
this paper both the dual curvature tensors (which can characterize the dynamics
of gravitational charge/monopoles) and the antisymmetric gravitational field
equation of gravitomagnetic matter are presented. We consider and discuss the
mathematical formulation and physical properties of the dual curvature tensors
and scalar, antisymmetric source tensors, dual spin connection (including the
low-motion weak-field approximation), dual vierbein field as well as dual
current densities of gravitomagnetic charge. It is shown that the dynamics of
gravitomagnetic charge can be founded within the framework of the above dual
quantities. In addition, the dual relationship between the dynamical theories
of gravitomagnetic charge (dual mass) and gravitoelectric charge (mass) is also
taken into account in the present paper.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 14:01:32 GMT""},{""version"":""v2"",""created"":""Sun, 22 Feb 2004 07:27:57 GMT""},{""version"":""v3"",""created"":""Mon, 1 Mar 2004 14:36:47 GMT""}]","2009-11-10"
"hep-ex/0312056","Stefan E. M\""uller","Stefan E. M\""uller (for the KLOE Coll.)","Measurement of $\sigma(e^+e^- \to \pi^+\pi^-)$ at DA$\Phi$NE with the
  radiative return","6 pages, 5 figures, Invited talk at the Workshop on e+e- in the 1-2
  GeV range, Alghero, Italy, September 2003 (eConf C0309101); References
  completed, pdf-visibility improved","ECONF C0309101:FRWP008,2003",,,"hep-ex",,"  The measurement of hadronic cross sections at low centre-of-mass energies is
currently attracting much interest because of the r\^o{}le these measurements
play in the theoretical evaluation of the anomalous magnetic moment of the
muon. The KLOE experiment at the DA$\Phi$NE $\phi$-factory in Frascati aims to
determine the cross section of the dominant contribution $e^{+}e^{-} \to
\pi^{+}\pi^{-}$ at energies below 1 GeV exploiting the radiative return from
the $\phi$ to the $\rho$ and $\omega$ mesons. This method has systematic errors
completely different from previous measurements and allows a cross check of
existing data in this energy region. The method and results on both the
differential cross section for $e^{+}e^{-} \to \pi^{+}\pi^{-}\gamma$ and the
total cross section for $e^{+}e^{-} \to \pi^{+}\pi^{-}$ are presented.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 09:09:35 GMT""},{""version"":""v2"",""created"":""Mon, 23 Feb 2004 09:26:01 GMT""}]","2009-05-18"
"hep-ex/0312057","Massimo Corradi","ZEUS Collaboration","Beauty photoproduction measured using decays into muons in dijet events
  in ep collisions at $\sqrt{s}$=318 GeV","32 pages, 6 tables, 7 figures Table 6 and Figure 7 revised September
  2006","Phys.Rev.D70:012008,2004; Erratum-ibid.D74:059906,2006","10.1103/PhysRevD.70.012008 10.1103/PhysRevD.74.059906","DESY-03-212","hep-ex",,"  The photoproduction of beauty quarks in events with two jets and a muon has
been measured with the ZEUS detector at HERA using an integrated luminosity of
110 pb$^{- 1}$. The fraction of jets containing b quarks was extracted from the
transverse momentum distribution of the muon relative to the closest jet.
Differential cross sections for beauty production as a function of the
transverse momentum and pseudorapidity of the muon, of the associated jet and
of $x_{\gamma}^{jets}$, the fraction of the photon's momentum participating in
the hard process, are compared with MC models and QCD predictions made at
next-to-leading order. The latter give a good description of the data.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 15:12:25 GMT""},{""version"":""v2"",""created"":""Tue, 5 Sep 2006 14:57:03 GMT""}]","2012-08-27"
"hep-lat/0312035","Jianbo Zhang","Derek B. Leinweber, Anthony G. Williams, Jian-bo Zhang (Adelaide), and
  Frank X. Lee (GWU and Jlab)","Topological Charge Evolution in the Markov-Chain of QCD","4 pages, 2 figures","Phys.Lett.B585:187-191,2004","10.1016/j.physletb.2004.02.008","ADP-03-143/T578","hep-lat",,"  The topological charge is studied on lattices of large physical volume and
fine lattice spacing. We illustrate how a parity transformation on the SU(3)
link-variables of lattice gauge configurations reverses the sign of the
topological charge and leaves the action invariant. Random applications of the
parity transformation are proposed to traverse from one topological charge sign
to the other. The transformation provides an improved unbiased estimator of the
ensemble average and is essential in improving the ergodicity of the Markov
chain process.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 23:50:10 GMT""},{""version"":""v2"",""created"":""Fri, 13 Feb 2004 00:20:14 GMT""}]","2010-03-04"
"hep-lat/0312036","Attilio Cucchieri","Jacques C. R. Bloch, Attilio Cucchieri, Kurt Langfeld and Tereza
  Mendes","Propagators and running coupling from SU(2) lattice gauge theory","Latex, 31 pages with 7 figures and 4 tables","Nucl.Phys. B687 (2004) 76-100","10.1016/j.nuclphysb.2004.03.021","UNITU-THEP-018/2003","hep-lat",,"  We perform numerical studies of the running coupling constant alpha_R(p^2)
and of the gluon and ghost propagators for pure SU(2) lattice gauge theory in
the minimal Landau gauge. Different definitions of the gauge fields and
different gauge-fixing procedures are used respectively for gaining better
control over the approach to the continuum limit and for a better understanding
of Gribov-copy effects. We find that the ghost-ghost-gluon-vertex
renormalization constant is finite in the continuum limit, confirming earlier
results by all-order perturbation theory. In the low momentum regime, the gluon
form factor is suppressed while the ghost form factor is divergent.
Correspondingly, the ghost propagator diverges faster than 1/p^2 and the gluon
propagator appears to be finite. Precision data for the running coupling
alpha_R(p^2) are obtained. These data are consistent with an IR fixed point
given by lim_{p \to 0} alpha_R(p^2) = 5(1).
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 12:37:33 GMT""}]","2016-09-01"
"hep-ph/0312286","Jing Jiang","Edmond L Berger (Argonne), Tao Han (Wisconsin U., Madison), Jing Jiang
  (Argonne), Tilman Plehn (CERN)","Associated Production of a Top Quark and a Charged Higgs Boson","15 pages, 9 figures; section, figures, equations and references
  added, version to appear in PRD, 33 pages, 11 figures","Phys.Rev. D71 (2005) 115012","10.1103/PhysRevD.71.115012",,"hep-ph",,"  We compute the inclusive and differential cross sections for the associated
production of a top quark along with a charged Higgs boson at hadron colliders
to next-to-leading order (NLO) in perturbative quantum chromodynamics (QCD) and
in supersymmetric QCD. For small Higgs boson masses we include top quark pair
production diagrams with subsequent top quark decay into a bottom quark and a
charged Higgs boson. We compare the NLO differential cross sections obtained in
the bottom parton picture with those for the gluon-initiated production process
and find good agreement. The effects of supersymmetric loop contributions are
explored. Only the corrections to the Yukawa coupling are sizable in the
potential discovery region at the CERN Large Hadron Collider (LHC). All
expressions and numerical results are fully differential, permitting selections
on the momenta of both the top quark and the charged Higgs boson.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 02:56:39 GMT""},{""version"":""v2"",""created"":""Tue, 5 Jul 2005 00:22:15 GMT""}]","2009-11-10"
"hep-ph/0312301","Andre Sopczak","Johan Alwall (Uppsala University, Sweden), Catherine Biscarat
  (Lancaster University, UK), Stefano Moretti (Southampton University, UK),
  Johan Rathsman (Uppsala University, Sweden), and Andre Sopczak (Lancaster
  University, UK)","The ppbar -> tbH^+/- Process at the Tevatron in HERWIG and PYTHIA
  Simulations","3 pages, 2 figures. Contribution to the Les Houches workshop
  ``Physics at TeV Colliders'', 26 May - 6 June, 2003","Eur.Phys.J.C39S1:37-39,2005","10.1140/epjcd/s2004-01-004-0","TSL/ISV-2003-0274, SHEP-03-38","hep-ph",,"  Charged Higgs boson production in association with a top quark could be the
first indication of the existence of Higgs particles. The Tevatron Run-II
started data-taking in April 2001 at a centre-of-mass energy of 1960 GeV and
could probe the existence of a charged Higgs boson beyond the current mass
limit. We study the ppbar -> tbH^+/- production process with Monte Carlo
simulations in HERWIG and PYTHIA, comparing expected cross sections and basic
selection variables.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 16:26:54 GMT""}]","2011-09-13"
"hep-ph/0312306","Stefan Hesselbach","A. Bartl, H. Fraas, S. Hesselbach, K. Hidaka, T. Kernreiter, O. Kittel
  and W. Porod","Impact of CP phases on SUSY particle production and decays","10 pages, 8 eps figures, LaTeX, uses JHEP3.cls; talk given at the
  International Workshop on Astroparticle and High Energy Physics (AHEP),
  Valencia, Spain, 14-18 Oct. 2003",,,"IFIC/03-59, TGU-33, UWThPh-2003-43, WUE-ITP-2003-026, ZU-TH 21/03","hep-ph",,"  We report on the results of a phenomenological study of top squarks
(stop_{1,2}) and bottom squarks (sbottom_{1,2}) in the Minimal Supersymmetric
Standard Model (MSSM) with complex parameters A_t, A_b, mu and M_1. In
particular we focus on the CP phase dependence of the branching ratios of
stop_{1,2} and sbottom_{1,2} decays. We find that the effect of the phases on
the stop_{1,2} and sbottom_{1,2} decays can be quite significant in a large
region of the MSSM parameter space. We also study a CP asymmetry in sfermion
decays.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 18:01:19 GMT""}]","2007-05-23"
