"astro-ph/0311002","Luis Anchordoqui","Luis A. Anchordoqui, Haim Goldberg, Francis Halzen, and Thomas J.
  Weiler","Galactic Point Sources of TeV Antineutrinos","matches published version","Phys.Lett.B593:42,2004","10.1016/j.physletb.2004.04.054","NUB-3242-Th-03; MADPH-03-1355","astro-ph hep-ph",,"  High energy cosmic ray experiments have identified an excess from the region
of the Galactic Plane in a limited energy range around $10^{18}$ eV (EeV). This
is very suggestive of neutrons as candidate primaries, because the directional
signal requires relatively-stable neutral primaries, and time-dilated neutrons
can reach Earth from typical Galactic distances when the neutron energy exceeds
an EeV. We here point out that if the Galactic messengers are neutrons, then
those with energies below an EeV will decay in flight, providing a flux of
cosmic antineutrinos above a TeV which is {\it observable} at a kilometer-scale
neutrino observatory. The expected event rate per year above 1 TeV in a
detector such as IceCube, for example, is 20 antineutrino showers (all flavors)
and a $1^\circ$ directional signal of 4 $\bar \nu_\mu$ events. A measurement of
this flux can serve to identify the first extraterrestrial point source of TeV
antineutrinos.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 17:33:25 GMT""},{""version"":""v2"",""created"":""Mon, 22 Mar 2004 15:30:12 GMT""},{""version"":""v3"",""created"":""Thu, 19 Aug 2004 15:16:35 GMT""}]","2011-05-12"
"astro-ph/0311073","Nicolas Iro","N. Iro (1), A. Coustenis (1), C. Moutou (2), N. Lajous (2), M. Mayor
  (3), D. Queloz (3) ((1) LESIA, obs. Paris-Meudon, (2) Laboratoire
  d'Astrophysique de Marseille, (3) Observatoire de Gen\`eve)","Search For Exospheric Signatures From Transiting Planets","2 pages, LaTeX with 1 EPS figure embedded, using newpasp.sty
  (supplied). To appear in the proceedings of the XIXth IAP colloquium
  ""Extrasolar Planets: Today and Tomorrow"" held in Paris, France, 2003 June 30
  -- July 4, ASP Conf. Ser",,,,"astro-ph",,"  We searched for spectral signatures from the exosphere of HD209458 in the UV
and the near-IR with UVES and ISAAC at the VLT. We looked in particular for the
helium absorption feature at 10 830 \AA predicted to be among the strongest
ones. The upper limit of the He I line derived is 0.5% at 3 $\sigma$ for a 3
\AA bandwith. Planet-induced chromospheric activity search on HD209458 was also
performed.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 08:38:11 GMT""}]","2016-08-16"
"astro-ph/0311074","Jens Zuther","J. Zuther (1), A. Eckart (1), J. Scharwaechter (1), M. Krips (1), S.
  Pfalzner (1), and C. Straubmeier (1), ((1) 1. Physikalisches Institut,
  Universitaet zu Koeln, Koeln, Germany)","The Merger QSO 3C 48 and its Host Galaxy in the Near Infrared","4 pages, 2 figures, to appear in "" Proceedings of the 4th
  Cologne-Bonn-Zermatt-Symposium "", ed. S. Pfalzner, C. Kramer, C. Straubmeier,
  and A. Heithausen (Springer Verlag)",,"10.1007/978-3-642-18902-9_34",,"astro-ph",,"  In this contribution we present new near-infrared (NIR) data on the quasar 3C
48 and its host galaxy, obtained with ISAAC at the Very Large Telescope (ESO,
Chile). The NIR images and spectra reveal a reddening of several magnitudes
caused by extinction due to molecular material and dust within the host galaxy.
For the first time we clearly identify the highly reddened potential second
nucleus 3C 48A about 100 northeast of the quasar position in the NIR. Its
reddening can be accounted for by warm dust, heated by star formation or an
interaction of the 3C 48 radio jet with the interstellar medium, or both. The
NIR colors and the CO(6-3) absorption feature both give a stellar contribution
of about 30 percent to the QSO-dominated light. These results will contribute
to the question of how the nuclear activity and the apparent merger process are
influencing the host galaxy properties and they will improve existing models.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 08:58:49 GMT""}]","2017-01-18"
"astro-ph/0311075","Jesper Sollerman","Jesper Sollerman, Cecilia Kozma and Jan Lindahl","The late UVOIR light curve of SN 2000cx","To appear in proceedings of IAU Colloquium 192, Supernovae: 10 Years
  of 1993J, Valencia, Spain 22-26 April 2003, eds. J.M. Marcaide, K.W. Weiler",,,,"astro-ph",,"  We present preliminary data and modeling of the late time light curve of the
Type Ia supernova SN 2000cx. Optical and near-infrared data obtained with the
VLT at 360 to 480 days past maximum light show the increasing importance of the
near-infrared regime. Detailed multi-band modeling based on W7 also show this
effect. Conclusions on positron escape in this phase may therefore require more
detailed observations and modeling than hitherto appreciated.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 10:02:52 GMT""}]","2007-05-23"
"astro-ph/0311076","Stefan Jordan","Dieter Reimers, Stefan Jordan, Norbert Christlieb","HE0241-0155 - Evidence for a large scale homogeneous field in a highly
  magnetic white dwarf","4 pages, 3 figures. accepted for publication by Astronomy and
  Astrophysics","Astron.Astrophys. 414 (2004) 1105","10.1051/0004-6361:20034297",,"astro-ph",,"  In the course of the Hamburg/ESO survey we have discovered a white dwarf
whose spectrum exhibits many similarities with the prototype of magnetic white
dwarfs Grw+70$^{\circ}$8247. In particular several stationary line components
indicative for magnetic fields between about 150 and 400 MG are found in both
objects. However, the features between 5000 and 5500 \AA in the spectrum of
HE0241-0155 cannot be explained by stationary line components and demand a
relatively homogeneous magnetic field with clustering around 200 MG. For this
reason a pure dipole model failed to reproduce this spectral region.An
offset-dipole configuration led to some improvement in the fit but a good
agreement was only possible for a geometry -- described by an expansion into
spherical harmonics -- where most of the surface is covered with magnetic field
strengths strongly clustered around 200 MG. This may indicate the presence of a
large magnetic spot whose presence could be tested with time resolved
spectro-polarimetry.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 11:04:54 GMT""}]","2007-05-23"
"astro-ph/0311077","Lucas Lara","Lucas Lara, Gabriele Giovannini, Bill Cotton, Luigina Feretti, Tiziana
  Venturi","The inner kiloparsec of the jet in 3C264","10 pages, 9 figures, accepted in A&A","Astron.Astrophys. 415 (2004) 905-913","10.1051/0004-6361:20034317",,"astro-ph",,"  We present new multi-frequency EVN, MERLIN and VLA observations of the radio
source 3C264, sensitive to linear scales ranging from the parsec to several
kiloparsecs. The observations confirm the existence of regions with different
properties in the first kiloparsec of the jet. The most remarkable feature is
the transition between a well collimated narrow jet at distances from the core
below 80 pc, to a conical-shaped wide jet, with an opening angle of 20 degrees.
Another change of properties, consisting of an apparent deflection of the jet
ridge line and a diminution of the surface brightness, occurs at a distance of
300 pc from the core, coincident with the radius of a ring observed at optical
wavelengths. Our observations add new pieces of information on the spectrum of
the radio-optical jet of 3C264, with results consistent with a synchrotron
emission mechanism and a spectrum break frequency in the infrared. Brightness
profiles taken perpendicularly to the jet of 3C264 are consistent with a spine
brightened jet at distances below 100 pc from the core, and an edge-brightened
jet beyond, which can be interpreted as evidence of a transverse jet velocity
structure. Our observations do not allow us to distinguish between the presence
of a face--on dust and gas disk at the center of the host galaxy of 3C264, or
rather an evacuated bubble. However, the properties of the jet structure, the
changes in the polarization angle, and the plausible jet orientation can be
naturally brought into agreement in the bubble scenario.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 11:26:46 GMT""}]","2009-11-10"
"astro-ph/0311078","Jesus Falcon-Barroso","J. Falc\'on-Barroso, R. Bacon, M. Bureau, M. Cappellari, R.L. Davies,
  E. Emsellem, D. Krajnovic, H. Kuntschner, R. McDermid, R.F. Peletier, P.T. de
  Zeeuw","A SAURON look at galaxy bulges","4 pages, 3 figures, accepted for publishing in AN (refereed conf.
  proc. of the Euro3D Science workshop, IoA Cambridge, May 2003)",,"10.1002/asna.200310182",,"astro-ph",,"  Kinematic and population studies show that bulges are generally rotationally
flattened systems similar to low-luminosity ellipticals. However, observations
with state-of-the-art integral field spectrographs, such as SAURON, indicate
that the situation is much more complex, and allow us to investigate phenomena
such as triaxiality, kinematic decoupling and population substructure, and to
study their connection to current formation and evolution scenarios for bulges
of early-type galaxies. We present the examples of two S0 bulges from galaxies
in our sample of nearby galaxies: one that shows all the properties expected
from classical bulges (NGC5866), and another case that presents kinematic
features appropriate for barred disk galaxies (NGC7332).
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 12:13:18 GMT""}]","2009-11-10"
"astro-ph/0311079","Andreja Gomboc","A. Gomboc, M. F. Bode, D. Carter, C. G. Mundell, A. M. Newsam, R. J.
  Smith, I. A. Steele (ARI, LJMU)","The Liverpool Telescope: Rapid follow-up observation of Targets of
  opportunity with a 2 m robotic telescope","4 pages, 1 figure. To appear in the Proceedings of The Restless
  High-Energy Universe, 5-8 May 2003, Amsterdam, E.P.J. van den Heuvel, J.J.M.
  in 't Zand, and R.A.M.J. Wijers (eds.)",,"10.1016/j.nuclphysbps.2004.04.055",,"astro-ph",,"  The Liverpool Telescope, situated at Roque de los Muchachos Observatory, La
Palma, Canaries, is the first 2-m, fully instrumented robotic telescope. It
recently began observations. Among Liverpool Telescope's primary scientific
goals is to monitor variable objects on all timescales from seconds to years.
An additional benefit of its robotic operation is rapid reaction to
unpredictable phenomena and their systematic follow up, simultaneous or
coordinated with other facilities. The Target of Opportunity Programme of the
Liverpool Telescope includes the prompt search for and observation of GRB and
XRF counterparts. A special over-ride mode implemented for GRB/XRF follow-up
enables observations commencing less than a minute after the alert, including
optical and near infrared imaging and spectroscopy. In particular, the moderate
aperture and rapid automated response make the Liverpool Telescope excellently
suited to help solving the mystery of optically dark GRBs and for the
investigation of currently unstudied short bursts and XRFs.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 12:29:05 GMT""}]","2009-11-10"
"astro-ph/0311080","Yuko Motizuki","Yuko Motizuki and Shiomi Kumagai","44Ti radioactivity in young supernova remnants: Cas A and SN 1987A","Talk at the workshop ""Astronomy with Radioactivities IV"", Seeon,
  Germany, June 2003; 8 pages, to appear in New Astronomy Reviews","New Astron.Rev. 48 (2004) 69-73","10.1016/j.newar.2003.11.009",,"astro-ph",,"  We investigate radioactivity from the decay sequence of 44Ti in young
supernova remnants (SNRs), Cassiopeia A (Cas A) and SN 1987A. It is shown by a
linear analysis that ionization of 44Ti, a pure electron capture decay isotope,
affects the radioactivity contradistinctively in these two SNRs: Ionization of
44Ti to H-like and He-like states enhances its present radioactivity in Cas A,
while such high-ionization decreases its radioactivity in SN 1987A. We briefly
discuss the enhancement factor of the present radioactivity of Cas A
considering microscopic (atomic/nuclear) physics combined with a hydrodynamical
SNR evolution model. For SN 1987A, we have obtained the initial 44Ti mass of
(0.82-2.3) X 10^{-4} M_solar from our Monte-Carlo simulations. The resulting
fluxes of gamma and hard X-rays emerged from the 44Ti decay are given for the
current and future experiments.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 12:29:22 GMT""}]","2009-11-10"
"astro-ph/0311081","Helmuth Kaehler","H. Kaehler (Hamburger Sternwarte, Universitaet Hamburg, Germany)","The structure of contact binaries","17 pages, 28 figures, accepted by A&A","Astron.Astrophys. 414 (2004) 317-333","10.1051/0004-6361:20031629",,"astro-ph",,"  In radiative layers of rotating stars the luminosity carried by circulation
currents through a surface of constant entropy (circulation luminosity) is
shown to be positive. The corresponding decrease in the temperature gradient is
important in the secondary of contact binaries. This result removes the
deadlock in the theory of contact binaries. The resulting treatment of contact
binaries is investigated, assuming thermal equilibrium. If the circulation
luminosity is adjusted to give a prescribed temperature difference between the
components, details turn out to be unimportant. The temperature difference is
bound to be positive. The fractional extent of radiative regions is larger in
the secondary than in the primary. In the course of evolution the period
increases and the mass ratio decreases. A survey of unevolved and evolved
contact configurations is presented. Observational tests are passed. In stable
systems the degree of contact is small. Stable systems in the period-colour
diagram, unevolved and evolved, cover the strip of observed systems. Lower
limits for period and effective temperature, compatible with the observed
limits, are caused by the requirement of thermal stability. Stable systems with
mass ratios very close to unity are possible, in accordance with recent
observations. These results support the assumption of thermal equilibrium as
well as the treatment of the stability problem. Models for individual observed
systems are well-determined and can be used to calibrate the efficiency of the
energy transfer between the components and to determine metallicity and age.
The results show that evolutionary effects are important and that the
efficiency is very small.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 12:50:00 GMT""}]","2009-11-10"
"astro-ph/0311082","Roger Cayrel","R. Cayrel, E. Depagne, M. Spite, V. Hill, F. Spite, P. Francois, B.
  Plez, T. Beers, F. Primas, J. Andersen, B. Barbuy, P. Bonifacio, P. Molaro,
  and B. Nordstrom","First stars V - Abundance patterns from C to Zn and supernova yields in
  the early Galaxy","29 pages, 15 figures, 11 tables, LateX, aa.cls macros, accepted in
  A&A","Astron.Astrophys.416:1117-1138,2004","10.1051/0004-6361:20034074",,"astro-ph",,"  In the framework of an ESO Large Programme high quality spectra of 70 very
metal-poor dwarfs and giants were obtained with the VLT-UVES combination. This
paper reports the detailed analyses of the 35 giants of the sample. At the
exception of a few template stars, all the targets are from the H&K Beers et
al. survey. No less than 22 stars have [Fe/H] below -3.0. The imprint of yields
of the first galactic or protogalactic supernovae is sampled in the
photospheres of these stars. If [C/Fe], [Na/Fe] and [Al/Fe] show a spread
significantly above the observational scatter, several abundance ratios present
an amazing low scatter when plotted against [Fe/H], as [Cr/Fe] but also odd
elements, as [K/Fe] or [Sc/Fe]. The abundance of oxygen has been derived from
the [O I] line for 16 of these giants, in spite of the extreme weakness of the
line. No significant slope with [Fe/H] is found. Similar plots have been made
using Mg instead of Fe as reference element. With Mg, no clear trend with
metallicity is obvious below [Mg/H]=-3., except perhaps for [Zn/Mg]. It is
contemplated that the mild slope found in the very low scatter diagram [Cr/Fe]
versus [Fe/H] might be spurious due for example to the LTE approximation plus
use of 1-D models. This would relax the absence of scatter in the dilution of
the SN ejectas within the ambient medium, as needed if [Fe/H] is a well defined
function of [Cr/Fe].
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 13:37:18 GMT""}]","2011-05-05"
"astro-ph/0311083","Matthias Hoeft","M. Hoeft, J.P. Muecket and S. Gottloeber","Velocity dispersion profile in dark matter halos","9 pages, 5 figures bw, accepted for publication in ApJ","Astrophys.J. 602 (2004) 162-169","10.1086/380990",,"astro-ph",,"  Numerous numerical studies indicate that dark matter halos show an almost
universal radial density profile. The origin of the profile is still under
debate. We investigate this topic and pay particular attention to the velocity
dispersion profile. To this end we have performed high-resolution simulations
with two independent codes, ART and {\sc Gadget}. The radial velocity
dispersion can be approximated as function of the potential by $\sigma_r^2 = a
(\Phi / \Phi_{\rm{out}})^\kappa (\Phi_{\rm{out}} - \Phi)$, where
$\Phi_{\rm{out}}$ is the outer potential of the halo. For the parameters $a$
and $\kappa$ we find $a=0.29\pm0.04$ and $\kappa=0.41\pm0.03$. We find that the
power-law asymptote $\sigma^2 \propto \Phi^\kappa$ is valid out to much larger
distances from the halo center than any power asymptote for the density profile
$\rho \propto r^{-n}$. The asymptotic slope $n(r \to 0)$ of the density profile
is related to the exponent $\kappa$ via $n=2\kappa/(1+\kappa)$. Thus the value
obtained for $\kappa$ from the available simulation data can be used to obtain
an estimate of the density profile below presently resolved scales. We predict
a continuously decreasing $n$ towards the halo center with the asymptotic value
$n \lesssim 0.58$ at $r=0$.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 14:32:46 GMT""}]","2009-11-10"
"astro-ph/0311084","Paolo Padovani","P. Padovani (1,2), L. Costamante (3,4), P. Giommi (5), G. Ghisellini
  (6), A. Celotti (7), A. Wolter (8) ((1) STScI, (2) ESA, (3) Universita' degli
  Studi di Milano, Italy, (4) MPIfK, Heidelberg, Germany, (5) ASDC, ASI, Italy,
  (6) Brera Observatory, Merate, Italy, (7) SISSA, Italy, (8) Brera
  Observatory, Milano, Italy)","BeppoSAX Observations of 1-Jy BL Lacertae Objects - II","13 pages, 6 figures. Accepted for publication in MNRAS. Postscript
  file also available at http://www.stsci.edu/~padovani/xrayspectra_papers.html","Mon.Not.Roy.Astron.Soc. 347 (2004) 1282","10.1111/j.1365-2966.2004.07313.x",,"astro-ph",,"  We present new BeppoSAX LECS and MECS observations, covering the energy range
0.1 - 10 keV (observer's frame), of four BL Lacertae objects selected from the
1 Jy sample. All sources display a flat (alpha_x ~ 0.7) X-ray spectrum, which
we interpret as inverse Compton emission. One object shows evidence for a
low-energy steepening (Delta alpha_x ~ 0.9) which is likely due to the
synchrotron component merging into the inverse Compton one around ~ 2 keV. A
variable synchrotron tail would explain why the ROSAT spectra of our sources
are typically steeper than the BeppoSAX ones (Delta alpha_x} ~ 0.7). The
broad-band spectral energy distributions fully confirm this picture and model
fits using a synchrotron inverse Compton model allow us to derive the physical
parameters (intrinsic power, magnetic field, etc.) of our sources. By combining
the results of this paper with those previously obtained on other sources we
present a detailed study of the BeppoSAX properties of a well-defined
sub-sample of 14 X-ray bright (f_x (0.1 - 10 keV) > 3 x 10^{-12} erg/cm^2/s)
1-Jy BL Lacs. We find a very tight proportionality between nearly simultaneous
radio and X-ray powers for the 1-Jy sources in which the X-ray band is
dominated by inverse Compton emission, which points to a strong link between
X-ray and radio emission components in these objects.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 14:11:33 GMT""}]","2009-11-10"
"astro-ph/0311085","Slavek Rucinski","Slavek M. Rucinski","Contact binary stars of the W UMa type as distance tracers","IAU Sydney 2003, JD13 Extragalactic Binaries, ed.I.Ribas, uses
  elsart3.cls","New Astron.Rev. 48 (2004) 703-709","10.1016/j.newar.2004.03.005",,"astro-ph",,"  Contact binaries can be used for distance determinations of stellar systems.
They are easy to discover and identify and are very abundant among solar-type
stars, particularly for M_V > +3. The period - luminosity - colour (PLC)
relations have similar properties to those for pulsating stars and can
currently predict individual values of M_V to about +/-0.25 mag.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 14:10:36 GMT""}]","2009-11-10"
"astro-ph/0311086","Bugaev","E. V. Bugaev, T. Montaruli, I. A. Sokalski","Astrophysical tau neutrinos and their detection by large neutrino
  telescopes","Talk given at the NANP'03 conference, June 2003. 4 pages, one eps
  figure","Phys.Atom.Nucl.67:1177-1181,2004; Yad.Fiz.67N6:1200-1203,2004","10.1134/1.1772455",,"astro-ph",,"  We present results of the detailed Monte Carlo calculation of the rates of
double-bang events in 1 km$^3$ underwater neutrino telescope with taking into
account the effects of $\tau$-neutrino propagation through the Earth. As an
input, the moderately optimistic theoretical predictions for diffuse neutrino
spectra of AGN jets are used.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 14:15:04 GMT""}]","2014-10-13"
"astro-ph/0311087","Paul C. Hewett","Paul C Hewett, Michael J Irwin, Evan D Skillman, Craig B Foltz, Jon P
  Willis, Stephen J Warren, Nicholas A Walton","Serendipity and the SDSS: Discovery of the Largest Known Planetary
  Nebula on the Sky","12 pages including 4 figures. ApJ Letters in press","Astrophys.J.599:L37-L40,2003","10.1086/381139",,"astro-ph",,"  Investigation of spectra from the Sloan Digital Sky Survey reveals the
presence of a region of ionized gas of >2 degrees diameter centered
approximately at alpha = 10^h 37^m delta = -00^o 18' (J2000) (Galactic
coordinates l=248, b=+48). [OIII] 4959,5007 emission is particularly strong and
emission from H-alpha and [NII] 6548,6583 is also detectable over a substantial
area on the sky. The combination of emission line ratios, the close to zero
heliocentric radial velocity and the morphology of the structure are consistent
with an identification as a very nearby planetary nebula. The proximity of the
hot, DO white dwarf PG1034+001 further strengthens this interpretation. The
object is: i) the largest planetary nebula on the sky, ii) certainly closer
than any planetary nebula other than Sh 2--216, iii) the first to be
unambiguously associated with a DO white dwarf. A parallax distance for
PG1034+001 would establish whether the structure is in fact the closest, and
one of the physically largest, planetary nebula known.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 14:25:43 GMT""}]","2009-11-10"
"astro-ph/0311088","Patrick Woudt","Patrick A. Woudt (Univ. of Cape Town) and Brian Warner (Univ. of Cape
  Town)","SDSS J161033.64-010223.3: A second Cataclysmic Variable with a
  Non-radially Pulsating Primary","4 pages, 5 figures; Accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc. 348 (2004) 599","10.1111/j.1365-2966.2004.07369.x",,"astro-ph",,"  We find from high speed photometry of the Sloan Digital Survey cataclysmic
variable candidate SDSS J161033.64-010223.3 that it has a double humped
modulation, which is probably orbital, with a period of 80.52 minutes, and
shows strong ZZ Cet type pulsations. The largest amplitude oscillations have
periods near 607, 345, 304 and 221 s. The amplitudes of some of the
oscillations are seen to vary on time scales of hours, indicating modes with
unresolved multiplets in which the splittings are ~1 d^-1. This is only the
second dwarf nova found to have non-radial pulsations of its white dwarf
primary.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 14:37:48 GMT""}]","2009-11-10"
"astro-ph/0311089","Kenneth R. Sembach","Kenneth R. Sembach (Space Telescope Science Institute)","Hot Gas in the Local Group and Low-Redshift Intergalactic Medium","14 pages, includes 5 figures and cupconf.cls style file. To be
  published in the proceedings of the 2003 STScI May Symposium ""The Local Group
  as an Astrophysical Laboratory""",,,,"astro-ph",,"  There is increasing observational evidence that hot, highly ionized
interstellar and intergalactic gas plays a significant role in the evolution of
galaxies in the local universe. The primary spectral diagnostics of the
warm-hot interstellar/intergalactic medium are ultraviolet and X-ray absorption
lines of O VI and O VII. In this paper, I summarize some of the recent
highlights of spectroscopic studies of hot gas in the Local Group and
low-redshift universe. These highlights include investigations of the baryonic
content of low-z O VI absorbers,evidence for a hot Galactic corona or Local
Group medium, and the discovery of a highly ionized high velocity cloud system
around the Milky Way.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 14:48:20 GMT""}]","2007-05-23"
"astro-ph/0311090","Aaron J. Romanowsky","H. R. Merrett, K. Kuijken, M. R. Merrifield, A. J. Romanowsky, N. G.
  Douglas, N. R. Napolitano, M. Arnaboldi, M. Capaccioli, K. C. Freeman, O.
  Gerhard, N. W. Evans, M. I. Wilkinson, C. Halliday, T. J. Bridges, D. Carter","Tracing the Star Stream Through M31 Using Planetary Nebula Kinematics","6 pages, 2 figures, MNRAS Letters, accepted; for hi-res version see
  http://as1.chem.nottingham.ac.uk/~Aaron/m31stream.pdf (pdf) or
  http://as1.chem.nottingham.ac.uk/~Aaron/m31stream.ps.gz (ps)","Mon.Not.Roy.Astron.Soc.346:L62,2003","10.1111/j.1365-2966.2003.07367.x",,"astro-ph",,"  We present a possible orbit for the Southern Stream of stars in M31, which
connects it to the Northern Spur. Support for this model comes from the
dynamics of planetary nebulae (PNe) in the disk of M31: analysis of a new
sample of 2611 PNe obtained using the Planetary Nebula Spectrograph reveals ~20
objects whose kinematics are inconsistent with the normal components of the
galaxy, but which lie at the right positions and velocities to connect the two
photometric features via this orbit. The satellite galaxy M32 is coincident
with the stream both in position and velocity, adding weight to the hypothesis
that the stream comprises its tidal debris.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 15:48:18 GMT""}]","2011-03-10"
"astro-ph/0311091","Georges Meynet","C. Vuissoz, G. Meynet, J. Knoedlseder, M. Cervino, D. Schaerer, A.
  Palacios, N. Mowlavi","26Al yields from rotating Wolf--Rayet star models","6 pages, 2 figures, to appear in New Astronomy Reviews","New Astron.Rev. 48 (2004) 7-11","10.1016/j.newar.2003.11.003",,"astro-ph",,"  We present new $^{26}$Al stellar yields from rotating Wolf--Rayet stellar
models which, at solar metallicity, well reproduce the observed properties of
the Wolf-Rayet populations. These new yields are enhanced with respect to
non--rotating models, even with respect to non--rotating models computed with
enhanced mass loss rates. We briefly discuss some implications of the use of
these new yields for estimating the global contribution of Wolf-Rayet stars to
the quantity of $^{26}$Al now present in the Milky Way.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 15:21:23 GMT""}]","2009-11-10"
"astro-ph/0311092","Frank Haberl","F. Haberl and W. Pietsch","X-ray observations of Be/X-ray binaries in the SMC","10 pages, 7 figures, accepted for publication in A&A","Astron.Astrophys. 414 (2004) 667-676","10.1051/0004-6361:20031654",,"astro-ph",,"  (shortened) Fifteen Be/X-ray binaries and candidates in the SMC were observed
serendipitously with the EPIC instruments of XMM-Newton during two observations
of SNR 0047-73.5 and SNR 0103-72.6 in October 2000. A total of twelve of those
sources are detected. For eleven of them an accurate position and in part
detection of X-ray pulsations support the proposed identification as Be/X-ray
binaries. The detection of pulsations (172.2 s, 320.1 s and 751 s) from three
hard X-ray sources with periods known from ASCA observations confirm their
proposed identifications with ROSAT sources and their optical Be star
counterparts. In addition, pulsations with a period of 263.6 s were found from
XMMUJ004723.7-731226=RXJ0047.3-7312. For SAXJ0103.2-7209 a pulse period of
341.2$\pm$0.5 s was determined, continuing the large spin-up seen with ASCA,
BeppoSAX and Chandra between 1996 and 1999 with a period derivative of $-$1.6 s
yr$^{-1}$ covering now 4.5 years. The 0.3-10.0 keV EPIC spectra of all eleven
Be/X-ray binaries and candidates are consistent with power-law energy
distributions with derived photon indices strongly peaked at 1.00 with a
standard deviation of 0.16. No pulsations are detected from RXJ0049.2-7311 and
RXJ0049.5-7310 (both near the 9 s pulsar AXJ0049-732) and RXJ0105.1-7211 (near
AXJ0105-722, which may pulsate with 3.3 s), leaving the identification of the
ASCA sources with ROSAT and corresponding XMM-Newton objects still unclear. We
present an updated list of high mass X-ray binaries (HMXBs) and candidates in
the SMC incorporating improved X-ray positions obtained from Chandra and
XMM-Newton observations. Including the results from this work and recent
publications the SMC HMXB catalogue comprises 65 objects with at least 37
showing X-ray pulsations.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 15:45:03 GMT""}]","2009-11-10"
"astro-ph/0311093","Uwe Gunther","Uwe Guenther, Alexander Zhuk","Massive scalar fields in the early Universe","6 pages, Latex2e, talk presented at the 1st International Workshop on
  Astronomy and Relativistic Astrophysics, 12-16 October, 2003, (IWARA2003),
  Olinda-PE, Brazil","Int.J.Mod.Phys. D13 (2004) 1167-1176","10.1142/S0218271804005274",,"astro-ph hep-ph hep-th",,"  We discuss the role of gravitational excitons/radions in different
cosmological scenarios. Gravitational excitons are massive moduli fields which
describe conformal excitations of the internal spaces and which, due to their
Planck-scale suppressed coupling to matter fields, are WIMPs. It is
demonstrated that, depending on the concrete scenario, observational
cosmological data set strong restrictions on the allowed masses and initial
oscillation amplitudes of these particles.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 15:54:20 GMT""}]","2007-05-23"
"cond-mat/0311010","Ramesh Mani","R. G. Mani, J. H. Smet, K. von Klitzing, V. Narayanamurti, W. B.
  Johnson, and V. Umansky","Demonstration of a 1/4 cycle phase shift in the radiation-induced
  oscillatory-magnetoresistance in GaAs/AlGaAs devices","4 pages, 4 color figures","Phys. Rev. Lett. 92, 146801 (2004)","10.1103/PhysRevLett.92.146801",,"cond-mat.mes-hall",,"  We examine the phase and the period of the radiation-induced
oscillatory-magnetoresistance in GaAs/AlGaAs devices utilizing in-situ magnetic
field calibration by Electron Spin Resonance of DiPhenyl-Picryl-Hydrazal. The
results confirm a $f$-independent 1/4 cycle phase shift with respect to the $hf
= j\hbar\omega_{c}$ condition for $j \geq 1$, and they also suggest a small
($\approx$ 2%) reduction in the effective mass ratio, $m^{*}/m$, with respect
to the standard value for GaAs/AlGaAs devices.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 17:52:43 GMT""},{""version"":""v2"",""created"":""Thu, 29 Apr 2004 22:51:08 GMT""}]","2009-11-10"
"cond-mat/0311014","Philip B. Allen","Philip B. Allen, Yiing-Rei Chen, Santanu Chaudhuri, and Clare P. Grey","Octahedral Tilt Instability of ReO_3-type Crystals","4 page with 3 figures included; new version updates references and
  clarifies the arguments",,"10.1103/PhysRevB.73.172102",,"cond-mat.str-el cond-mat.stat-mech",,"  The octahedron tilt transitions of ABX_3 perovskite-structure materials lead
to an anti-polar (or antiferroelectric) arrangement of dipoles, with the low
temperature structure having six sublattices polarized along various
crystallographic directions. It is shown that an important mechanism driving
the transition is long range dipole-dipole forces acting on both displacive and
induced parts of the anion dipole. This acts in concert with short range
repulsion, allowing a gain of electrostatic (Madelung) energy, both
dipole-dipole and charge-charge, because the unit cell shrinks when the hard
ionic spheres of the rigid octahedron tilt out of linear alignment.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 18:02:07 GMT""},{""version"":""v2"",""created"":""Sat, 24 Dec 2005 20:12:57 GMT""}]","2013-05-29"
