"astro-ph/0305523","Je-An Gu","Je-An Gu","Kaluza-Klein Burst: a New Mechanism for Generating Ultrahigh-Energy
  Cosmic Rays","13 pages, LaTeX",,,,"astro-ph hep-ph hep-th",,"  By invoking small extra dimensions as a good energy bearer, a new scenario
for understanding the origin of ultrahigh-energy cosmic rays (UHECRs), from
both the bottom-up and the top-down viewpoints, is proposed. We explore the
possibility of generating UHECRs via Kaluza-Klein (KK) bursts, a violent energy
transfer from extra dimensions to ordinary dimensions through collisions
between KK modes, in particular, within clumps of KK modes. The possible scales
of these clumps range from the astronomical, e.g. KK stellar compact objects,
to the microscopic, e.g. ""KKonium"". Advantages of this KK burst model of UHECRs
and possible signatures of clumped KK modes are discussed.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 18:53:45 GMT""},{""version"":""v2"",""created"":""Thu, 10 Nov 2005 21:46:37 GMT""}]","2007-05-23"
"astro-ph/0305563","Yuichi Terashima","Yuichi Terashima (ISAS), Andrew S. Wilson (Univ. of Maryland)","The Luminous X-ray Source Population in M51 Observed with Chandra","35 pages, accepted for publication in the Astrophysical Journal","Astrophys.J. 601 (2004) 735-758","10.1086/380505",,"astro-ph",,"  We present the results of two Chandra observations (separated by 1 year) of
the population of X-ray sources in the spiral galaxy M51 (NGC 5194 and NGC
5195). 113 X-ray sources have been detected in an 8'.4x8'.4 region. Nine and 28
sources have luminosities exceeding 10^39 erg/s (ULXs) and 10^38 erg/s in the
0.5-8 keV band, respectively, assuming they are associated with M51. The number
of ULXs is much higher than found in most normal spiral and elliptical
galaxies. Most of the X-ray sources and all seven of the ULXs in NGC 5194 are
located in, or close to, a spiral arm, suggesting a connection with recent star
formation. The cumulative luminosity function of the X-ray sources in NGC 5194
with Lx>10^38 erg/s is well described by a power law N(>Lx) \propto Lx^-\alpha
with \alpha=0.91. The X-ray spectra of most of the detected sources are
consistent with a power law with a photon index between 1 and 2, with a few
sources showing harder or softer spectra. The spectra of most ULXs are
consistent with both a power law and a multicolor disk blackbody (MCD) model,
while a power law model is preferable to a MCD model in two ULXs. A drastic
spectral variability and emission lines in ULXs are also presented. The masses
of the compact objects and mass accretion rates in ULXs and other X-ray sources
are not well constrained by these observations. If we adopt a MCD
interpretation, their MCD parameters imply that most of the X-ray sources are
stellar mass (~5-10 M_solar) black holes accreting near or above the Eddington
rate.(abridged)
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 11:14:19 GMT""},{""version"":""v2"",""created"":""Tue, 14 Oct 2003 07:35:59 GMT""}]","2009-11-07"
"astro-ph/0305564","Tiengo Andrea","A. Tiengo (1,2), S. Mereghetti (1), G. Ghisellini (3), E. Rossi (4),
  G. Ghirlanda (1) and N. Schartel (5) ((1) IASF, Milano; (2) Milano Univ.; (3)
  OAB, Merate; (4) IoA, Cambridge; (5) XMM-SOC, Vilspa)","The X-ray afterglow of GRB030329","5 pages, 5 figures, accepted for publication in A&A","Astron.Astrophys. 409 (2003) 983-988","10.1051/0004-6361:20031127",,"astro-ph",,"  We report on XMM-Newton and Rossi-XTE observations of the bright (fluence
$\sim$ 10$^{-4}$ erg cm$^{-2}$) and nearby (z=0.1685) Gamma-Ray Burst GRB030329
associated to SN2003dh. The first Rossi-XTE observation, 5 hours after the
burst, shows a flux decreasing with time as a power law with index 0.9$\pm$0.3.
Such a decay law is only marginally consistent with a further Rossi-XTE
measurement (at t-t$_{GRB}\sim$30 hr). Late time observations of this bright
afterglow at X-ray wavelengths have the advantage, compared to optical
observations, of not being affected by contributions from the supernova and
host galaxy. A first XMM-Newton observation, at t-t$_{GRB}\sim$37 days, shows a
flux of 4$\times10^{-14}$ erg cm$^{-2}$ s$^{-1}$ (0.2-10 keV). The spectrum is
a power law with photon index $\Gamma$=1.9 and absorption $<2.5\times10^{20}$
cm$^{-2}$, consistent with the Galactic value. A further XMM-Newton pointing at
t-t$_{GRB}\sim$61 days shows a flux fainter by a factor $\sim$2. The combined
Rossi-XTE and XMM-Newton measurements require a break at t$\sim$0.5 days in the
afterglow decay, with a power law index increasing from 0.9 to 1.9, similar to
what is observed in the early part of the optical afterglow. The extrapolation
of the XMM-Newton spectra to optical frequencies lies a factor of $\sim10$
below simultaneous measurements. This is likely due to the presence of
SN2003dh.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 12:32:44 GMT""},{""version"":""v2"",""created"":""Fri, 4 Jul 2003 18:23:07 GMT""},{""version"":""v3"",""created"":""Mon, 28 Jul 2003 16:30:01 GMT""}]","2009-11-07"
"astro-ph/0305565","Edwin A. Bergin","Edwin Bergin (CfA), Nuria Calvet (CfA), Paola D'Alessio (UNAM), and
  Gregory J. Herczeg (U. Colorado)","The Effects of UV Continuum and Lyman alpha Radiation on the Chemical
  Equilibrium of T Tauri Disks","14 pages, 4 figures, accepted by ApJ Letters","Astrophys.J. 591 (2003) L159-L162","10.1086/377148",,"astro-ph",,"  We show in this Letter that the spectral details of the FUV radiation fields
have a large impact on the chemistry of protoplanetary disks surrounding T
Tauri stars. We show that the strength of a realistic stellar FUV field is
significantly lower than typically assumed in chemical calculations and that
the radiation field is dominated by strong line emission, most notably Lyman
alpha radiation. The effects of the strong Lyman alpha emission on the chemical
equilibrium in protoplanetary disks has previously been unrecognized. We
discuss the impact of this radiation on molecular observations in the context
of a radiative transfer model that includes both direct attenuation and
scattering. In particular, Lyman alpha radiation will directly dissociate water
vapor and may contribute to the observed enhancements of CN/HCN in disks.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 13:01:58 GMT""}]","2009-11-07"
"astro-ph/0305566","Sofija","I.D. Karachentsev, V.E. Karachentseva, Yu.N. Kudrya, M.E. Sharina and
  S.L. Parnovsky","The Revised Flat Galaxy Catalogue","Full version of the paper and catalogue with high resolution figures
  avaliable by ftp://ftp.sao.ru/pub2/llss/RFGCcat/; Only Catalogue: 165 pages
  ftp://cdsarc.u-strasbg.fr/pub/cats/VII/219","Bull.Spec.Astrophys.Obs.N.Caucasus 47 (1999) 5-185",,"ISSN 0320-9318","astro-ph",,"  We present a new improved and completed version of the Flat Galaxy Catalogue
(FGC) named the Revised Flat Galaxy Catalogue (RFGC) containing 4236 thin
edge-on spiral galaxies and covering the whole sky. The Catalogue is intended
to study large-scale cosmic streamings as well as other problems of
observational cosmology. The dipole moment of distribution of the RFGC galaxies
(l = 273 degr; b =+19 degr) lies within statistical errors (+/-10 degr) in the
direction of the Local Group motion towards the Microwave Background Radiation
(MBR).
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 13:20:14 GMT""},{""version"":""v2"",""created"":""Fri, 30 May 2003 12:58:53 GMT""}]","2007-05-23"
"astro-ph/0305567","Luciana Pompeia","L. Pompeia","Copper and Zinc in Bulge-Like Stars","4 pages, 1 figure, to appear in the Proceedings of the ""Open Issues
  in Local Star Formation and Early Stellar Evolution""",,"10.1007/978-1-4020-2600-3_110",,"astro-ph",,"  The star formation history of a given population remains imprinted in the
chemical distributions of the their individuals. The parallel study of stellar
abundances and nucleosynthesis helps to understand the production of the
elements inside stars and their evolution in the interestellar medium. In the
present paper copper and zinc abundances of a sample of bulge-like stars are
inferred and compared to samples of the solar vicinity. A disk-like
distribution of [Zn/Fe] is found for the bulge-like stars, while underabundant
[Cu/Fe] ratios relative to disk samples are determined.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 15:17:40 GMT""},{""version"":""v2"",""created"":""Mon, 2 Jun 2003 12:42:15 GMT""}]","2016-01-27"
"astro-ph/0305568","Jochen Weller","Richard A. Battye and Jochen Weller","Constraining cosmological parameters using Sunyaev-Zel'dovich cluster
  surveys","21 pages, 14 figures, minor changes to match version accepted for
  publication in PRD","Phys.Rev. D68 (2003) 083506","10.1103/PhysRevD.68.083506",,"astro-ph",,"  We discuss how future cluster surveys can constrain cosmological parameters
with particular reference to the properties of the dark energy component
responsible for the observed acceleration of the universe by probing the
evolution of the surface density of clusters as a function of redshift. We
explain how the abundance of clusters selected using their Sunyaev-Zel'dovich
effect can be computed as a function of the observed flux and redshift taking
into account observational effects due to a finite beam-size. By constructing
an idealized set of simulated observations for a fiducial model, we forecast
the likely constraints that might be possible for a variety of proposed surveys
which are assumed to be flux limited. We find that Sunyaev-Zel'dovich cluster
surveys can provide vital complementary information to those expected from
surveys for supernovae. We analyse the impact of statistical and systematic
uncertainties and find that they only slightly limit our ability to constrain
the equation of state of the dark energy component.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 15:03:51 GMT""},{""version"":""v2"",""created"":""Thu, 11 Sep 2003 14:41:08 GMT""}]","2009-11-07"
"astro-ph/0305569","Shinji Tsujikawa","Shinji Tsujikawa (Portsmouth)","Cosmological density perturbations from perturbed couplings","5 pages, 2 eps figures, references are added. Accepted for
  publication in Physical Review D","Phys.Rev. D68 (2003) 083510","10.1103/PhysRevD.68.083510",,"astro-ph gr-qc hep-ph hep-th",,"  The density perturbations generated when the inflaton decay rate is perturbed
by a light scalar field $\chi$ are studied. By explicitly solving the
perturbation equations for the system of two scalar fields and radiation, we
show that even in low energy-scale inflation nearly scale-invariant spectra of
scalar perturbations with an amplitude set by observations are obtained through
the conversion of $\chi$ fluctuations into adiabatic density perturbations. We
demonstrate that the spectra depend on the average decay rate of the inflaton &
on the inflaton fluctuations. We then apply this new mechanism to string
cosmologies & generalized Einstein theories and discuss the conditions under
which scale-invariant spectra are possible.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 15:16:07 GMT""},{""version"":""v2"",""created"":""Fri, 15 Aug 2003 20:10:06 GMT""}]","2009-11-07"
"astro-ph/0305570","Antony A. Stark","Antony A. Stark","Meeting the Optical Requirements of Large Focal-Plane Arrays","10 pages, 7 figures, submitted to Proceedings of the Fourteenth
  International Symposium on Space Terahertz Technology, Tucson, AZ April 2003",,,,"astro-ph",,"  Technological advances will allow the placement of many Terahertz detectors
at the focal plane of a single telescope. For a telescope of a given diameter
and wavelength of operation, there is a limit to the number of usable detectors
imposed by diffraction and optical aberrations. These effects can be
ameliorated through an optical design where the magnification of the
telescope's secondary mirror is small and the detector package is therefore
located near the secondary mirror. A field mirror can be used to flatten the
image, and the focal reducer which matches the detector to the telescope can
also provide an image of the aperture for placement of filters and stops. A
design concept is presented for the South Pole Telescope which comprises a
10-meter diameter off-axis paraboloidal primary mirror, a Gregorian secondary
mirror, a tertiary chopper, dewar widow, Lyot stops, band-pass filter, and
space behind the focal plane for cryogenics. The telescope is bilaterally
symmetric, and all apertures are unblocked. The field of view is one degree in
diameter, so this telescope can feed an array of several tens of thousands of
detectors at Terahertz frequencies.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 15:31:49 GMT""}]","2007-05-23"
"cond-mat/0305636","S. M. Iftiquar","S. M. Iftiquar (Energy Research Unit, Jadavpur, Calcutta, India)","Structural Studies on Semiconducting Hydrogenated Amorphous Silicon
  Oxide Films",,"High temperature Material Processes;Volume 6, Issue 1;Year
  2002;pp. 35",,,"cond-mat",,"  In hydrogenated amorphous silicon oxide (a-SiO:H) films, incorporation of
oxygen enhances optical gap due to a large number of St-O-Si bond formation,
which lies deep into valence band states. An induction effect of this Si-O on
other bonds within the network also takes place. At higher oxygen content
micro-void forms and bonded hydrogen accumulates in di and/or polyhydride form.
At this stage a phase separation of Si-rich and O-rich region taking place. A
peak shift of absorption spectra within 1850 - 2250 cm-1, towards higher wave
number is continuous. A gradual increase and broadening of 850 cm-1 absorption
band on both sides of peak position indicate higher structural disorder in
network formation. It may be considered that the stretching vibration of-OH
bonded to Si gives rise to 780 cm-1 absorption band. This Si-OH formation is
beneficial which prevents deterioration in photosensitivity due to reduction in
bonded hydrogen content. Hydrogen content is found reducing as oxygen content
increases from zero to ~15 at.%. A systematic study is carried out to correlate
the optoelectronic property with local atomic arrangement.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 17:48:42 GMT""}]","2007-11-17"
"cond-mat/0305641","P. Grassberger","Alexander Kraskov, Harald Stoegbauer, and Peter Grassberger","Estimating Mutual Information","16 pages, including 18 figures",,"10.1103/PhysRevE.69.066138",,"cond-mat.stat-mech cond-mat.dis-nn",,"  We present two classes of improved estimators for mutual information
$M(X,Y)$, from samples of random points distributed according to some joint
probability density $\mu(x,y)$. In contrast to conventional estimators based on
binnings, they are based on entropy estimates from $k$-nearest neighbour
distances. This means that they are data efficient (with $k=1$ we resolve
structures down to the smallest possible scales), adaptive (the resolution is
higher where data are more numerous), and have minimal bias. Indeed, the bias
of the underlying entropy estimates is mainly due to non-uniformity of the
density at the smallest resolved scale, giving typically systematic errors
which scale as functions of $k/N$ for $N$ points. Numerically, we find that
both families become {\it exact} for independent distributions, i.e. the
estimator $\hat M(X,Y)$ vanishes (up to statistical fluctuations) if $\mu(x,y)
= \mu(x) \mu(y)$. This holds for all tested marginal distributions and for all
dimensions of $x$ and $y$. In addition, we give estimators for redundancies
between more than 2 random variables. We compare our algorithms in detail with
existing algorithms. Finally, we demonstrate the usefulness of our estimators
for assessing the actual independence of components obtained from independent
component analysis (ICA), for improving ICA, and for estimating the reliability
of blind source separation.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 17:04:28 GMT""}]","2009-11-10"
"cond-mat/0305643","A. Rebei","A. Rebei, W.N.G. Hitchon","Correlation energy of an electron gas: a functional approach","20 figures numbered as in the text","Int. J. Mod. Phys. B 17 (2003) 973","10.1142/S0217979203015851",,"cond-mat.mtrl-sci cond-mat.stat-mech",,"  Correlation effects of an electron gas in an external potential are derived
using an Effective Action functional method. Corrections beyond the random
phase approximation (RPA) are naturally incorporated by this method. The
Effective Action functional is made to depend explicitly on two-point
correlation functions. The calculation is carried out at imaginary time. For a
homogeneous electron gas, we calculate the effect of exchange on the ring
diagrams at zero temperature and show how to include some of the ladder
diagrams. Our results agree well with known numerical calculations. We conclude
by showing that this method is in fact a variant of the time dependent density
functional method and suggest that it is suitable to be applied to the study of
correlation effects in the non-homogeneous case.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 16:51:51 GMT""}]","2009-11-10"
"cond-mat/0305653","R. Mahendiran","R. Mahendiran, Y. Breard, M. Hervieu, B. Raveau, and P. Schiffer","Giant frequency dependence of dynamic freezing in nanocrystalline
  ferromagnetic LaCo0.5Mn0.5O3","18 pages including 6 figures",,,"cond-mat/021154","cond-mat.mtrl-sci",,"  We have investigated the magnetic properties of nanocrystalline
LaCo0.5Mn0.5O3. The temperature dependence of the imaginary part of the a.c.
susceptibility shows a strongly frequency dependent maximum at a temperature,
Tf, which is well below the ferromagnetic transition temperature (TC ~ 230 K).
The frequency dependence of Tf obeys the Arrhenius relation, f =
foexp(-Ea/kBT), with physically reasonable values of fo = 109 Hz and Ea/kB =
1518 K. The frequency shift of Tf per decade of frequency is one of the highest
values observed in any magnetic system, and a similarly large value is also
found in LaCo0.4Mg0.1Mn0.5O3, suggesting that such behavior is intrinsic
despite the apparent presence of long range ferromagnetic order.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 16:19:28 GMT""}]","2007-05-23"
"cond-mat/0305659","Pouliquen","O. Pouliquen, M. Belzons, M. Nicolas","Fluctuating particle motion during shear induced granular compaction","4 pages",,"10.1103/PhysRevLett.91.014301",,"cond-mat.soft cond-mat.stat-mech",,"  Using a refractive index matching method, we investigate the trajectories of
particles in a three dimensional granular packing submitted to cyclic shear
deformation. The particle motion observed during compaction is not diffusive
but exhibits transient cage effect, similar to the one observed in colloidal
glasses. We precisely study the statistics of the step size between two
successive cycles and observe that it is proportional to the shear amplitude.
The link between the microscopic observations and the macroscopic evolution of
the volume fraction during compaction is discussed.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 18:56:37 GMT""}]","2009-11-10"
"cond-mat/0305661","Igor I. Smolyaninov","Igor I. Smolyaninov, Jill Elliott, Anatoly V. Zayats","Magnetic light","Submitted to Phys.Rev.Lett., 3 figures","Phys.Rev.B 71, 035425 (2005)","10.1103/PhysRevB.71.035425",,"cond-mat.str-el",,"  In this paper we report on the observation of novel and highly unusual
magnetic state of light. It appears that in small holes light quanta behave as
small magnets so that light propagation through such holes may be affected by
magnetic field. When arrays of such holes are made, magnetic light of the
individual holes forms novel and highly unusual two-dimensional magnetic light
material. Magnetic light may soon become a great new tool for quantum
communication and computing.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 19:21:58 GMT""}]","2009-11-10"
"cond-mat/0305662",,"Leszek Szybisz and Ignacio Urrutia (Laboratorio TANDAR, Departamento
  de F\'isica, Comisi\'on Nacional de Energ\'ia At\'omica)","Curvature effects on the surface thickness and tension at the free
  interface of $^4$He systems","35 pages, TeX, 5 figures, definitive version",,"10.1103/PhysRevB.68.054518",,"cond-mat.soft cond-mat.stat-mech",,"  The thickness $W$ and the surface energy $\sigma_A$ at the free interface of
superfluid $^4$He are studied. Results of calculations carried out by using
density functionals for cylindrical and spherical systems are presented in a
unified way, including a comparison with the behavior of planar slabs. It is
found that for large species $W$ is independent of the geometry. The obtained
values of $W$ are compared with prior theoretical results and experimental
data. Experimental data favor results evaluated by adopting finite range
approaches. The behavior of $\sigma_A$ and $W \sigma_A$ exhibit overshoots
similar to that found previously for the central density, the trend of these
observables towards their asymptotic values is examined.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 19:47:08 GMT""},{""version"":""v2"",""created"":""Thu, 29 May 2003 15:41:15 GMT""},{""version"":""v3"",""created"":""Mon, 2 Jun 2003 13:47:32 GMT""}]","2016-08-16"
"cond-mat/0305663","Serguei Ktitorov","Serguei A. Ktitorov","Determination of the relaxation time distribution from the dielectric
  losses","Submitted for publication in the Technical Physics Letters, St.
  Petersburg",,"10.1134/1.1631377",,"cond-mat.dis-nn",,"  The problem of determining of the relaxation time distribution in irregular
relaxing systems is considered from the point of view of the Kotelnikov-Shannon
theorem of the telecommunication theory.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 20:00:17 GMT""}]","2009-11-10"
"cond-mat/0305664","Peter Young","Abhishek Dhar and A. P. Young","Ensemble dependence in the Random transverse-field Ising chain","8 pages, 12 figures","Phys. Rev. B 68, 134441 (2003)","10.1103/PhysRevB.68.134441",,"cond-mat.dis-nn cond-mat.stat-mech",,"  In a disordered system one can either consider a microcanonical ensemble,
where there is a precise constraint on the random variables, or a canonical
ensemble where the variables are chosen according to a distribution without
constraints. We address the question as to whether critical exponents in these
two cases can differ through a detailed study of the random transverse-field
Ising chain. We find that the exponents are the same in both ensembles, though
some critical amplitudes vanish in the microcanonical ensemble for correlations
which span the whole system and are particularly sensitive to the constraint.
This can \textit{appear} as a different exponent. We expect that this apparent
dependence of exponents on ensemble is related to the integrability of the
model, and would not occur in non-integrable models.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 21:05:27 GMT""}]","2009-11-10"
"cond-mat/0305665","M. Scott Shell","M. S. Shell, P. G. Debenedetti, A. Z. Panagiotopoulos","Saddles in the energy landscape: extensivity and thermodynamic formalism","4 pages, 1 figure","Phys. Rev. Lett. 92, 035506 (2004)","10.1103/PhysRevLett.92.035506",,"cond-mat.soft cond-mat.stat-mech",,"  We formally extend the energy landscape approach for the thermodynamics of
liquids to account for saddle points. By considering the extensive nature of
macroscopic potential energies, we derive the scaling behavior of saddles with
system size, as well as several approximations for the properties of low-order
saddles (i.e., those with only a few unstable directions). We then cast the
canonical partition function in a saddle-explicit form and develop, for the
first time, a rigorous energy landscape approach capable of reproducing trends
observed in simulations, in particular the temperature dependence of the energy
and fractional order of sampled saddles.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 22:05:01 GMT""}]","2009-11-10"
"cond-mat/0305666","Roland Faller","Roland Faller and Juan J. de Pablo","Density of states of a binary Lennard-Jones Glass","6 pages, 3 figures, accepted by J Chem Phys","J Chem Phys 119(13), 6883-6894 (2003)","10.1063/1.1594180",,"cond-mat.soft cond-mat.stat-mech",,"  We calculate the density of states of a binary Lennard-Jones glass using a
recently proposed Monte Carlo algorithm. Unlike traditional molecular
simulation approaches, the algorithm samples distinct configurations according
to self-consistent estimates of the density of states, thereby giving rise to
uniform internal-energy histograms. The method is applied to simulate the
equilibrium, low-temperature thermodynamic properties of a widely studied glass
former consisting of a binary mixture of Lennard-Jones particles. We show how a
density-of-states algorithm can be combined with particle identity swaps and
configurational bias techniques to study that system. Results are presented for
the energy and entropy below the mode coupling temperature.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 22:35:14 GMT""}]","2009-11-10"
"cond-mat/0305667","Kazuhiko Seki","Kazuhiko Seki, Mariusz Wojcik, and M. Tachiya","Fractional Reaction-Diffusion Equation","to appear in Journal of Chemical Physics","J. Chem. Phys. vol. 119, 2165 (2003)","10.1063/1.1587126",,"cond-mat.stat-mech cond-mat.mtrl-sci",,"  A fractional reaction-diffusion equation is derived from a continuous time
random walk model when the transport is dispersive. The exit from the encounter
distance, which is described by the algebraic waiting time distribution of jump
motion, interferes with the reaction at the encounter distance. Therefore, the
reaction term has a memory effect. The derived equation is applied to the
geminate recombination problem. The recombination is shown to depend on the
intrinsic reaction rate, in contrast with the results of Sung et al. [J. Chem.
Phys. {\bf 116}, 2338 (2002)], which were obtained from the fractional
reaction-diffusion equation where the diffusion term has a memory effect but
the reaction term does not. The reactivity dependence of the recombination
probability is confirmed by numerical simulations.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 01:52:48 GMT""}]","2009-11-10"
"cond-mat/0305668","Igor Solovyev","I. V. Solovyev","Magnetic Interactions in Transition-Metal Oxides","57 pages, 23 figures","Transworld Research Network, Recent Res. Devel. Magnetism &
  Magnetic Mat., 1(2003): 253-294 ISBN: 81-7895-100-2",,,"cond-mat.mtrl-sci cond-mat.str-el",,"  This a review article, which presents a general framework for the analysis of
interatomic magnetic interactions in the spin-density-functional theory, which
is based on the magnetic force theorem, make a link with the models for
transition-metal oxides, and gives several examples of how this strategy can be
used for the analysis of magnetic properties of colossal-magnetoresistive
perovskite manganites, double perovskite and pyrochlore compounds.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 01:54:29 GMT""}]","2007-05-23"
"cond-mat/0305669","Shun-ichiro Koh","Shun-ichiro Koh","Meissner effect in a charged Bose gas with short-range repulsion","8 pages, 3 figures","Physical Review B 68,144502(2003)","10.1103/PhysRevB.68.144502",,"cond-mat.supr-con cond-mat.stat-mech",,"  The question of whether the BEC is a necessary condition of the Meissner
effect is examined. The electromagnetic susceptibility of a charged Bose gas
with short-range repulsion is studied using the perturbation theory with
respect to the repulsive force. With decreasing temperature, the
Bose-statistical coherence grows, and prior to the BEC phase the susceptibility
shows a singularity implying the Meissner effect. This means that the BEC is a
sufficient, but not a necessary condition of the Meissner effect in the charged
Bose gas with short-range repulsion.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 02:19:20 GMT""},{""version"":""v2"",""created"":""Wed, 1 Aug 2007 09:21:22 GMT""},{""version"":""v3"",""created"":""Tue, 14 Aug 2007 06:06:12 GMT""}]","2007-08-14"
"cond-mat/0305670","Francois Leyvraz","F. Leyvraz","Scaling Theory and Exactly Solved Models In the Kinetics of Irreversible
  Aggregation","160 pp. 1 figure, submitted to Physics Reports",,"10.1016/S0370-1573(03)00241-2",,"cond-mat.stat-mech cond-mat.soft",,"  The scaling theory of irreversible aggregation is discussed in some detail.
First, we review the general theory in the simplest case of binary reactions.
We then extend consideration to ternary reactions, multispecies aggregation,
inhomogeneous situations with arbitrary size dependent diffusion constants as
well as arbitrary production terms. A precise formulation of the scaling
hypothesis is given as well as a general theory of crossover phenomena. The
consequences of this definition are described at length. The specific issues
arising in the case in which an infinite cluster forms at finite times (the
so-called gelling case) are discussed, in order to address discrepancies
between theory and recent numerical work. Finally, a large number of exactly
solved models are reviewed extensively with a view to pointing out precisely in
which sense the scaling hypothesis holds in these various models. It is shown
that the specific definition given here will give good results for almost all
cases. On the other hand, we show that it is usually possible to find
counterexamples to stronger formulations of the scaling hypothesis.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 15:50:26 GMT""}]","2009-11-10"
"cond-mat/0305671","Feng Shiping","Shiping Feng, Tianxing Ma, and Jihong Qin","Gauge invariant dressed holon and spinon in doped cuprates","8 pages, Revtex, three figures are included","Mod. Phys. Lett. B17, 361 (2003)","10.1142/S0217984903005251",,"cond-mat.str-el cond-mat.supr-con",,"  We develop a partial charge-spin separation fermion-spin theory implemented
the gauge invariant dressed holon and spinon. In this novel approach, the
physical electron is decoupled as the gauge invariant dressed holon and spinon,
with the dressed holon behaviors like a spinful fermion, and represents the
charge degree of freedom together with the phase part of the spin degree of
freedom, while the dressed spinon is a hard-core boson, and represents the
amplitude part of the spin degree of freedom, then the electron single
occupancy local constraint is satisfied. Within this approach, the charge
transport and spin response of the underdoped cuprates is studied. It is shown
that the charge transport is mainly governed by the scattering from the dressed
holons due to the dressed spinon fluctuation, while the scattering from the
dressed spinons due to the dressed holon fluctuation dominates the spin
response.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 03:42:36 GMT""},{""version"":""v2"",""created"":""Mon, 2 Jun 2003 01:55:47 GMT""}]","2009-11-10"
"cond-mat/0305672","Allan Rosencwaig","A. Rosencwaig","Stripes and the (Cu)13-BEC model","36 pages, 10 figures, Physical Review B",,,,"cond-mat.supr-con cond-mat.str-el",,"  The (Cu)13-BEC model of high-temperature superconductivity was previously
shown to account for many of the principal thermodynamic and electronic
properties of the superconducting cuprates. Here I show that this model is also
able to account for many of the key characteristics of the coupled CDW and SDW
orders in these compounds. These include the general coexistence of metallic
parallel stripes with superconductivity, the well-known linear relationship
between the incommensurability of the SDW-induced IC magnetic peaks and the
dopant concentration, as well as the saturation of this incommensurabilty at a
value of about 1/8 for doping greater than 1/8. The model also provides a
natural explanation for the celebrated 1/8-anomaly in LSCO and LBCO. It is also
able to account for the severe suppression of the superconductivity in LNSCO at
all doping levels and for the variations in the properties of LBSCO, at a fixed
hole doping of 1/8, as its crystal structure is changed. Furthermore, the
(Cu)13-BEC model is also consistent with many of the characteristics of the SDW
orders in Y123. Most importantly, scanning tunneling microscopy results on
Bi2212 appear to provide a direct validation of the CDW order predicted by the
model.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 04:30:39 GMT""}]","2007-05-23"
"cond-mat/0305673","Kan Chen","Kan Chen, Bing-Hong Wang, Baosheng Yuan","Theory of Phase Transition in the Evolutionary Minority Game","5 pages and 3 figures",,"10.1103/PhysRevE.69.025102",,"cond-mat",,"  We discover the mechanism for the transition from self-segregation (into
opposing groups) to clustering (towards cautious behaviors) in the evolutionary
minority game (EMG). The mechanism is illustrated with a statistical mechanics
analysis of a simplified EMG involving three groups of agents: two groups of
opposing agents and one group of cautious agents. Two key factors affect the
population distribution of the agents. One is the market impact (the
self-interaction), which has been identified previously. The other is the
market inefficiency due to the short-time imbalance in the number of agents
using opposite strategies. Large market impact favors ""extreme"" players who
choose fixed strategies, while large market inefficiency favors cautious
players. The phase transition depends on the number of agents ($N$), the
reward-to-fine ratio ($R$), as well as the wealth reduction threshold ($d$) for
switching strategy. When the rate for switching strategy is large, there is
strong clustering of cautious agents. On the other hand, when $N$ is small, the
market impact becomes large, and the extreme behavior is favored.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 05:24:49 GMT""}]","2013-05-29"
