"astro-ph/0310780","Stanislav Boldyrev","Stanislav Boldyrev and Fausto Cattaneo (U. Chicago)","On magnetic field generation in Kolmogorov turbulence","4 pages, revised, new material added","Phys.Rev.Lett. 92 (2004) 144501","10.1103/PhysRevLett.92.144501",,"astro-ph physics.flu-dyn",,"  We analyze the initial, kinematic stage of magnetic field evolution in an
isotropic and homogeneous turbulent conducting fluid with a rough velocity
field, v(l) ~ l^alpha, alpha<1. We propose that in the limit of small magnetic
Prandtl number, i.e. when ohmic resistivity is much larger than viscosity, the
smaller the roughness exponent, alpha, the larger the magnetic Reynolds number
that is needed to excite magnetic fluctuations. This implies that numerical or
experimental investigations of magnetohydrodynamic turbulence with small
Prandtl numbers need to achieve extremely high resolution in order to describe
magnetic phenomena adequately.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 18:39:56 GMT""},{""version"":""v2"",""created"":""Wed, 26 Nov 2003 18:07:55 GMT""}]","2007-05-23"
"astro-ph/0310819","Eduardo L. Martin","Eduardo L. Martin, Xavier Delfosse and Sylvain Guieu","Spectroscopic identification of DENIS-selected brown dwarf candidates in
  the Upper Scorpius OB association","Accepted for publication in The Astronomical Journal, January 2004",,"10.1086/380226",,"astro-ph",,"  We present low-resolution (R=900) optical (576.1--1,051.1 nm) spectroscopic
observations of 40 candidate very low-mass members in the Upper Scorpius OB
association. These objects were selected using the $I$, $J$ and $K$ photometry
available in the DENIS database. We have derived spectral types and we have
measured H$\alpha$ and NaI doublet (at 818.3 and 819.5 nm) equivalent widths.
We assess the youth of the objects by comparing them to their older
counterparts of similar spectral type in the Pleiades cluster and the field.
Our analysis indicates that 28 of our targets are young very low-mass objects,
and thus they are strong candidate members of the OB association. The other 12
DENIS sources are foreground M dwarfs or background red giants. Our sample of
spectroscopic candidate members includes 18 objects with spectral types in the
range M6.5 and M9, which are likely young brown dwarfs. We classify these
candidates as accreting/non accreting using the scheme proposed by Barrado y
Navascu\'es & Mart\'\i n (2003). We find 5 substellar-mass candidate cluster
members that are still undergoing mass accretion, indicating that the timescale
for accretion onto brown dwarfs can be as long as 5 Myr in some cases.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 03:50:18 GMT""}]","2009-11-10"
"astro-ph/0310820","James Reeves","J.N Reeves (USRA/NASA-GSFC), K. Nandra (Imperial College), I.M. George
  (UMBC/NASA-GSFC), K.A. Pounds (U of Leicester), T.J. Turner (UMBC/NASA-GSFC),
  T. Yaqoob (JHU/NASA-GSFC)","The XMM-Newton Iron Line Profile of NGC 3783","34 pages, including 11 figures. Accepted for publication in ApJ","Astrophys.J. 602 (2004) 648-658","10.1086/381091",,"astro-ph",,"  We report on observations of the iron K line in the nearby Seyfert 1 galaxy,
NGC 3783, obtained in a long, 2 orbit (240 ks) XMM-Newton observation. The line
profile obtained exhibits two strong narrow peaks at 6.4 keV and at 7.0 keV,
with measured line equivalent widths of 120 and 35 eV respectively. The 6.4 keV
emission is the K-alpha line from near neutral Fe, whilst the 7.0 keV feature
probably originates from a blend of the neutral Fe K-beta line and the H-like
line of Fe at 6.97 keV. The relatively narrow velocity width of the K-alpha
line (<5000 km/s), its lack of response to the continuum emission on short
timescales and the detection of a neutral Compton reflection component are all
consistent with a distant origin in Compton-thick matter such as the putative
molecular torus. A strong absorption line from highly ionized iron (at 6.67
keV) is detected in the time-averaged iron line profile, whilst the depth of
the feature appears to vary with time, being strongest when the continuum flux
is higher. The iron absorption line probably arises from the highest ionization
component of the known warm absorber in NGC 3783, with an ionization of logxi=3
and column density of 5x10^{22}cm{-2} and may originate from within 0.1pc of
the nucleus. A weak red-wing to the iron K line profile is also detected below
6.4 keV. However when the effect of the highly ionized warm absorber on the
underlying continuum is taken into account, the requirement for a relativistic
iron line component from the inner disk is reduced.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 04:30:14 GMT""}]","2009-11-10"
"astro-ph/0310821","Thomas Ott","R. Genzel, R. Schoedel, T. Ott, A. Eckart, T. Alexander, F. Lacombe,
  D. Rouan & B. Aschenbach","Near-infrared flares from accreting gas around the supermassive black
  hole at the Galactic Centre","5 pages, 3 figures to appear in the Oct 30 issue of Nature","Nature 425 (2003) 934-937","10.1038/nature02065",,"astro-ph",,"  Recent measurements of stellar orbits provide compelling evidence that the
compact radio source Sagittarius A* at the Galactic Centre is a
3.6-million-solar-mass black hole. Sgr A* is remarkably faint in all wavebands
other than the radio region, however, which challenges current theories of
matter accretion and radiation surrounding black holes. The black hole's
rotation rate is not known, and therefore neither is the structure of
space-time around it.Here we report high-resolution infrared observations of
Sgr A* that reveal 'quiescent' emission and several flares. The infrared
emission originates from within a few milliarcseconds of the black hole, and
traces very energetic electrons or moderately hot gas within the innermost
accretion region. Two flares exhibit a 17-minute quasi-periodic variability. If
the periodicity arises from relativistic modulation of orbiting gas, the
emission must come from just outside the event horizon, and the black hole must
be rotating at about half of the maximum possible rate.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 07:51:59 GMT""}]","2009-11-10"
"astro-ph/0310822","Masahiro Kawasaki","A.D. Dolgov and M. Kawasaki","Stability of a cosmological model with dynamical cancellation of vacuum
  energy","8 pages, 5 figures",,,,"astro-ph",,"  The stability of cosmological solutions in the recently suggested specific
mechanism of dynamical compensation of vacuum energy is studied. It is found
that the solutions in the original version lead to cosmological singularity
which could be reached in final (and short) time. A modification of the
interaction of the compensating field with gravity is suggested which allows to
escape such singularity. It is shown that generic cosmological solution in this
model tends to the Friedmann expansion regime even starting from initially
large vacuum energy.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 08:44:52 GMT""}]","2007-05-23"
"astro-ph/0310823","Manfred Sch\""ussler","Ilya G. Usoskin, Sami K. Solanki, Manfred Schuessler, Kalevi Mursula
  and Katja Alanko","A Millennium Scale Sunspot Number Reconstruction: Evidence For an
  Unusually Active Sun Since the 1940's","4 pages, LaTeX, revtex4 macros; Phys. Rev. Let., in press","Phys.Rev.Lett. 91 (2003) 211101","10.1103/PhysRevLett.91.211101",,"astro-ph",,"  The extension of the sunspot number series backward in time is of
considerable interest for dynamo theory, solar, stellar, and climate research.
We have used records of the Be-10 concentration in polar ice to reconstruct the
average sunspot activity level for the period between the year 850 to the pr
esent. Our method uses physical models for processes connecting the Be-10
concentration with the sunspot number. The reconstruction shows reliably that
the period of high solar activity during the last 60 years is unique throughout
the past 1150 years. This nearly triples the time interval for which such a
statement could be made previously
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 09:30:20 GMT""}]","2009-11-10"
"astro-ph/0310824","Kazuharu Bamba","Kazuharu Bamba and J. Yokoyama","Large-scale magnetic fields from inflation in dilaton electromagnetism","28 pages, 5 figures, the version accepted for publication in Phys.
  Rev. D; some references are added","Phys.Rev.D69:043507,2004","10.1103/PhysRevD.69.043507","OU-TAP 219","astro-ph hep-ph",,"  The generation of large-scale magnetic fields is studied in dilaton
electromagnetism in inflationary cosmology, taking into account the dilaton's
evolution throughout inflation and reheating until it is stabilized with
possible entropy production. It is shown that large-scale magnetic fields with
observationally interesting strength at the present time could be generated if
the conformal invariance of the Maxwell theory is broken through the coupling
between the dilaton and electromagnetic fields in such a way that the resultant
quantum fluctuations in the magnetic field has a nearly scale-invariant
spectrum. If this condition is met, the amplitude of the generated magnetic
field could be sufficiently large even in the case huge amount of entropy is
produced with the dilution factor $\sim 10^{24}$ as the dilaton decays.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 10:04:14 GMT""},{""version"":""v2"",""created"":""Thu, 5 Aug 2004 06:24:26 GMT""}]","2008-11-26"
"astro-ph/0310825","Takayuki Tatekawa","Takayuki Tatekawa","Density field in extended Lagrangian perturbation theory","23 pages, 9 figures; some figures are replaced; accepted for
  publication in Phys.Rev.D","Phys.Rev. D69 (2004) 084020","10.1103/PhysRevD.69.084020","WU-AP/176/03","astro-ph",,"  We analyzed the performance of a perturbation theory for nonlinear
cosmological dynamics, based on the Lagrangian description of hydrodynamics. In
our previous paper, we solved hydrodynamic equations for a self-gravitating
fluid with pressure, given by a polytropic equation of state, using a
perturbation method. Then we obtained the first-order solutions in generic
background universes and the second-order solutions for a wider range of
polytrope exponents. Using these results, we describe density fields with
scale-free spectrum, SCDM, and LCDM models. Then we analyze cross-correlation
coefficient of the density field between N-body simulation and Lagrangian
linear perturbation theory, and the probability distribution of density
fluctuation. From our analyses, for scale-free spectrum models, the case of the
polytrope exponent 5/3 shows better performance than the Zel'dovich
approximation and the truncated Zel'dovich approximation in a quasi-nonlinear
regime. On the other hand, for SCDM and LCDM models, improvement by the effect
of the velocity dispersion was small.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 10:08:58 GMT""},{""version"":""v2"",""created"":""Fri, 5 Dec 2003 12:28:37 GMT""},{""version"":""v3"",""created"":""Tue, 27 Jan 2004 07:15:22 GMT""}]","2009-11-10"
"astro-ph/0310826","Inma Dominguez","Oscar Straniero, Inma Dominguez, Sergio Cristallo, Roberto Gallino","Low mass AGB stellar models for 0.003 < Z < 0.02: basic formulae for
  nucleosynthesis calculations","11 pages, 4 figures, accepted for publication in Publications of the
  Astronomical Society of Australia (PASA)",,"10.1071/AS03041",,"astro-ph",,"  We have extended our published set of low mass AGB stellar models to lower
metallicity. Different mass loss rates have been explored. Interpolation
formulae for luminosity, effective temperature, core mass, mass of dredge up
material and maximum temperature in the convective zone generated by thermal
pulses are provided. Finally, we discuss the modifications of these quantities
as obtained when an appropriate treatment of the inward propagation of the
convective instability, caused by the steep rise of the radiative opacity
occurring when the convective envelope penetrates the H-depleted region, is
taken into account.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 10:43:55 GMT""}]","2009-11-10"
"astro-ph/0310827","Vincent Tatischeff","V. Tatischeff and J. Kiener (CSNSM, France)","Gamma-ray lines from cosmic-ray interactions with interstellar dust
  grains","7 pages, 4 figures, to be published in New Astronomy Reviews
  (proceedings of the Workshop ""Astronomy with Radioactivities IV and Filling
  the Sensitivity Gap in MeV Astronomy"", Seeon, Germany, May 26-30, 2003)","New Astron.Rev. 48 (2004) 99-103","10.1016/j.newar.2003.11.013",,"astro-ph",,"  As pointed out by Lingenfelter and Ramaty (1977), the shapes of some
gamma-ray lines produced by cosmic-ray interactions with the interstellar
medium potentially contain valuable information on the physical properties of
dust grains, including their compositions and size distributions. The most
promising of such lines are at 847, 1369, 1779 and 6129 keV, from 56-Fe*,
24-Mg*, 28-Si* and 16-O*, respectively. We performed detailed calculations of
their profiles using, in particular, available laboratory measurements combined
with optical model calculations to evaluate the energy distributions of the
recoiling excited nuclei. We show that the line shapes are mainly sensitive to
relatively large interstellar grains, with radii greater than 0.25 microns.
Line fluxes from the inner Galaxy are then predicted.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 10:57:01 GMT""}]","2009-11-10"
"astro-ph/0310828","Sabrina De Grandi","Sabrina De Grandi (INAF-OA Brera, I), Stefano Ettori (ESO Garching,
  D), Marcella Longhetti (INAF-OA Brera, I) and Silvano Molendi (IASF/CNR MI,
  I)","On the Iron content in rich nearby Clusters of Galaxies","12 pages, tables and figures included. Accepted for publication in
  A&A","Astron.Astrophys.419:7-18,2004","10.1051/0004-6361:20034228",,"astro-ph",,"  In this paper we study the iron content of a sample of 22 nearby hot clusters
observed with BeppoSAX. We find that the global iron mass of clusters is
tightly related to the cluster luminosity and that the relatively loose
correlation between the iron mass and the cluster temperature follows from the
combination of the iron mass vs. luminosity and luminosity vs. temperature
correlations. The iron mass is found to scale linearly with the intracluster
gas mass, implying that the global iron abundance in clusters is roughly
constant. This result suggests that enrichment mechanisms operate at a similar
rate in all clusters. By employing population synthesis and chemical enrichment
models, we show that the iron mass associated to the abundance excess which is
always found in the centre of cool core clusters can be entirely produced by
the brightest cluster galaxy (BCG), which is always found at the centre of cool
core clusters. The iron mass associated to the excess, the optical magnitude of
the BCG and the temperature of the cluster are found to correlate with one
another suggesting a link between the properties of the BCG and the hosting
cluster. These observational facts lends strength to current formation theories
which envisage a strong connection between the formation of the giant BCG and
its hosting cluster.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 12:44:19 GMT""}]","2009-11-10"
"astro-ph/0310829","Rense Boomsma","Rense Boomsma (1), Tom Oosterloo (2), Thijs van der Hulst (1), Renzo
  Sancisi (1 and 3), Filippo Fraternali (2) ((1) Kapteyn Astronomical
  Institute; (2) ASTRON; (3) Osservatorio Astronomica Bologna)","Holes and high velocity HI in NGC 6946","2 pages, 1 figure, to appear in the ASP proceedings of IAU Symposium
  217, ""Recycling intergalactic and interstellar matter"", eds. Pierre-Alain
  Duc, Jonathan Braine, Elias Brinks",,,,"astro-ph",,"  We are studying the properties of the holes and the high velocity gas in NGC
6946. Here we present some puzzling results.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 12:55:36 GMT""}]","2007-05-23"
"astro-ph/0310830","Ester Piedipalumbo dr.","M. Demianski, R. de Ritis, A.A. Marino, E. Piedipalumbo","Approximate angular diameter distance in a locally inhomogeneous
  universe with nonzero cosmological constant","8 pages, 6 figures. Accepted accepted for publication in A&A, it is
  an substantially rewritten version of the earlier paper astro-ph/0004376","Astron.Astrophys. 411 (2003) 33-40","10.1051/0004-6361:20031234",,"astro-ph",,"  We discuss the general and approximate angular diameter distance in the
Friedman-Robertson-Walker cosmological models with nonzero cosmological
constant. We modify the equation for the angular diameter distance by taking
into account the fact that locally the distribution of matter is non
homogeneous. We present exact solutions of this equation in a few special
cases. We propose an approximate analytic solution of this equation which is
simple enough and sufficiently accurate to be useful in practical applications.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 14:41:07 GMT""}]","2009-11-10"
"astro-ph/0310832","Richard P. Nelson","Richard P. Nelson & John C.B. Papaloizou","Disc-planet, planet-planet, and star-planet interactions during planet
  formation","13 pages, 20 figures, to appear in the proceedings of the conference
  `Toward Other Earths: DARWIN/TPF and the Search for Extrasolar Terrestrial
  Planets', ESA Special Publication SP-539, April 2003. A compressed postscript
  version with high resolution figures is available from
  http://www.maths.qmul.ac.uk/~rpn/preprints",,,,"astro-ph",,"  In this article we present results from three on-going projects related to
the formation of protoplanets in protostellar discs. We present the results of
simulations that model the interaction between embedded protoplanets and disc
models undergoing MHD turbulence. We review the similarities and differences
that arise when the disc is turbulent as opposed to laminar (but viscous), and
present the first results of simulations that examine the tidal interaction
between low mass protoplanets and turbulent discs. We describe the results of
simulations of Jovian mass protoplanets forming in circumbinary discs, and
discuss the range of possible outcomes that arise in hydrodynamic simulations.
Finally, we report on some preliminary simulations of three protoplanets of
Jovian mass that form approximately coevally within a protostellar disc. We
describe the conditions under which such a system can form a stable three
planet resonance.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 15:43:32 GMT""}]","2007-05-23"
"cond-mat/0310657","Alois Wuerger","Lionel Foret, Alois W\""urger","Electric-field induced capillary interaction of charged particles at a
  polar interface","June 2003","Phys. Rev. Lett. 92, 058302 (2004)","10.1103/PhysRevLett.92.058302",,"cond-mat.soft","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We study the electric-field induced capillary interaction of charged
particles at a polar interface. The algebraic tails of the electrostatic
pressure of each charge results in a deformation of the interface $u\sim \rho
^{-4}$. The resulting capillary interaction is repulsive and varies as $\rho
^{-6}$ with the particle distance. As a consequence, electric-field induced
capillary forces cannot be at the origin of the secondary minimum observed
recently for charged PMMA particles at on oil-water interface.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 18:30:16 GMT""},{""version"":""v2"",""created"":""Thu, 30 Jan 2014 15:36:25 GMT""},{""version"":""v3"",""created"":""Fri, 7 Feb 2014 11:14:12 GMT""}]","2014-02-10"
"cond-mat/0310658","Suzanne Fielding","Suzanne Fielding and Peter Olmsted","Spatio-temporal oscillations and rheochaos in a simple model of shear
  banding",,"Phys. Rev. Lett. 92, 084502 (2004)","10.1103/PhysRevLett.92.084502",,"cond-mat.soft",,"  We study a simple model of shear banding in which the flow-induced phase is
destabilised by coupling between flow and microstructure (wormlike micellar
length). By varying the strength of the instability and the applied shear rate,
we find a rich variety of oscillatory and rheochaotic shear banded flows. At
low shear and weak instability, the induced phase pulsates in width next to one
wall of the flow cell. For stronger instability, single or multiple high shear
pulses ricochet across the cell. At high shear rates we observe oscillating
bands on either side of a defect. In some cases, multiple such defects exist
and propagate across the cell to interact with each other. We discuss our
results in the context of recent observations of oscillating and fluctuating
shear banded flows.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 16:54:45 GMT""}]","2007-05-23"
"cond-mat/0310662","Igor Zaliznyak","I. A. Zaliznyak, J. M. Tranquada, G. Gu, R. W. Erwin, Y. Moritomo","Universal features of charge and spin order in a half-doped layered
  perovskite","Proof-corrected version, to appear in J. Appl. Phys. 95, # 11,
  18141MMM (2004)","J. Appl. Phys. 95, 7369 (2004)","10.1063/1.1664400",,"cond-mat.str-el cond-mat.mtrl-sci",,"  We have investigated the peculiar structure of charge and spin ordering in
the half-doped layered perovskite oxide La$_{1.5}$Sr$_{0.5}$CoO$_4$ by elastic
neutron scattering. Two samples with different preparation histories were
studied. We find that the generic features of the ordered states, such as their
short-range, glassy nature and the spin incommensurability, are
sample-independent. At the same time, some subtle features of the ordered
phases, such as the correlation lengths, differ.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 16:36:10 GMT""},{""version"":""v2"",""created"":""Sun, 23 May 2004 21:37:55 GMT""}]","2010-07-28"
"cond-mat/0310663","Tuson Park","Tuson Park, Elbert E. M. Chia, M. B. Salamon, E. D. Bauer, I. Vekhter,
  J. D. Thompson, Eun Mi Choi, Heon Jung Kim, Sung-Ik Lee, and P. C. Canfield","Evidence for the Coexistence of Anisotropic Superconducting Gap and
  Nonlocal Effects in the Non-magnetic Superconductor LuNi2B2C","5 pages, 4 figures","Phys. Rev. Lett. 92, 237002 (2004)","10.1103/PhysRevLett.92.237002",,"cond-mat.supr-con cond-mat.str-el",,"  A study of the dependence of the heat capacity Cp(alpha) on field angle in
LuNi2B2C reveals an anomalous disorder effect. For pure samples, Cp(alpha)
exhibits a fourfold variation as the field H < Hc2 is rotated in the [001]
plane, with minima along <100> (alpha = 0). A slightly disordered sample,
however, develops anomalous secondary minima along <110> for H > 1 T, leading
to an 8-fold pattern. The anomalous pattern is discussed in terms of coexisting
superconducting gap anisotropy and non-local effects.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 17:39:03 GMT""},{""version"":""v2"",""created"":""Fri, 11 Jun 2004 20:52:29 GMT""}]","2009-11-10"
"cond-mat/0310664","Paul M. Goldbart","Swagatam Mukhopadhyay (1), Paul M. Goldbart (1), Annette Zippelius (2)
  ((1) University of Illinois at Urbana-Champaign, (2) University of
  Goettingen)","Goldstone fluctuations in the amorphous solid state","7 pages, 2 figures",,"10.1209/epl/i2003-10278-8",,"cond-mat.soft cond-mat.dis-nn cond-mat.stat-mech",,"  Goldstone modes in the amorphous solid state, resulting from the spontaneous
breaking of translational symmetry due to random localisation of particles, are
discussed. Starting from a microscopic model with quenched disorder, the broken
symmetry is identified to be that of relative translations of the replicas.
Goldstone excitations, corresponding to pure shear deformations, are
constructed from long wavelength distortions of the order parameter. The
elastic free energy is computed, and it is shown that Goldstone fluctuations
destroy localisation in two spatial dimensions, yielding a two-dimensional
amorphous solid state characterised by power-law correlations.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 17:25:12 GMT""}]","2009-11-10"
"cond-mat/0310665","Michael Bonitz","A.V. Filinov, V.O. Golubnychiy, M. Bonitz, W. Ebeling, and J.W.Dufty","Temperature-dependent quantum pair potentials and their application to
  dense partially ionized hydrogen plasmas","18 pages, 11 figures","Phys. Rev. E 70, 046411 (2004)","10.1103/PhysRevE.70.046411",,"cond-mat.stat-mech",,"  Extending our previous work \cite{filinov-etal.jpa03ik} we present a detailed
discussion of accuracy and practical applications of finite-temperature
pseudopotentials for two-component Coulomb systems. Different pseudopotentials
are discussed: i) the diagonal Kelbg potential, ii) the off-diagonal Kelbg
potential iii) the {\em improved} diagonal Kelbg potential, iv) an effective
potential obtained with the Feynman-Kleinert variational principle v) the
``exact'' quantum pair potential derived from the two-particle density matrix.
For the {\em improved} diagonal Kelbg potential a simple temperature dependent
fit is derived which accurately reproduces the ``exact'' pair potential in the
whole temperature range. The derived pseudopotentials are then used in path
integral Monte Carlo (PIMC) and molecular dynamics (MD) simulations to obtain
thermodynamical properties of strongly coupled hydrogen. It is demonstrated
that classical MD simulations with spin-dependent interaction potentials for
the electrons allow for an accurate description of the internal energy of
hydrogen in the difficult regime of partial ionization down to the temperatures
of about $60 000$ K. Finally, we point out an interesting relation between the
quantum potentials and effective potentials used in density functional theory.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 17:45:35 GMT""},{""version"":""v2"",""created"":""Thu, 25 Mar 2004 14:38:37 GMT""}]","2009-11-10"
"cond-mat/0310666","Lucia Vitali","L. Vitali, M. A. Schneider, K. Kern, L. Wirtz, A. Rubio","Phonon and plasmon excitation in inelastic electron tunneling
  spectroscopy of graphite","PRB rapid communication, submitted",,"10.1103/PhysRevB.69.121414",,"cond-mat",,"  The inelastic electron tunneling spectrum (IETS)of highly oriented pyrolitic
graphite (HOPG) has been measured with scanning tunneling spectroscopy (STS) at
6K. The observed spectral features are in very good agreement with the
vibrational density of states (vDOS) of graphite calculated from first
principles. We discuss the enhancement of certain phonon modes by
phonon-assisted tunneling in STS based on the restrictions imposed by the
electronic structure of graphite. We also demonstrate for the first time the
local excitation of surface-plasmons in IETS which are detected at an energy of
40 meV.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 18:11:34 GMT""}]","2009-11-10"
"cond-mat/0310667","Colin Denniston","Colin Denniston and Mark O. Robbins","Mapping molecular models to continuum theories for partially miscible
  fluids","43 pages, 17 figures, RevTex4",,"10.1103/PhysRevE.69.021505",,"cond-mat.soft",,"  We map molecular dynamics simulations of fluid-fluid interfaces onto
mesoscale continuum theories for partially miscible fluids. Unlike most
previous work, we examine not only the interface order parameter and density
profiles, but also the stress. This allows a complete mapping from the length
scales of molecular dynamics simulations onto a mesoscale model suitable for a
lattice Boltzmann or other mesoscale simulation method. Typical assumptions of
mesoscale models, such as incompressibility, are found to fail at the
interface, and this has a significant impact on the surface tension. Spurious
velocities, found in a number of discrete models of curved interfaces, are
found to be minimized when the parameters of the mesoscopic model are made
consistent with molecular dynamics results. An improved mesoscale model is
given and demonstrated to produce results consistent with molecular dynamics
simulations for interfaces with widths down to near molecular size.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 18:23:21 GMT""}]","2009-11-10"
"cond-mat/0310668","Alexander D. Mirlin","I.A.Dmitriev, M.G.Vavilov, I.L.Aleiner, A.D.Mirlin, and D.G.Polyakov","Theory of the oscillatory photoconductivity of a 2D electron gas","4 pages, 3 figures","published in a slightly modified form in Physica E 25, 205 (2004)","10.1016/j.physe.2004.06.018",,"cond-mat.mes-hall cond-mat.dis-nn",,"  We develop a theory of magnetooscillations in the photoconductivity of a
two-dimensional electron gas observed in recent experiments. The effect is
governed by a change of the electron distribution function induced by the
microwave radiation. We analyze a nonlinearity with respect to both the dc
field and the microwave power, as well as the temperature dependence determined
by the inelastic relaxation rate.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 19:45:41 GMT""}]","2009-11-10"
"cond-mat/0310669","Marconi Barbosa Dr","Luciano da Fontoura Costa and Marconi Soares Barbosa","An Analytical Approach to Connectivity in Regular Neuronal Networks",,"Eur. Phys. J. B. 42, 573-580 (2004)","10.1114/epjb/e2005-00017-7",,"cond-mat.dis-nn q-bio.NC",,"  This paper describes how realistic neuromorphic networks can have their
connectivity fully characterized in analytical fashion. By assuming that all
neurons have the same shape and are regularly distributed along the
two-dimensional orthogonal lattice with parameter $\Delta$, it is possible to
obtain the exact number of connections and cycles of any length from the
autoconvolution function as well as from the respective spectral density
derived from the adjacency matrix. It is shown that neuronal shape plays an
important role in defining the spatial distribution of synapses in neuronal
networks. In addition, we observe that neuromorphic networks typically exhibit
an interesting phenomenon where the pattern of connections is progressively
shifted along the spatial domain for increasing connection lengths. This is a
consequence of the fact that in neurons the axon reference point usually does
not coincide with the cell centre of mass. Morphological measurements for
characterization of the spatial distribution of connections, including the
adjacency matrix spectral density and the lacunarity of the connections, are
suggested and illustrated. We also show that Hopfield networks with
connectivity defined by different neuronal morphologies, quantified by the
proposed analytical approach, lead to distinct performace for associative
recall, as measured by the overlap index. The potential of the proposed
approach is illustrated with respect to digital images of real neuronal cells.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 20:05:43 GMT""}]","2007-05-23"
"cond-mat/0310670","Andreas Wallraff","S. M. Girvin, Ren-Shou Huang, Alexandre Blais, Andreas Wallraff and R.
  J. Schoelkopf","Prospects for Strong Cavity Quantum Electrodynamics with Superconducting
  Circuits","18 pages (preprint style) incl. 2 figures and 2 tables","in Quantum Entanglement and Information Processing, Proceedings of
  the Les Houches Summer School 2003 (Les Houches, Volume Session LXXIX) (D.
  Esteve, J.-M. Raimond, J. Dalibard Eds), ISBN 0-444-51728-6, Elsevier Science
  (2004)",,,"cond-mat.mes-hall cond-mat.supr-con quant-ph",,"  We propose a realizable architecture using one-dimensional transmission line
resonators to reach the strong coupling limit of cavity quantum electrodynamics
in superconducting electrical circuits. The vacuum Rabi frequency for the
coupling of cavity photons to quantized excitations of an adjacent electrical
circuit (qubit) can easily exceed the damping rates of both the cavity and the
qubit. This architecture is attractive for quantum computing and control, since
it provides strong inhibition of spontaneous emission, potentially leading to
greatly enhanced qubit lifetimes, allows high-fidelity quantum non-demolition
measurements of the state of multiple qubits, and has a natural mechanism for
entanglement of qubits separated by centimeter distances. In addition it would
allow production of microwave photon states of fundamental importance for
quantum communication.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 20:29:57 GMT""}]","2007-05-23"
"cond-mat/0310671","Lincoln D. Carr","L. D. Carr and Y. Castin","Limits of sympathetic cooling of fermions: The role of the heat capacity
  of the coolant","5 pages, 3 figures","Phys. Rev. A 69, 043611 (2004)","10.1103/PhysRevA.69.043611",,"cond-mat.stat-mech",,"  The sympathetic cooling of an initially degenerate Fermi gas by either an
ideal Bose gas below $T_c$ or an ideal Boltzmann gas is investigated. It is
shown that the efficiency of cooling by a Bose gas below $T_c$ is by no means
reduced when its heat capacity becomes much less than that of the Fermi gas,
where efficiency is measured by the decrease in the temperature of the Fermi
gas per number of particles evaporated from the coolant. This contradicts the
intuitive idea that an efficient coolant must have a large heat capacity. In
contrast, for a Boltzmann gas a minimal value of the ratio of the heat
capacities is indeed necessary to achieve T=0 and all of the particles must be
evaporated.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 20:32:30 GMT""},{""version"":""v2"",""created"":""Wed, 16 Jun 2004 23:02:53 GMT""}]","2009-11-10"
"cond-mat/0310672","Igor E. Mazets","I.E. Mazets, D.H.J. O'Dell, G. Kurizki, N. Davidson, W.P. Schleich","Depletion of a Bose-Einstein condensate by laser-iduced dipole-dipole
  interactions","10 pages, 6 figures",,"10.1088/0953-4075/37/7/061",,"cond-mat.soft",,"  We study a gaseous Bose-Einstein condensate with laser-induced dipole-dipole
interactions using the Hartree-Fock-Bogoliubov theory within the Popov
approximation. The dipolar interactions introduce long-range atom-atom
correlations, which manifest themselves as increased depletion at momenta
similar to that of the laser wavelength, as well as a ""roton"" dip in the
excitation spectrum. Surprisingly, the roton dip and the corresponding peak in
the depletion are enhanced by raising the temperature above absolute zero.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 21:06:41 GMT""},{""version"":""v2"",""created"":""Wed, 28 Jan 2004 13:39:39 GMT""}]","2009-11-10"
