"astro-ph/0309800","Neal Weiner","Rob Fardon, Ann E. Nelson, and Neal Weiner (UW)","Dark Energy from Mass Varying Neutrinos","26 pages, 3 figures, refs added, typos corrected, comment added about
  possible matter effects","JCAP 0410:005,2004","10.1088/1475-7516/2004/10/005","UW/PT 03-22","astro-ph hep-ph hep-th",,"  We show that mass varying neutrinos (MaVaNs) can behave as a negative
pressure fluid which could be the origin of the cosmic acceleration. We derive
a model independent relation between the neutrino mass and the equation of
state parameter of the neutrino dark energy, which is applicable for general
theories of mass varying particles. The neutrino mass depends on the local
neutrino density and the observed neutrino mass can exceed the cosmological
bound on a constant neutrino mass. We discuss microscopic realizations of the
MaVaN acceleration scenario, which involve a sterile neutrino. We consider
naturalness constraints for mass varying particles, and find that both ev
cutoffs and ev mass particles are needed to avoid fine-tuning. These
considerations give a (current) mass of order an eV for the sterile neutrino in
microscopic realizations, which could be detectable at MiniBooNE. Because the
sterile neutrino was much heavier at earlier times, constraints from big bang
nucleosynthesis on additional states are not problematic. We consider regions
of high neutrino density and find that the most likely place today to find
neutrino masses which are significantly different from the neutrino masses in
our solar system is in a supernova. The possibility of different neutrino mass
in different regions of the galaxy and the local group could be significant for
Z-burst models of ultra-high energy cosmic rays. We also consider the cosmology
of and the constraints on the ``acceleron'', the scalar field which is
responsible for the varying neutrino mass, and briefly discuss neutrino density
dependent variations in other constants, such as the fine structure constant.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 19:40:39 GMT""},{""version"":""v2"",""created"":""Mon, 3 Nov 2003 20:25:51 GMT""}]","2009-11-10"
"astro-ph/0310019","Stefano Andreon","S. Andreon (INAF-Brera), C. Lobo (Porto Univ.), A. Iovino (INAF-Brera)","Extending the Butcher--Oemler effect up to z~0.7","MNRAS, accepted","Mon.Not.Roy.Astron.Soc.349:889,2004","10.1111/j.1365-2966.2004.07554.x",,"astro-ph",,"  We have observed three clusters at z~0.7, of richness comparable to the low
redshift sample of Butcher & Oemler (BO), and determined their fraction of blue
galaxies. When adopting the standard error definition, two clusters have a low
blue fraction for their redshifts, whereas the fraction of the third one is
compatible with the expected value. A detailed analysis of previous BO-like
studies that adopted different definitions of the blue fraction shows that the
modified definitions are affected by contaminating signals: colour segregation
in clusters affects blue fractions derived in fixed metric apertures,
differential evolution of early and late type spirals potentially affects blue
fractions derived with a non standard choice of the colour cut, the younger age
of the Universe at high redshift affects blue fractions computed with a colour
cut taken relatively to a fixed non evolving colour. Adopting these definitions
we find largely varying blue fractions. This thorough analysis of the drawbacks
of the different possible definitions of the blue fraction should allow future
studies to perform measures in the same scale. Finally, if one adopts a more
refined error analysis to deal with BO and our data, a constant blue fraction
with redshift cannot be excluded, showing that the BO effect is still far from
being detected beyond doubt.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 08:19:27 GMT""},{""version"":""v2"",""created"":""Fri, 12 Dec 2003 10:58:53 GMT""}]","2009-11-10"
"astro-ph/0310020","Masaru Shibata","Masaru Shibata","Collapse of Rotating Supramassive Neutron Stars to Black Holes: Fully
  General Relativistic Simulations","9 pages, ApJ 595, 929 (2003)","Astrophys.J.595:992,2003","10.1086/377435",,"astro-ph gr-qc",,"  We study the final state of the gravitational collapse of uniformly rotating
supramassive neutron stars by axisymmetric simulations in full general
relativity. The rotating stars provided as the initial condition are marginally
stable against quasiradial gravitational collapse and its equatorial radius
rotates with the Kepler velocity (i.e., the star is at the mass-shedding
limit). To model the neutron stars, we adopt the polytropic equations of state
for a wide range of the polytropic index as $n=2/3$, 4/5, 1, 3/2 and 2. We
follow the formation and evolution of the black holes, and show that
irrespective of the value of $n (2/3\leq n \leq 2)$, the final state is a Kerr
black hole and the disk mass is very small ($< 10^{-3}$ of the initial stellar
mass).
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 09:01:06 GMT""}]","2008-11-26"
"astro-ph/0310021","Christian Fendt","Christian Fendt (Potsdam University)","Magnetically driven outflows from Jovian circum-planetaryaccretion disks","13 pages, 2 figs, submitted to A&A, 2nd version","Astron.Astrophys.411:623-635,2003","10.1051/0004-6361:20034154",,"astro-ph",,"  We discuss the possibility to launch outflows from the close vicinity of a
protoplanetary core considering a scenario where the protoplanet surrounded by
a circum-planetary accretion disk is located in a circum-stellar disk. For the
circum-planetary disk accretion rate we assume 6x10^{-5} M_jup/yr, implying
peak disk temperatures of about 2000K. The estimated disk ionization degree and
Reynolds number allow for a sufficient coupling between the disk matter and the
magnetic field. We find that the surface magnetic field strength of the
protoplanet is probably not more than 10 G, indicating that the global
planetary magnetosphere is dominated by the circum-planetary disk magnetic
field below 50 G. The estimated field strength and mass flow rates allow for
asymptotic outflow velocities of 60 km/s. The overall outflow geometry will
resemble a hollow tube or cone perpendicular the disk. Outflows from
circum-planetary disks may be visible in shock excited emission lines along a
tube of diameter of the orbital radius and thickness of about 100
protoplanetary radii. Energetically, protoplanetary outflows cannot survive the
interaction with a protostellar outflow. Due to the efficient angular momentum
removal by the outflow, we expect the protoplanetary outflow to influence the
early planet angular momentum evolution.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 09:01:18 GMT""}]","2009-11-10"
"astro-ph/0310022","Ralf-Dieter Scholz","R.-D. Scholz (1), N. Lodieu (1), R. Ibata (2), O. Bienaym\'e (2), M.
  Irwin (3), M.J. McCaughrean (1), A. Schwope (1) ((1) Astrophysikalisches
  Institut Potsdam, (2) Observatoire de Strasbourg, (3) Institute of Astronomy,
  University of Cambridge)","An active M8.5 dwarf wide companion to the M4/DA binary LHS4039/LHS4040","6 pages, 3 figures, accepted for publication in MNRAS, Figures 1 and
  2 available as finding_chart.jpg and 2mass_k.jpg","Mon.Not.Roy.Astron.Soc.347:685,2004","10.1111/j.1365-2966.2004.07252.x",,"astro-ph",,"  Low-mass and brown dwarfs have recently been found as wide companions to many
nearby stars, formerly believed to be single. Wide binaries are usually found
as common proper motion pairs. Sometimes, more than two objects share the same
large proper motion, identifying them as nearby systems. We have found a third,
low-mass component to a known wide binary at a distance of about 21pc,
consisting of a red and a white dwarf (LHS4039 and LHS4040; about 150AU
separation). The new companion, APMPMJ2354-3316C separated by about 2200AU, was
classified as M8.5 dwarf. In recent spectroscopic observations it shows a very
strong $H_{\alpha}$ emission line and blue continuum. Comparing this event to
flares in late-type M dwarfs, we find some similarity with LHS2397a, a nearby
M8 dwarf which is so far the only known example of a low-mass star with a tight
brown dwarf companion (separation of less than 4AU). The level of the activity
as measured by $L_{H_{\alpha}}/L_{bol}$ is comparable to that of the M9.5 dwarf
2MASSWJ0149+29 both during the flare and in quiescence.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 10:07:05 GMT""}]","2016-08-16"
"astro-ph/0310023","Edward Szaraniec prof","Edward Szaraniec","Doppler-like effect and doubtful expansion of universe","9 pages",,,,"astro-ph",,"  The distance contraction, as observed in electrical soundings over
horizontally stratified earth (static system), is identified as a counterpart
of Doppler shift in dynamical systems. Identification of Doppler-like effect in
a stock-still systems makes it possible to give an al-ternative answer to the
question about an effective cause of the Doppler shift, which sounds: the
inhomogeneities. This answer opens different static as well as kinematic
possibilities, which challenge established theories of expanding universe and
energizing big bang.The energy propagating in stratified universe of layers
exhibits a shift which could be at-tributed not only to the expansion (Hubble's
theory) but alternatively to fluctuations in material properties
(inhomogeneities).
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 10:29:27 GMT""}]","2007-05-23"
"astro-ph/0310024","Luca Cortese","L.Cortese, G.Gavazzi, A.Boselli, J.Iglesias-Paramo, J. Donas, B.
  Milliard","The UV luminosity function of nearby clusters of galaxies","5 pages, 4 figures, 2 tables.Accepted for publication on A&A. Data
  avaliable at http://goldmine.mib.infn.it/papers/LF_UV.html","Astron.Astrophys.410:L25-L28,2003","10.1051/0004-6361:20031495",,"astro-ph",,"  We present the UV composite luminosity function for galaxies in the Virgo,
Coma and Abell 1367 clusters. The luminosity function (LF) is well fitted by a
Schechter function with M*(UV} - 5*log h(75) = -20.75 +/- 0.40 and alpha =
-1.50 +/- 0.10 and does not differ significantly from the local UV luminosity
function of the field. This result is in agreement with recent studies carried
out in the Halpha and B-bands which find no difference between the LFs of star
forming galaxies in clusters and in the field. This indicates that, whatever
mechanisms are responsible for quenching the star formation in clusters, they
influence similarly the giant and the dwarf populations, leaving the shape of
the LF unchanged and only modifying its normalization.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 11:37:24 GMT""}]","2009-11-10"
"astro-ph/0310025","Gavin Rowell","G.P. Rowell","A new template background estimate for source searching in TeV gamma-ray
  astronomy","Accepted version","Astron.Astrophys.410:389,2003","10.1051/0004-6361:20031194",,"astro-ph",,"  A new method is described that permits quickly and easily, a 2-dimensional
search for TeV gamma-ray sources over large fields of view ~6deg with
instruments utilising the imaging atmospheric Cerenkov technique. It employs as
a background estimate, events normally rejected according to a cosmic-ray
background rejection criterion based on image shape, but with reconstructed
directions overlapping the source of interest. This so-called template
background model is demonstrated using example data taken with the stereoscopic
HEGRA System of Cerenkov Telescopes. Discussion includes comparisons with a
conventional background estimate and limitations of the model. The template
model is well suited to the search for point-like, moderately extended sources
and combinations thereof, and compensates well for localised systematic changes
in cosmic-ray background response.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 13:00:20 GMT""}]","2009-11-10"
"astro-ph/0310026","Peggy Varniere","P. Varni\`ere, M. Muno, M. Tagger, A. Frank","Modulation of the X-ray Fluxes by the AEI","4 pages, 5 figures, SF2A-2003: Semaine de l'Astrophysique Francaise,
  meeting held in Bordeaux, France, June 16-20, 2003. Eds.: F. Combes, D.
  Barret and T. Contini. EdP-Sciences, Conference Series",,,,"astro-ph",,"  The Accretion-Ejection Instability (AEI) has been proposed to explain the low
frequency Quasi-Periodic Oscillation (QPO) observed in low-mass X-Ray Binaries.
Its frequency, typically a fraction of the Keplerian frequency at the disk
inner radius, is in the right range indicated by observations. With numerical
simulation we will show how this instability is able to produce a modulation of
the X-ray flux and what are the characteristic of this modulation. More
simulations are required, especially 3D MHD simulations. We will briefly
present a new code in development: AstroBear which will allow us to create
synthetic spectra.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 13:04:57 GMT""}]","2007-05-23"
"astro-ph/0310027","Dirk Grupe","D. Grupe, B.J. Wills, K.M. Leighly, and H. Meusinger","A Complete Sample of Soft X-ray Selected AGN: I. The Data","Accepted for publication in AJ (scheduled for January 2004), 21
  pages, 10 figures, The paper including the optical spectra and FeII
  subtracted spectra can be retrieved from
  http://www.astronomy.ohio-state.edu/~dgrupe/research/sample_paper1.html","Astron.J.127:156,2004","10.1086/380233",,"astro-ph",,"  We present the optical spectra and simple statistical analysis for a complete
sample of 110 soft X-ray selected AGN. About half of the sources are
Narrow-Line Seyfert 1 galaxies (NLS1s), which have the steepest X-ray spectra,
strongest FeII emission and slightly weaker [OIII]5007 emission than broad line
Seyfert 1s (BLS1s).
  Kolmogorov Smirnov tests show that NLS1s and BLS1s have clearly different
distributions of the X-ray spectral slope, X-ray short-term variability, and
FeII equivalent widths and luminosity and FeII/H-beta ratios. The differences
in the [OIII]/H-beta and [OIII] equivalent widths are only marginal. We found
no significant differences between NLS1s and BLS1s in their rest frame 0.2-2.0
X-ray luminosities, rest frame 5100A monochromatic luminosities, bolometric
luminosities, redshifts, and their H$\beta$ equivalent widths.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 14:10:11 GMT""}]","2016-08-30"
"astro-ph/0310028","Torsten En{\ss}lin A.","Torsten Ensslin, Corina Vogt, Christoph Pfrommer (MPA)","Magnetic fields and cosmic rays in cooling flows","Oral presentation for ``The Riddle of Cooling Flows in Galaxies and
  Clusters of Galaxies'' held at Charlottesville, VA USA May 31 - June 4 2003.
  Proceedings at http://www.astro.virginia.edu/coolflow/, eds T. H. Reiprich,
  J. C. Kempner and N. Soker. 7 pages, 11 figures",,,,"astro-ph",,"  Cooling flows are regions where the importance of non-thermal intra-cluster
medium components such as magnetic fields and cosmic rays may be strongest
within a galaxy cluster. They are also regions where such components are best
detectable due to the high gas density which influences Faraday rotation
measurements of magnetic fields and secondary particle production in hadronic
interactions of cosmic ray nuclei with the ambient thermal gas. New estimates
of magnetic fields in cooling flow and non-cooling flow clusters are presented,
which are based on a newly developed Fourier analysis of extended Faraday
rotation maps. We further present new constraints on the cluster cosmic ray
proton population using radio and gamma-ray observations measurements of
cluster cooling flows, which are especially suited for this purpose due to
their high gas and magnetic energy densities. We argue that radio synchrotron
emission of cosmic ray electrons generated hadronically by cosmic ray protons
is a very plausible explanation for the radio mini-halos observed in some
cooling flows.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 13:59:53 GMT""}]","2007-05-23"
"astro-ph/0310029","Roeland van der Marel","Joris Gerssen, Roeland P. van der Marel (STScI), David Axon (RIT), J.
  Christopher Mihos (CWRU), Lars Hernquist (CfA), Joshua E. Barnes (U Hawaii)","Hubble Space Telescope Observations of NGC 6240: a Case Study of an
  Ultra-Luminous Infrared Galaxy with Obscured Activity","LaTeX, 32 pages, 9 figures, 2 tables, accepted for publication in The
  Astronomical Journal (Jan 2004). Paper with high-resolution (non-compressed)
  color figures in gzipped postscript format available at
  http://www.stsci.edu/~marel/psgzdir/ngc6240v11.ps.gz",,"10.1086/380223",,"astro-ph",,"  We present results from an HST study of the morphology and kinematics of NGC
6240. This merging galaxy with a double nucleus is one of the nearest and
best-studied ultraluminous infrared galaxies. HST resolves both nuclei into
seperate components. The distance between the northern and southern
optical/near-infrared components is greater than that observed in radio and
X-ray studies, arguing that even in K-band we may not be seeing all the way
through the dust to the true nuclei. The ionized gas does not display rotation
around either of the nuclei, or equilibrium motion in general. There is a
strong velocity gradient between the nuclei, similar to what is seen in CO
data. There is no such gradient in our stellar kinematics. The velocity
dispersion of the gas is larger than expected for a cold disk. We also map and
model the emission-line velocity field at an off-nuclear position where a steep
velocity gradient was previously detected in ground-based data. Overall, the
data indicate that line-of-sight projection effects, dust absorption,
non-equilibrium merger dynamics, and the possible influence of a wind may be
playing an important role in the observed kinematics. Chandra observations of
hard X-rays have shown that both of the nuclei contain an Active Galactic
Nucleus (AGN). The HST data show no clear sign of the two AGNs: neither
continuum nor narrow-band imaging shows evidence for unresolved components in
the nuclei, and there are no increased emission line widths or rapid rotation
near the nuclei. This underscores the importance of X-ray data for identifying
AGNs in highly dust-enshrouded environments.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 14:50:23 GMT""}]","2009-11-10"
"astro-ph/0310030","John Bahcall","John N. Bahcall","Solar Models and Solar Neutrinos","Invited talk at the XXIII Physics in Collisions Conference (PIC03),
  Zeuthen, Germany, June 2003, 18 pages, LaTeX, 6 eps and ps figures. PSN
  THAT05",,,,"astro-ph",,"  I summarize 40 years of development of the standard solar model that is used
to predict solar neutrino fluxes and then describe the current uncertainties in
the predictions. I will also attempt to explain why it took so long, about
three and a half decades, to reach a consensus view that new physics is being
learned from solar neutrino experiments.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 15:14:23 GMT""}]","2007-05-23"
"astro-ph/0310031","Daniel da Rocha","Daniel da Rocha, Laurent Nottale","On the morphogenesis of stellar flows - Application to planetary nebulae","12 pages, 78 small figures. Misprint corrected",,,,"astro-ph",,"  A large class of stellar systems (e.g., planetary nebulae (PNe), supernova
envelopes, LBV stars, young stars in formation) shows structures in their
accretion/ejection phase that have similar characteristics. In particular, one
currently observes for these objects equatorial discs, axial ejections and
stable bipolar shells. However these simple shapes, which are expected to be
solutions of standard hydrodynamical equations, are not yet fully understood.
In this paper, we suggest a new form of these equations that takes into account
the fractality and the irreversibility of particle motion in such processes.
Then we study in this framework a general infall or ejection motion in a
central spherical potential. From the stationary solutions allowed by this new
hydrodynamical system, we deduce a specific distribution of matter density,
described in terms of probability density for ejection angles. A global
classification of predicted shapes, depending on the values of conservative
quantities such as (E^2,L^2,L_z), is given. These results are compared with the
available observational data, and allows us to theoretically predict the
possible existence of more complicated structures and of correlations between
observable variables, which could be checked by future observations.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 15:18:55 GMT""},{""version"":""v2"",""created"":""Mon, 3 Nov 2003 15:53:18 GMT""}]","2007-05-23"
"astro-ph/0310032","Marc Audard","M. Audard (1), S. A. Drake (2,3), M. G\""udel (4), R. Mewe (5), R.
  Pallavicini (6), T. Simon (7), K. P. Singh (8), S. L. Skinner (9), N. E.
  White (3) ((1) Columbia University, (2) USRA, (3) NASA/GSFC, (4) Paul
  Scherrer Institut, (5) SRON-Utrecht, (6) Palermo Observatory, (7) University
  of Hawaii, (8) Tata Institute of Fundamental Research, (9) CASA/Univ. of
  Colorado)","Coronae of Cool Stars","To appear in IAU Symp. 219, ``Stars as Suns: Activity, Evolution,
  Planets'', ed. A. K. Dupree & A. O. Benz (San Francisco: ASP)",,,,"astro-ph",,"  We present preliminary results of grating observations of YY Mensae and V824
Arae by Chandra and XMM-Newton. Spectral features are presented in the context
of the emission measure distributions, the coronal abundances, and plasma
electron densities. In particular, we observe a coronal N/C enhancement in YY
Men believed to reflect the photospheric composition (CN cycle). Finally, we
interpret line broadening in YY Men as Doppler thermal broadening in its very
hot corona.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 15:37:46 GMT""}]","2007-05-23"
"cond-mat/0309690","Brett D. Altschul","B. Altschul","Exact Normal Modes for a System with Three Luttinger Liquids Interacting
  in an Elongated Trap","9 pages",,,,"cond-mat.mes-hall cond-mat.soft",,"  We consider a system of spinless fermions in a nearly one-dimensional
cylindrical trap, with the Fermi level such that only the lowest-lying states
with angular momenta l = +hbar, 0, or -hbar about the axis of the trap are
occupied. We treat the particles in these states as comprising three separate
Luttinger liquids, with the possibility for forward and backward scattering
between them. We determine the normal modes in the system in the presence of
this scattering, finding two sets of linear harmonic fluid modes and one set of
modes that are self-coupled through a sine-Gordon interaction.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 17:48:58 GMT""}]","2007-05-23"
"cond-mat/0309712","Marc Achermann","M. Achermann, J. A. Hollingsworth, and V. I. Klimov","Multiexcitons confined within a sub-excitonic volume: Spectroscopic and
  dynamical signatures of neutral and charged biexcitons in ultrasmall
  semiconductor nanocrystals","5 pages, 4 figures, to be published in Phys. Rev. B",,"10.1103/PhysRevB.68.245302",,"cond-mat.mes-hall",,"  The use of ultrafast gating techniques allows us to resolve both spectrally
and temporally the emission from short-lived neutral and negatively charged
biexcitons in ultrasmall (sub-10 nm) CdSe nanocrystals (nanocrystal quantum
dots). Because of forced overlap of electronic wave functions and reduced
dielectric screening, these states are characterized by giant interaction
energies of tens (neutral biexcitons) to hundreds (charged biexcitons) of meV.
Both types of biexcitons show extremely short lifetimes (from sub-100
picoseconds to sub-picosecond time scales) that rapidly shorten with decreasing
nanocrystal size. These ultrafast relaxation dynamics are explained in terms of
highly efficient nonradiative Auger recombination.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 17:36:54 GMT""}]","2009-11-10"
"cond-mat/0309715","Christof Wetterich","T.Baier, E.Bick, C.Wetterich","Temperature dependence of antiferromagnetic order in the Hubbard model","New section on critical behavior 31 pages,17 figures",,"10.1103/PhysRevB.70.125111","HD-THEP-03-35","cond-mat.str-el cond-mat.supr-con hep-th",,"  We suggest a method for an approximative solution of the two dimensional
Hubbard model close to half filling. It is based on partial bosonisation,
supplemented by an investigation of the functional renormalisation group flow.
The inclusion of both the fermionic and bosonic fluctuations leads in lowest
order to agreement with the Hartree-Fock result or Schwinger-Dyson equation and
cures the ambiguity of mean field theory . We compute the temperature
dependence of the antiferromagnetic order parameter and the gap below the
critical temperature. We argue that the Mermin-Wagner theorem is not
practically applicable for the spontaneous breaking of the continuous spin
symmetry in the antiferromagnetic state of the Hubbard model. The long distance
behavior close to and below the critical temperature is governed by the
renormalisation flow for the effective interactions of composite Goldstone
bosons and deviates strongly from the Hartree-Fock result.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 16:11:04 GMT""},{""version"":""v2"",""created"":""Wed, 21 Jan 2004 11:32:23 GMT""}]","2009-11-10"
"cond-mat/0309716","Yakov Kopelevich","J. H. S. Torres, R. Ricardo da Silva, S. Moehlecke, and Y. Kopelevich","Vortex Lattice in Bi_{2}Sr_{2}CaCu_{2}O_{8+\delta} Well Above the
  First-Order Phase-Transition Boundary","14 pages, 10 figures","Solid State Communitations 125, pp. 11-16 (2003)","10.1016/j.physc.2004.03.204",,"cond-mat.supr-con",,"  Measurements of non-local in-plane resistance originating from transverse
vortex-vortex correlations have been performed on a
Bi_{2}Sr_{2}CaCu_{2}O_{8+\delta} high-T_c superconductor in a magnetic field up
to 9 T applied along the crystal c-axis. Our results demonstrate that a rigid
vortex lattice does exist over a broad portion of the magnetic field --
temperature (H-T) phase diagram, well above the first-order transition boundary
H_{FOT}(T). The results also provide evidence for the vortex lattice melting
and vortex liquid decoupling phase transitions, occurring above the H_{FOT}(T).
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 19:05:26 GMT""}]","2009-11-10"
"cond-mat/0309717","Joel E. Moore","Joel E. Moore, Dung-Hai Lee","Geometric effects on T-breaking in p+ip and d+id superconductors","8 pages","Phys.Rev. B69 (2004) 104511","10.1103/PhysRevB.69.104511",,"cond-mat hep-th",,"  Superconducting order parameters that change phase around the Fermi surface
modify Josephson tunneling behavior, as in the phase-sensitive measurements
that confirmed $d$ order in the cuprates. This paper studies Josephson coupling
when the individual grains break time-reversal symmetry; the specific cases
considered are $p \pm ip$ and $d \pm id$, which may appear in Sr$_2$RuO$_4$ and
Na$_x$CoO$_2 \cdot $(H$_2$O)$_y$ respectively. $T$-breaking order parameters
lead to frustrating phases when not all grains have the same sign of
time-reversal symmetry breaking, and the effects of these frustrating phases
depend sensitively on geometry for 2D arrays of coupled grains. These systems
can show perfect superconducting order with or without macroscopic
$T$-breaking. The honeycomb lattice of superconducting grains has a
superconducting phase with no spontaneous breaking of $T$ but instead power-law
correlations. The superconducting transition in this case is driven by binding
of fractional vortices, and the zero-temperature criticality realizes a
generalization of Baxter's three-color model.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 19:22:07 GMT""},{""version"":""v2"",""created"":""Fri, 3 Oct 2003 18:29:50 GMT""}]","2009-11-10"
"cond-mat/0309718","Zu-Jian Ying","Zu-Jian Ying, Xi-Wen Guan, Angela Foerster, Itzhak Roditi, Bin Chen","Effect of one-ion L-S coupling on magnetic properties of a correlated
  spin-orbit system","5 pages, 2 figures",,,,"cond-mat.str-el",,"  By introducing a basis for a novel realization of the SU(4) Lie algebra, we
exactly solve a spin-orbital chain with one-ion $L$-$S$ coupling (OILSC) via
the Bethe ansatz (BA) approach. In the context of different Land\'e $g$ factors
of the spin and orbital sectors, the OILSC results in rich and novel quantum
phase transitions. Some accurate analytical expressions for the critical fields
are obtained. Both spin ordering and orbital ordering are found in a gapped
singlet phase. The system exhibits many interesting phenomena such as
nonvanishing magnetization of the singlet phase, multi-entrance of the singlet
in the ground state when the field varies, unsymmetric magnetization in
two-component phase and magnetization crossover for different OILSC.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 19:17:40 GMT""}]","2007-05-23"
"cond-mat/0310001","Stuart Tessmer","S. Urazhdin, W. K. Neils, S. H. Tessmer, Norman O. Birge and D. J. Van
  Harlingen","Modifying the surface electronic properties of YBa2Cu3O7-delta with
  cryogenic scanning probe microscopy","6 pages, 4 figures. To appear in Superconductor Science and
  Technology","Superconductor Science and Technology, volume 17, issue 1, pages
  88 - 92, 2003","10.1088/0953-2048/17/1/015",,"cond-mat.supr-con",,"  We report the results of a cryogenic study of the modification of
YBa2Cu3O7-delta surface electronic properties with the probe of a scanning
tunneling microscope (STM). A negative voltage applied to the sample during STM
tunneling is found to modify locally the conductance of the native degraded
surface layer. When the degraded layer is removed by etching, the effect
disappears. An additional surface effect is identified using Scanning Kelvin
Probe Microscopy in combination with STM. We observe reversible surface
charging for both etched and unetched samples, indicating the presence of a
defect layer even on a surface never exposed to air.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 20:35:03 GMT""}]","2009-11-10"
"cond-mat/0310002","Tomasz Durakiewicz","E. Guziewicz, T. Durakiewicz, M. T. Butterfield, C. G. Olson, J. J.
  Joyce, A. J. Arko, J. L. Sarrao, D. P. Moore, L. Morales","Angle-resolved photoemission study of USb2: the 5f band structure","22 pages including figures",,"10.1103/PhysRevB.69.045102",,"cond-mat",,"  Single crystal antiferromagnetic USb2 was studied at 15K by angle-resolved
photoemission with an overall energy resolution of 24 meV. The measurements
unambiguously show the dispersion of extremely narrow bands situated near the
Fermi level. The peak at the Fermi level represents the narrowest feature
observed in 5f-electron photoemission to date. The natural linewidth of the
feature just below the Fermi level is not greater than 10 meV. Normal emission
data indicate a three dimensional aspect to the electronic structure of this
layered material.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 21:56:15 GMT""}]","2009-11-10"
"cond-mat/0310003","Edouard Boulat","Hyun C. Lee, Patrick Azaria and Edouard Boulat","Effect of Hund coupling in the one-dimensional SU(4) Hubbard model","10 pages, 1 figure","Phys. Rev. B69, 155109 (2004)","10.1103/PhysRevB.69.155109",,"cond-mat.str-el",,"  The one-dimensional SU(4) Hubbard model perturbed by Hund coupling is
studied, away from half-filling, by means of renormalization group and
bosonization methods. A spectral gap is always present in the spin-orbital
sector irrespective of the magnitude of the Coulomb repulsion. We further
distinguish between two qualitatively different regimes. At small Hund
coupling, we find that the symmetry of the system is dynamically enlarged to
SU(4) at low energy with the result of {\it coherent} spin-orbital excitations.
When the charge sector is not gapped, a superconducting instability is shown to
exist. At large Hund coupling, the symmetry is no longer enlarged to SU(4) and
the excitations in the spin sector become {\it incoherent}. Furthermore, the
superconductivity can be suppressed in favor of the conventional charge density
wave state.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 22:36:58 GMT""}]","2009-11-10"
"cond-mat/0310004","Shoji Yamamoto","Shoji Yamamoto","Recent Progress of the Low-Dimensional Spin-Wave Theory","to be published in ""Recent Research Developments in Physics Vol.4""
  (Transworld Research Network, Kerala, 2003)",,,,"cond-mat.stat-mech cond-mat.str-el",,"  A modified spin-wave theory is developed and applied to low-dimensional
quantum magnets. Double-peaked specific heat for one-dimensional ferrimagnets,
nuclear spin-lattice relaxation in ferrimagnetic chains and clusters, and
thermal behavior of Haldane-gap antiferromagnets are described within the
scheme. Mentioning other bosonic and fermionic representations as well, we
demonstrate that spin waves are still effective in low dimensions.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 23:26:03 GMT""}]","2007-05-23"
