"astro-ph/0306364","Robert J. Scherrer","Casey R. Watson and Robert J. Scherrer","The Evolution of Inverse Power Law Quintessence at Low Redshift","6 pages, 6 figures, new figure added, numerous clarifications","Phys.Rev.D68:123524,2003","10.1103/PhysRevD.68.123524",,"astro-ph gr-qc hep-ph",,"  Quintessence models based on a scalar field, phi, with an inverse power law
potential display simple tracking behavior at early times, when the
quintessence energy density, rho_phi, is sub-dominant. At late times, when
rho_phi becomes comparable to the matter density, the evolution of phi diverges
from its scaling behavior. We calculate the first order departure of phi from
its tracker solution at low redshift. Our results for the evolution of phi,
rho_phi, Omega_phi, and w are suprisingly accurate even down to z=0. We find
that w and Omega_phi are related linearly to first order. We also derive a
semi-analytic expression for w(z) which is accurate to within a few percent.
Our analytic techniques are potentially applicable to any quintessence model in
which the quintessence component comes to dominate at late times.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 16:12:18 GMT""},{""version"":""v2"",""created"":""Mon, 23 Jun 2003 15:45:22 GMT""},{""version"":""v3"",""created"":""Fri, 19 Sep 2003 20:25:40 GMT""}]","2009-11-10"
"astro-ph/0306389","Kollatschny","W. Kollatschny","Accretion disk wind in the AGN broad-line region: Spectroscopically
  resolved line profile variations in Mrk110","12 pages, 11 figures, Astron & Astrophys, in press","Astron.Astrophys.407:461-472,2003","10.1051/0004-6361:20030928",,"astro-ph",,"  Detailed line profile variability studies of the narrow line Seyfert 1 galaxy
Mrk110 are presented. We obtained the spectra in a variability campaign carried
out with the 9.2m Hobby-Eberly Telescope at McDonald Observatory. The
integrated Balmer and Helium (HeI,II) emission lines are delayed by 3 to 33
light days to the optical continuum variations respectively. The outer wings of
the line profiles respond much faster to continuum variations than the central
regions. The comparison of the observed profile variations with model
calculations of different velocity fields indicates an accretion disk structure
of the broad line emitting region in Mrk110. Comparing the velocity-delay maps
of the different emission lines among each other a clear radial stratification
in the BLR can be recognized. Furthermore, delays of the red line wings are
slightly shorter than those of the blue wings. This indicates an accretion disk
wind in the BLR of Mrk110. We determine a central black hole mass of M =
$1.8\cdot10^{7} M_{\odot}$. Because of the poorly known inclination angle of
the accretion disk this is a lower limit only.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 09:00:34 GMT""}]","2009-11-10"
"astro-ph/0306390","Nicholas M. Ball","Nicholas M Ball, Jon Loveday, Masataka Fukugita, Osamu Nakamura,
  Sadanori Okamura, Jon Brinkmann, Robert J Brunner","Galaxy Types in the Sloan Digital Sky Survey Using Supervised Artificial
  Neural Networks","Submitted to MNRAS; 9 pages; University of Sussex, UK. Postscript
  containing higher resolution versions of figures 2 and 3 is available at
  http://www.astronomy.sussex.ac.uk/~kape7/ball_030618_mnras.ps.gz . The
  figures are also available separately at
  http://www.astronomy.sussex.ac.uk/~kape7/ball_030618_figure2_mnras.eps.gz and
  http://www.astronomy.sussex.ac.uk/~kape7/ball_030618_figure3_mnras.eps.gz","Mon.Not.Roy.Astron.Soc.348:1038,2004","10.1111/j.1365-2966.2004.07429.x",,"astro-ph",,"  Supervised artificial neural networks are used to predict useful properties
of galaxies in the Sloan Digital Sky Survey, in this instance morphological
classifications, spectral types and redshifts. By giving the trained networks
unseen data, it is found that correlations between predicted and actual
properties are around 0.9 with rms errors of order ten per cent. Thus, given a
representative training set, these properties may be reliably estimated for
galaxies in the survey for which there are no spectra and without human
intervention.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 14:17:58 GMT""}]","2009-11-10"
"astro-ph/0306391","Elisa Di Carlo","G. Valentini (1), E. Di Carlo (1), F. Massi (2), M. Dolci (1), A. A.
  Arkharov (4), V. M. Larionov (4), A. Pastorello (5), A. Di Paola (3), S.
  Benetti (5), E. Cappellaro (6), M. Turatto (5), F. Pedichini (3), F.
  D'Alessio (3), A. Caratti (3), G. Li Causi (3), R. Speziali (3), I. J.
  Danziger (7), A. Tornamb\'e (1) ((1) Oss. Astr. di Collurania, Teramo, Italy,
  (2) Oss. Astrof. di Arcetri, Firenze, Italy, (3) Oss. Astr. di Roma, Italy,
  (4) Central Astr. Obs. at Pulkovo, Saint-Petersburg, Russia, (5) Oss. Astr.
  di Padova, Italy, (6) Oss. Astr. di Capodimonte, Napoli, Italy, (7) Oss.
  Astr. di Trieste, Italy)","Optical and near-infrared photometry of the Type Ia Supernova 2000E in
  NGC 6951","40 pages, 12 figures","Astrophys.J.595:779-793,2003","10.1086/377448",,"astro-ph",,"  We present optical and near-infrared photometry, along with optical spectra,
of the Type Ia supernova SN 2000E in the spiral galaxy NGC 6951. It was
discovered by the staff of the Teramo Observatory during the monitoring of the
SN 1999el. The observations span a time interval of 234 days in the optical and
134 days in the near-infrared (starting 16 days and 7 days before maximum B
light, respectively). Optical spectra are available from 6 days before maximum
B light to 122 days after it. SN 2000E exhibits a Dm15(B) = 0.94, thus being
classifiable as a slow-declining Type Ia SN and showing the distinctive
features of such a class of objects. Spectroscopically, SN 2000E appears as a
normal Type Ia SN, like SN 1990N. We could constrain reddening [E(B-V) ~0.5
mag] and distance (mu0 ~32.14 mag) using a number of different methods. The
bolometric luminosity curve of SN 2000E, allows a determination of the Ni56
mass amounting to 0.9Msun.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 11:03:06 GMT""}]","2016-08-16"
"astro-ph/0306392","Jeewan C. Pandey","Ram Sagar, C. S. Stalin, Gopal-Krishna and Paul J. Wiita","Intranight optical variability of Blazars","12 pages, 6 figures, In press MNRAS","Mon.Not.Roy.Astron.Soc.348:176,2004","10.1111/j.1365-2966.2004.07339.x",,"astro-ph",,"  We present results of a multi-epoch intra-night optical monitoring of eleven
blazars consisting of six BL Lac objects and five radio core-dominated quasars
(CDQs). These densely sampled and sensitive R-band CCD observations, carried
out from November 1998 through May 2002 during a total of 47 nights with an
average of 6.5 hours/night, have enabled us to detect variability amplitudes as
low as $\sim 1%$ on intra-night time scales. A distinction is found for the
first time between the intra-night optical variability (INOV) properties of the
these two classes of relativistically beamed radio-loud AGNs. BL Lacs are found
to show a duty cycle (DC) of INOV of $\sim$60%, in contrast to CDQs, which show
a much smaller INOV DC of $\sim$20%, the difference being attributable mainly
to the weakly polarized CDQs. On longer time scales (i.e., between a week to a
few years) variability is seen from all the CDQs and BL Lacs in our sample. The
results reported here form part of our long-term programme to understand the
intra-night optical variability characteristics of the four main classes of
luminous AGNs, i.e., radio-quiet quasars (RQQs) and radio lobe-dominated
quasars (LDQs), as well as CDQs and BL Lac objects.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 11:18:22 GMT""},{""version"":""v2"",""created"":""Wed, 3 Dec 2003 06:50:57 GMT""}]","2009-11-10"
"astro-ph/0306393","Frank Stefani","Mingtian Xu, Frank Stefani, Gunter Gerbeth","An integral equation approach to time-dependent kinematic dynamos in
  finite domains","23 pages, 6 figures","Phys.Rev.E70:056305,2004","10.1103/PhysRevE.70.056305",,"astro-ph",,"  The homogeneous dynamo effect is at the root of cosmic magnetic field
generation. With only a very few exceptions, the numerical treatment of
homogeneous dynamos is carried out in the framework of the differential
equation approach. The present paper tries to facilitate the use of integral
equations in dynamo research. Apart from the pedagogical value to illustrate
dynamo action within the well-known picture of Biot-Savart's law, the integral
equation approach has a number of practical advantages. The first advantage is
its proven numerical robustness and stability. The second and perhaps most
important advantage is its applicability to dynamos in arbitrary geometries.
The third advantage is its intimate connection to inverse problems relevant not
only for dynamos but also for technical applications of magnetohydrodynamics.
The paper provides the first general formulation and application of the
integral equation approach to time-dependent kinematic dynamos in finite
domains. For the spherically symmetric alpha^2 dynamo model it is shown how the
general formulation is reduced to a coupled system of two radial integral
equations for the defining scalars of the poloidal and the toroidal field
components. The integral equation formulation for spherical dynamos with
general velocity fields is also derived. Two numerical examples, the alpha^2
dynamo model with radially varying alpha, and the Bullard-Gellman model
illustrate the equivalence of the approach with the usual differential equation
method.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 11:25:15 GMT""}]","2009-11-10"
"astro-ph/0306394","Jeewan C. Pandey","C. S. Stalin, Gopal-Krishna, Ram Sagar and Paul J. Wiita","Intranight optical variability of radio-quiet and radio lobe dominated
  quasars","14 pages, 8 Figures. Submitted to MNRAS","Mon.Not.Roy.Astron.Soc.350:175,2004","10.1111/j.1365-2966.2004.07631.x",,"astro-ph",,"  We present results of a programme of multi-epoch, intra-night optical
monitoring of a sample of non-blazar type AGN, which includes seven radio-quiet
QSOs (RQQs) and an equal number of radio-loud, lobe-dominated quasars (LDQs),
covering a redshift range from about 0.2 to 2.0. These two sets of optically
bright and intrinsically luminous QSOs are well matched in the redshift-optical
luminosity ($z - M_B$) plane. Our CCD monitoring covered a total of 61 nights
with an average of 6.1 hours of densely sampled monitoring of just a single QSO
per night, thereby achieving a typical detection threshold of $\sim 1$%
variation over the night. Unambiguous detection of intra-night
variability(INOV) amplitudes in the range 1$-$3% on day-like or shorter time
scales were thus made for both RQQs and LDQs. Based on these clear detections
of INOV, we estimate duty cycles of 17% and 9% for RQQs and LDQs, respectively;
inclusion of the two cases of probable variations of LDQs would raise the duty
cycle to 15% for LDQs. The similarity in the duty cycle and amplitude of INOV
for the RQQs and LDQs suggests, firstly, that the radio loudness alone does not
guarantee an enhanced INOV in QSOs and,secondly, that as in LDQs, relativistic
jets may also be present in RQQs. We argue that, as compared to BL Lacs, the
conspicuously milder, rarer and possibly slower INOV of RQQs and LDQs, can in
fact be readily understood in terms of their having optical synchrotron jets
which are modestly misaligned from us,but are otherwise intrinsically as
relativistic and active as the jets in BL Lacs.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 12:13:46 GMT""}]","2009-11-10"
"astro-ph/0306395","Jeewan C. Pandey","C. S. Stalin, Gopal-Krishna, Ram Sagar, and Paul J. Wiita","Optical variability properties of high luminosity AGN classes","36 pages, 14 Figures, due to large size Fig. 5,6,11 and 12 are not
  included. Intersted people contact to sagar@upso.ernet.in. Submitted to
  Journal of Astrophysics and Astronomy",,"10.1007/BF02702287",,"astro-ph",,"  We present the results of a comparative study of the intra-night optical
variability (INOV) characteristics of radio-loud and radio-quiet quasars, which
involves a systematic intra-night optical monitoring of seven sets of high
luminosity AGNs covering the redshift range {\it z} $\simeq 0.2$ to {\it z}
$\simeq 2.2$. The sample, matched in the optical luminosity -- redshift (M$_B$
-- z) plane, consists of seven radio-quiet quasars (RQQs), eight radio
lobe-dominated quasars (LDQs), six radio core-dominated quasars (CDQs) and five
BL Lac objects (BLs). Systematic CCD observations, aided by a careful data
analysis procedure, have allowed us to detect INOV with amplitudes as low as
1%. Present observations cover a total of 113 nights (720 hours) with only a
single quasar monitored as continuously as possible on a night. Considering
cases of only unambiguous detections of INOV we have estimated duty cycles
(DCs) of 17%, 12%, 20% and 72% respectively for RQQs, LDQs, CDQs, and BLs. The
low amplitude and low DC of INOV shown by RQQs compared to BLs can be
understood in terms of their having optical synchrotron jets which are modestly
misdirected from us. From our fairly extensive dataset, no unambiguous general
trend of a correlation between the INOV amplitude and the apparent optical
brightness of the quasar is noticed.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 12:30:20 GMT""}]","2009-11-10"
"astro-ph/0306396","Makoto Uemura","Makoto Uemura, Taichi Kato, Ryoko Ishioka, Hitoshi Yamaoka, Berto
  Monard, Daisaku Nogami, Hiroyuki Maehara, Atsushi Sugie, and Susumu Takahashi","Structure in the early afterglow lightcurve of the gamma-ray burst of 29
  March 2003","8 pages, 1 figure, To appear in Nature June 19 issue. For the access
  to the data in the paper, see
  http://vsnet.kusastro.kyoto-u.ac.jp/vsnet/GRB/grb030329/GRB030329_information
  .html",,"10.1038/nature01735",,"astro-ph",,"  Gamma-ray bursts (GRBs) are energetic explosions that for 0.01--100 s are the
brightest gamma-ray sources in the sky. Observations of the early evolution of
afterglows we expected to provide clues about the nature of the bursts, but
their rapid fading has hampered such studies; some recent rapid localizations
of bursts have improved the situation. Here we report on an early detection of
the very bright afterglow of the burst of 29 March 2003 (GRB030329). Our data
show that, even early in the aferglow phase, the light curve shows unexpectedly
complicated structures superimposed on the fading background.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 12:57:11 GMT""}]","2015-06-24"
"astro-ph/0306397","Selcuk Bilir","S. Karaali, Y. Karatas, S. Bilir, S. Ak, and E. Hamzaoglu","A New Procedure for the Photometric Parallax Estimation","26 pages, including 12 tables and 6 figures, accepted for publication
  in PASA",,"10.1071/AS03022",,"astro-ph",,"  We present a new procedure for photometric parallax estimation. The data for
1236 stars provide calibrations between the absolute magnitude offset from the
Hyades main-sequence and the UV-excess for different (B-V)o colour-index
intervals, i.e.: (0.3 0.4), (0.4 0.5), (0.5 0.6), (0.6 0.7), (0.7 0.8), (0.8
0.9), (0.9 1.0), and (1.0 1.1). The mean difference between the original and
estimated absolute magnitudes and the corresponding standard deviation are
rather small, +0.0002 and +/-0.0613 mag. The procedure has been adapted to the
Sloan photometry by means of colour equations and applied to a set of
artificial stars with different metallicity. The comparison of the absolute
magnitudes estimated by the new procedure and the canonical one indicates that
a single colour-magnitude diagram does not supply reliable absolute magnitudes
for stars with large range of metallicity.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 14:10:20 GMT""}]","2009-11-10"
"astro-ph/0306398","Maria Rosa Zapatero Osorio","M. R. Zapatero Osorio (LAEFF-Inta), J. A. Caballero (IAC), V. J. S.
  Bejar (IAC), R. Rebolo (IAC)","Photometric variability of a young, low-mass brown dwarf","A&A, accepted for publication","Astron.Astrophys.408:663-674,2003","10.1051/0004-6361:20030987",,"astro-ph",,"  We report differential I-band and J-band photometry of S Ori 45, a cool
(M8.5), young (1-8 Myr) brown dwarf of the sigma Orionis cluster with a likely
mass estimated at around 20 times the mass of Jupiter. We detect variability
(amplitudes ranging from 34 to 81 mmag) and observe a modulation at a period of
2.5-3.6 h in both optical and near-infrared light curves. The most recent
optical data set, however, presents a modulation at the very short period of
46.4+/-1.5 min, which remains a mystery. The origin of the 2.5-3.6 h modulation
is analized in terms of various scenarios: inhomogeneous features (dust clouds
or magnetically induced dark spots) co-rotating with the object's surface, and
presence of an unseen very low-mass companion that is steadily transferring
mass to the primary. Because of the very young age of the object and its
persistent strong Halpha emission, the possible presence of an accreting disk
is also discussed. If the period of a few hours is related to rotation, our
results suggest that sigma Orionis low-mass brown dwarfs are rotating faster
than more massive cluster brown dwarfs at a rate consistent with their
theoretically inferred masses and radii, implying that all of these objects
have undergone similar angular momentum evolution.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 14:43:15 GMT""}]","2009-11-10"
"astro-ph/0306399","David J. Wilner","D.J. Wilner (1), T.L. Bourke (1), C.M. Wright (2), J. K. Jorgensen
  (3), E.F. van Dishoeck (3), T. Wong (4) ((1)Harvard-Smithsonian CfA, (2)ADFA,
  (3)Leiden Observatory, (4)CSIRO ATNF)","Disks around the Young Stars TW Hya and HD 100546 Imaged at 3.4
  Millimeters with the Australia Telescope Compact Array","19 pages including 6 figures; accepted for publication in ApJ","Astrophys.J.596:597-602,2003","10.1086/377627",,"astro-ph",,"  We present observations of the young stars TW Hya and HD 100546 made with the
Australia Telescope Compact Array at 89 GHz with $\sim2''$ resolution and
$\sim3$ mJy continuum sensitivity. Compact thermal dust continuum emission is
detected from disks surrounding both stars. HD 100546 also shows hints of
extended emission, presumably a residual protostellar envelope, which is also
visible in scattered light at optical wavelengths. For TW Hya, HCO$^+$ J=1--0
line emission from the circumstellar disk is detected and spatially resolved.
The observed size and intensity are in good agreement with model calculations
based on an irradiated disk with substantial depletions derived previously from
single dish observations of higher-J HCO$^+$ transitions.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 15:08:03 GMT""}]","2009-11-10"
"cond-mat/0306453","Alexey Bezryadin","Andrey Rogachev and Alexey Bezryadin","Superconducting properties of polycrystalline Nb nanowires templated by
  carbon nanotubes","11 pages, 4 figures. Accepted for publication in Appl. Phys. Lett",,"10.1063/1.1592313",,"cond-mat.supr-con",,"  Continuous Nb wires, 7-15 nm in diameter, have been fabricated by
sputter-coating single fluorinated carbon nanotubes. Transmission electron
microscopy revealed that the wires are polycrystalline, having grain sizes of
about 5 nm. The critical current of wires thicker than ~12 nm is very high
(10^7 A/cm^2) and comparable to the expected depairing current. The resistance
versus temperature curves measured down to 0.3 K are well described by the
Langer-Ambegaokar-McCumber-Halperin (LAMH) theory of thermally activated phase
slips. Quantum phase slips are suppressed.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 16:07:19 GMT""}]","2009-11-10"
"cond-mat/0306476","Mazza","Christian Mazza (University of Lyon)","Strand separation in negatively supercoiled dna","20 pages",,,,"cond-mat.stat-mech cond-mat.dis-nn physics.bio-ph q-bio",,"  We consider a model for strand separation in negatively supercoiled dna, and
study the effect of supercoiling on the localization of denaturation, using
notions from statistical mechanics. The model is based on on mean field Ising
system, coupled with a random field one dimensional ISing model. The effect of
the word in AT and Gc associated with the DNA on localization of denaturation
is studied under the hypothesis of small perimeter.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 19:50:13 GMT""}]","2007-05-23"
"cond-mat/0306478","Peter Lunkenheimer","P. Lunkenheimer and A. Loidl","The response of disordered matter to electromagnetic fields","4 pages, 4 figures","Phys. Rev. Lett. 91, 207601 (2003)","10.1103/PhysRevLett.91.207601",,"cond-mat",,"  We have studied a variety of different disordered materials, including
molecular and ionic liquids, supercooled liquids and glasses, ionic conductors,
and doped semiconductors, in ac electromagnetic fields over an exceptional
broad dynamic range including the rarely investigated GHz to THz region. We
show that all classes of disordered matter exhibit an astonishingly similar
response: In addition to Jonscher's time-honored ""Universal Dielectric
Response"", a superlinear power-law increase of the frequency-dependent
conductivity shows up bridging the gap between the classical dielectric and the
infrared region. We demonstrate that the universal dielectric behavior of
disordered matter extends up to much higher frequencies than thought until now
and covers the range from ultra-low (mHz) to phonon (THz) frequencies.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 16:16:25 GMT""}]","2009-11-10"
"cond-mat/0306479","Tomasz Dietl","Tomasz Dietl","III-V and II-VI Mn-based Ferromagnetic Semiconductors","8 pages, 9 figures, Spring Meeting of the German Physical Society,
  March 2003, Advances in Solid State Physics","Advances in Solid State Physics, ed. B. Kramer (Springer, Berlin,
  2003) p. 413-426.","10.1007/978-3-540-44838-9_29",,"cond-mat.mtrl-sci cond-mat.str-el",,"  A review is given of advances in the field of carrier-controlled
ferromagnetism in Mn-based diluted magnetic semiconductors and their
nanostructures. Experimental results for III-V materials, where the Mn atoms
introduce both spins and holes, are compared to the case of II-VI compounds, in
which the Curie temperatures T_C above 1 K have been observed for the uniformly
and modulation-doped p-type structures but not in the case of n-type films. The
experiments demonstrating the tunability of T_C by light and electric field are
presented. The tailoring of domain structures and magnetic anisotropy by strain
engineering and confinement is discussed emphasizing the role of the spin-orbit
coupling in the valence band. The question of designing modulated magnetic
structures in low dimensional semiconductor systems is addressed. Recent
progress in search for semiconductors with T_C above room temperature is
presented.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 16:16:55 GMT""}]","2015-06-24"
"cond-mat/0306480","Ivar Martin","D. Mozyrsky, I. Martin, and M. B. Hastings","Quantum limited sensitivity of SET-based displacement detectors","4 pages, 2 eps figs","Phys. Rev. Lett. 92, 018303 (2004).","10.1103/PhysRevLett.92.018303",,"cond-mat.mes-hall cond-mat.stat-mech",,"  We consider a model of a quantum-mechanical resonator capacitively coupled to
a single electron transistor (SET). The tunnel current in the SET is modulated
by the vibrations of the resonator, and thus the system operates as a
displacement detector. We analyze the effect of the back-action noise of charge
fluctuations in the SET onto the dynamics of the resonator and evaluate the
displacement sensitivity of the system. The relation between the ""classical""
and ""quantum"" parts of the SET charge noise and their effect on the measured
system are also discussed.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 19:16:56 GMT""}]","2009-11-10"
"cond-mat/0306481","Michael Loewenhaupt","M. Loewenhaupt, W. Schaefer, A. Niazi and E.V. Sampathkumaran","Evidence for the coexistence of low-dimensional magnetism and long-range
  order in Ca3CoRhO6","accepted by Eur. Phys. Lett",,"10.1209/epl/i2003-00542-5",,"cond-mat",,"  We report the results of neutron powder diffraction studies on the spin-chain
compound Ca3CoRhO6 in the temperature range 3 to 293 K. Bragg peaks due to
magnetic ordering start appearing below about 100 K. The most interesting
observation is that there is a diffuse magnetic peak superimposed over the
strongest magnetic Bragg peak. The diffuse magnetic intensity is observed below
as well above 100 K. This finding provides a new insight into the physics of
this compound as though the low-dimensional magnetic interaction coexists with
long range magnetic order - a novel situation among quasi one-dimensional
oxides.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 17:40:31 GMT""}]","2009-11-10"
"cond-mat/0306482","Krzywicki","A. Krzywicki","On the Geometry of Random Networks","9 pages in LaTex, style file appolb.cls, talk at Workshop on Random
  Geometries, Krakow, May 2003","Acta Phys. Polon. B 34, 4965 (2003)",,"LPT-Orsay 03/46","cond-mat",,"  The Krakow-Orsay collaboration has applied methods borrowed from equilibrium
statistical mechanics and analytic combinatorics to study the geometry of
random networks. Results contained in a series of recent publications and
concerning networks that are either uncorrelated or causal are briefly
overviewed.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 17:22:11 GMT""}]","2007-05-23"
"cond-mat/0306483","Tomasz Dietl","Tomasz Dietl","Nitrides as spintronic materials","6 pages, 9 figures, 5th International Conference on Nitride
  Semiconductors, Nara, May 2003, phys. stat. solidi","phys. stat. solidi (b) 240 (2003) 433","10.1002/pssb.200390016",,"cond-mat.mtrl-sci cond-mat.str-el",,"  A report of progress in spintronics-related works involving group III
nitrides is given emphasizing contradictory opinions concerning basics
characteristics of these materials. The actual position of magnetic impurities
in the GaN lattice as well as a possible role of magnetic precipitates is
discussed. The question whether the hole introduce by the Mn impurities is
localized tightly on the Mn d-levels or rather on the hybridized p-d bonding
states is addressed. The nature of spin-spin interactions and magnetic phases,
as provided by theoretical and experimental findings, is outlined, and possible
origins of the high temperature ferromagnetism observed in (Ga,Mn)N are
presented. Experimental studies aiming at evaluating characteristic times of
spin coherence and dephasing in GaN are described.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 18:28:10 GMT""}]","2015-06-24"
"cond-mat/0306484","Tomasz Dietl","Tomasz Dietl, Fumihiro Matsukura, Hideo Ohno, Joel Cibert, David
  Ferrand","Hall effect and magnetoresistance in p-type ferromagnetic semiconductors","7 pages, 6 figures; NATO Advanced Research Workshop ""Recent Trends on
  Physical Phenomena in High Magnetic Fields"", Les Houches, February 2002, in
  press","Proc. NATO Workshop ""Recent Trends in Theory of Physical Phenomena
  in High Magnetic Fields"" eds. I. Vagner et al. (Kluwer, Dordrecht, 2003) p.
  197.",,,"cond-mat.mtrl-sci cond-mat.str-el",,"  Recent works aiming at understanding magnetotransport phenomena in
ferromagnetic III-V and II-VI semiconductors are described. Theory of the
anomalous Hall effect in p-type magnetic semiconductors is discussed, and the
relative role of side-jump and skew-scattering mechanisms assessed for
(Ga,Mn)As and (Zn,Mn)Te. It is emphasized that magnetotransport studies of
ferromagnetic semiconductors in high magnetic fields make it possible to
separate the contributions of the ordinary and anomalous Hall effects, to
evaluate the role of the spins in carrier scattering and localization as well
as to determine the participation ratio of the ferromagnetic phase near the
metal-insulator transition. A sizable negative magnetoresistance in the regime
of strong magnetic fields is assigned to the weak localization effect.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 19:27:51 GMT""},{""version"":""v2"",""created"":""Fri, 20 Jun 2003 08:33:59 GMT""}]","2007-05-23"
"cond-mat/0306485","Lev Deych","L. Deych","Comment on: ""Mode repulsion and mode coupling in random lasers"" by Cao
  et al. Phys. Rev. B {\bf 67}, 161101 (R) (2003)","two pages, RevTex",,,,"cond-mat.dis-nn",,"  In recent paper Cao et al. [Phys. Rev. B {\bf 67}, 161101 (R) (2003)]
reported an observation of what is the first genuine multi-mode behavior in
random lasers. They observed a splitting of a single lasing line into two lines
with close frequencies when pumping is increased beyond a certain threshold.
Here we are pointing out that the qualitative interpretation of these
experiments given in that paper is misleading.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 21:21:29 GMT""}]","2007-05-23"
"cond-mat/0306486","Lacour","D. Lacour, J. A. Katine, L. Folks, T. Block, J. R. Childress, M. J.
  Carey, and B. A. Gurney","Experimental measurements of multiple stable trapped domain wall states
  induced in nanofabricated elements","11 pages, 4 figures, submited to Appl. Phys. Lett",,,,"cond-mat.mtrl-sci",,"  The presence of a domain wall trapped by a sub-micron notch is probed in two
ways: through electronic transport measurements and by Magnetic Force
Microscopy (MFM). We observe complex magnetic features which are consistent
with numerical simulations predicting the existence of multiple magnetic
configurations stabilized by the notch structure.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 22:48:54 GMT""}]","2007-05-23"
"cond-mat/0306487","Alexandre Rosas","Alexandre Rosas, J. Buceta, and Katja Lindenberg","Dynamics of Two Granules","10 pages, 9 figure, to appear in PRE",,"10.1103/PhysRevE.68.021303",,"cond-mat.stat-mech cond-mat.soft",,"  We study the dynamics of two particles that interact only when in contact. In
this sense, although not in every particular, the interactions mimic those in
granular materials. The detailed solution of the dynamics allows an analysis of
the backscattering behavior of the first particle and of the energy dissipation
in the system as a function of various parameters.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 23:37:01 GMT""}]","2009-11-10"
"cond-mat/0306488","Victor Galitski","Victor Galitski, A. Kaminski, S. Das Sarma","Griffiths phase in diluted magnetic semiconductors","4 pages, final version as published","Phys. Rev. Lett. 92, 177203 (2004)","10.1103/PhysRevLett.92.177203",,"cond-mat.mtrl-sci cond-mat.dis-nn",,"  We study the effects of disorder in the vicinity of the ferromagnetic
transition in a diluted magnetic semiconductor in the strongly localized
regime. We derive an effective polaron Hamiltonian, which leads to the
Griffiths phase above the ferromagnetic transition point. The Griffiths-McCoy
effects yield non-perturbative contributions to the dynamic susceptibility. We
explicitly derive the long-time susceptibility, which has a pseudo-scaling
form, with the dynamic critical exponent being expressed through the
percolation indices.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 00:59:02 GMT""},{""version"":""v2"",""created"":""Fri, 30 Apr 2004 19:46:44 GMT""}]","2009-11-10"
"cond-mat/0306489","Qiang-Hua Wang","Qiang-Hua Wang","Quantum Ginzburg-Landau theory of doped Mott insulators","4 pages, no figures, sequential to cond-mat/0306395","Chin. Phys. Lett. 20, 1582 (2003)","10.1088/0256-307X/20/9/350",,"cond-mat.supr-con cond-mat.str-el",,"  We improve a previous theory of doped Mott insulators with duality between
pairing and magnetism by a further duality transform. As the result we obtained
a quantum Ginzburg-Landau theory describing the Cooper pair condensate and the
dual of spin condensate. We address the superconductivity by doping a Mott
insulator, which we call Mott superconductivity. Some fingerprints of such
novelty in cuprates are the scaling between neutron resonance energy and
superfluid density, and the induced {\it quantized} spin moment by vortices or
Zn impurity (together with circulating charge supper-current to be checked by
experiments).
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 06:03:57 GMT""},{""version"":""v2"",""created"":""Fri, 20 Jun 2003 00:41:38 GMT""}]","2009-11-10"
